episode_id,entry_time,exit_time,hold_bars,hold_days,exit_reason,realized_return_pct,mfe_pct,mae_pct,giveback_ratio,win_flag,unit_size_positive_contribution_rank_desc
1,2019-01-05T00:00:00Z,2019-01-10T08:00:00Z,32,5.333333,vtrend_ema21_d1_trail_stop,-0.530265,7.272736262322418,2.0620319197262056,1.0729113473765195,0,84
2,2019-02-09T20:00:00Z,2019-02-24T16:00:00Z,89,14.833333,vtrend_ema21_d1_trail_stop,3.20649,14.78681469168516,2.436402722832599,0.7831520806301132,1,41
3,2019-02-27T20:00:00Z,2019-03-04T08:00:00Z,27,4.5,vtrend_ema21_d1_trail_stop,-2.456875,1.858653385904392,3.834480350538736,2.3218575440866953,0,114
4,2019-03-06T00:00:00Z,2019-03-25T16:00:00Z,118,19.666667,vtrend_ema21_d1_trail_stop,2.525471,5.383523617720434,1.591079161300258,0.5308888417082175,1,49
5,2019-03-26T04:00:00Z,2019-04-11T12:00:00Z,98,16.333333,vtrend_ema21_d1_trail_stop,26.799808,37.61151950486541,1.169447260799353,0.28745745046186755,1,10
6,2019-04-12T16:00:00Z,2019-04-26T00:00:00Z,80,13.333333,vtrend_ema21_d1_trail_stop,3.426128,11.056272471268706,1.8341877262892687,0.690119069613807,1,40
7,2019-04-27T00:00:00Z,2019-05-17T04:00:00Z,121,20.166667,vtrend_ema21_d1_trail_stop,37.897776,57.24628918018608,2.659923212246277,0.33798720331523135,1,5
8,2019-05-17T20:00:00Z,2019-05-31T00:00:00Z,79,13.166667,vtrend_ema21_d1_trail_stop,15.623522,27.03945554379214,1.020143714792126,0.4221953924073398,1,16
9,2019-05-31T20:00:00Z,2019-06-04T00:00:00Z,19,3.166667,vtrend_ema21_d1_trail_stop,-4.088651,4.277842567520009,7.958754919313632,1.9557740696311579,0,143
10,2019-06-08T12:00:00Z,2019-06-08T16:00:00Z,1,0.166667,vtrend_ema21_d1_trend_exit,-0.977937,0.0,2.9829012244929083,,0,91
11,2019-06-13T04:00:00Z,2019-06-27T16:00:00Z,87,14.5,vtrend_ema21_d1_trail_stop,46.082022,72.6803167734405,0.9896551349490724,0.3659628349770799,1,3
12,2019-06-29T08:00:00Z,2019-07-01T16:00:00Z,14,2.333333,vtrend_ema21_d1_trail_stop,-12.697029,2.982657775353596,15.639002165403742,5.256951335456097,0,172
13,2019-07-03T04:00:00Z,2019-07-11T08:00:00Z,49,8.166667,vtrend_ema21_d1_trail_stop,2.418113,16.338095658824926,4.462643454305912,0.8519954191421403,1,51
14,2019-07-12T04:00:00Z,2019-07-14T16:00:00Z,15,2.5,vtrend_ema21_d1_trail_stop,-7.123954,6.1094177333178585,8.08612069293165,2.166061040669939,0,168
15,2019-08-03T20:00:00Z,2019-08-10T20:00:00Z,42,7.0,vtrend_ema21_d1_trail_stop,4.218723,13.52151517370225,2.853931397819581,0.6879992407799892,1,36
