removal_index,removal_pct,remaining_terminal_value,remaining_cagr,remaining_sharpe,remaining_net_pnl,marginal_terminal_damage,marginal_cagr_damage,marginal_sharpe_damage
0,0.0,282869.38,67.232589,1.229858,272869.38,0.0,0.0,0.0
1,0.48,222802.83,61.202739,1.162953,212802.83,60066.55,6.02985,0.066905
2,0.97,178721.34,55.826934,1.109724,168721.34,44081.49,5.375805,0.053229
3,1.45,138251.34,49.791646,1.033291,128251.34,40470.0,6.035288,0.076433
4,1.93,101635.53,42.866394,0.965444,91635.53,36615.81,6.925252,0.067847
5,2.42,67400.89,34.117985,0.893557,57400.89,34234.64,8.748409,0.071887
6,2.9,38345.49,22.970854,0.802716,28345.49,29055.4,11.147131,0.090841
7,3.38,12246.05,3.166299,0.729911,2246.05,26099.44,19.804555,0.072805
8,3.86,-11870.17,-100.0,0.693282,-21870.17,24116.22,103.166299,0.036629
9,4.35,-32693.97,-100.0,0.663774,-42693.97,20823.8,0.0,0.029508
10,4.83,-51663.16,-100.0,0.63727,-61663.16,18969.19,0.0,0.026504
11,5.31,-69940.8,-100.0,0.578587,-79940.8,18277.64,0.0,0.058683
12,5.8,-88182.37,-100.0,0.528845,-98182.37,18241.57,0.0,0.049742
13,6.28,-104044.62,-100.0,0.493317,-114044.62,15862.25,0.0,0.035528
14,6.76,-119220.44,-100.0,0.467299,-129220.44,15175.82,0.0,0.026018
15,7.25,-133928.47,-100.0,0.425966,-143928.47,14708.03,0.0,0.041333
16,7.73,-148526.78,-100.0,0.369203,-158526.78,14598.31,0.0,0.056763
17,8.21,-160776.89,-100.0,0.163942,-170776.89,12250.11,0.0,0.205261
18,8.7,-172068.47,-100.0,0.108525,-182068.47,11291.58,0.0,0.055417
19,9.18,-181926.85,-100.0,0.08742,-191926.85,9858.38,0.0,0.021105
20,9.66,-191654.06,-100.0,0.057291,-201654.06,9727.21,0.0,0.030129
21,10.14,-201201.31,-100.0,0.03643,-211201.31,9547.25,0.0,0.020861
22,10.63,-210694.08,-100.0,-0.030085,-220694.08,9492.77,0.0,0.066515
23,11.11,-220089.73,-100.0,-0.078706,-230089.73,9395.65,0.0,0.048621
24,11.59,-229056.26,-100.0,-0.096764,-239056.26,8966.53,0.0,0.018058
25,12.08,-237893.61,-100.0,-0.134367,-247893.61,8837.35,0.0,0.037603
26,12.56,-246294.38,-100.0,-0.16453,-256294.38,8400.77,0.0,0.030163
27,13.04,-254075.24,-100.0,-0.184632,-264075.24,7780.86,0.0,0.020102
28,13.53,-261132.83,-100.0,-0.226947,-271132.83,7057.59,0.0,0.042315
29,14.01,-268105.41,-100.0,-0.261929,-278105.41,6972.58,0.0,0.034982
30,14.49,-274862.52,-100.0,-0.300266,-284862.52,6757.11,0.0,0.038337
31,14.98,-281002.19,-100.0,-0.314048,-291002.19,6139.67,0.0,0.013782
32,15.46,-286581.87,-100.0,-0.325679,-296581.87,5579.68,0.0,0.011631
33,15.94,-292044.64,-100.0,-0.472573,-302044.64,5462.77,0.0,0.146894
34,16.43,-297372.4,-100.0,-0.576781,-307372.4,5327.76,0.0,0.104208
35,16.91,-302444.96,-100.0,-0.597943,-312444.96,5072.56,0.0,0.021162
36,17.39,-307472.18,-100.0,-0.746371,-317472.18,5027.22,0.0,0.148428
37,17.87,-312309.18,-100.0,-0.780146,-322309.18,4837.0,0.0,0.033775
38,18.36,-316934.99,-100.0,-0.797352,-326934.99,4625.81,0.0,0.017206
39,18.84,-321395.62,-100.0,-0.822145,-331395.62,4460.63,0.0,0.024793
40,19.32,-325742.34,-100.0,-0.906031,-335742.34,4346.72,0.0,0.083886
41,19.81,-329753.91,-100.0,-1.048168,-339753.91,4011.57,0.0,0.142137
