removal_index,removal_pct,remaining_terminal_value,remaining_cagr,remaining_sharpe,marginal_terminal_damage,marginal_cagr_damage,marginal_sharpe_damage
0,0.0,458108.0,80.108214,1.229858,0.0,0.0,0.0
1,0.48,272563.49,66.280446,1.169086,185544.51,13.827768,0.060772
2,0.97,168514.81,54.423556,1.102478,104048.68,11.85689,0.066608
3,1.45,106424.34,43.881945,1.031833,62090.47,10.541611,0.070645
4,1.93,75601.34,36.508088,0.949795,30823.0,7.373857,0.082038
5,2.42,56944.8,30.684386,0.86739,18656.54,5.823702,0.082405
6,2.9,43206.44,25.249697,0.780348,13738.36,5.434689,0.087042
7,3.38,33628.34,20.512366,0.692445,9578.1,4.737331,0.087903
8,3.86,26793.24,16.372412,0.605017,6835.1,4.139954,0.087428
9,4.35,21369.76,12.392776,0.511842,5423.48,3.979636,0.093175
10,4.83,17086.92,8.591146,0.412355,4282.84,3.80163,0.099487
11,5.31,13819.93,5.103278,0.309606,3266.99,3.487868,0.102749
12,5.8,11491.63,2.162028,0.212921,2328.3,2.94125,0.096685
13,6.28,9745.52,-0.395782,0.121073,1746.11,2.55781,0.091848
14,6.76,8340.87,-2.752443,0.029481,1404.65,2.356661,0.091592
15,7.25,7144.44,-5.041555,-0.067035,1196.43,2.289112,0.096516
16,7.73,6149.51,-7.207279,-0.166062,994.93,2.165724,0.099027
17,8.21,5303.76,-9.295603,-0.269985,845.75,2.088324,0.103923
18,8.7,4587.1,-11.298916,-0.378712,716.66,2.003313,0.108727
19,9.18,4006.12,-13.127854,-0.485811,580.98,1.828938,0.107099
20,9.66,3532.94,-14.791587,-0.590116,473.18,1.663733,0.104305
21,10.14,3164.61,-16.222752,-0.684091,368.33,1.431165,0.093975
22,10.63,2838.18,-17.614216,-0.781651,326.43,1.391464,0.09756
23,11.11,2546.82,-18.975747,-0.883986,291.36,1.361531,0.102335
24,11.59,2289.7,-20.291536,-0.989932,257.12,1.315789,0.105946
25,12.08,2066.64,-21.538594,-1.096971,223.06,1.247058,0.107039
26,12.56,1880.13,-22.672016,-1.199117,186.51,1.133422,0.102146
27,13.04,1715.55,-23.7542,-1.302537,164.58,1.082184,0.10342
28,13.53,1581.59,-24.701966,-1.395867,133.96,0.947766,0.09333
29,14.01,1463.81,-25.593166,-1.487537,117.78,0.8912,0.09167
30,14.49,1356.89,-26.456363,-1.580931,106.92,0.863197,0.093394
31,14.98,1261.99,-27.272133,-1.673084,94.9,0.81577,0.092153
32,15.46,1173.75,-28.07864,-1.769423,88.24,0.806507,0.096339
33,15.94,1093.65,-28.856491,-1.867111,80.1,0.777851,0.097688
34,16.43,1020.5,-29.610199,-1.966794,73.15,0.753708,0.099683
35,16.91,952.86,-30.348943,-2.07016,67.64,0.738744,0.103366
36,17.39,891.47,-31.058903,-2.17472,61.39,0.70996,0.10456
37,17.87,836.14,-31.735261,-2.279246,55.33,0.676358,0.104526
38,18.36,787.57,-32.360822,-2.379606,48.57,0.625561,0.10036
39,18.84,744.06,-32.949634,-2.477956,43.51,0.588812,0.09835
40,19.32,704.6,-33.509306,-2.575438,39.46,0.559672,0.097482
41,19.81,669.8,-34.025443,-2.668249,34.8,0.516137,0.092811
