removal_index,removal_pct,remaining_terminal_value,remaining_cagr,remaining_sharpe,remaining_net_pnl,marginal_terminal_damage,marginal_cagr_damage,marginal_sharpe_damage
0,0.0,29640.67,18.194741,0.820877,19640.67,0.0,0.0,0.0
1,1.54,25856.36,15.736914,0.726675,15856.36,3784.31,2.457827,0.094202
2,3.08,22312.49,13.14172,0.652154,12312.49,3543.87,2.595194,0.074521
3,4.62,19060.12,10.432335,0.510408,9060.12,3252.37,2.709385,0.141746
4,6.15,16258.36,7.763913,0.359313,6258.36,2801.76,2.668422,0.151095
5,7.69,13546.76,4.780964,0.137565,3546.76,2711.6,2.982949,0.221748
6,9.23,11421.26,2.065523,0.006122,1421.26,2125.5,2.715441,0.131443
7,10.77,9413.79,-0.925067,-0.089061,-586.21,2007.47,2.99059,0.095183
8,12.31,7736.96,-3.870434,-0.221426,-2263.04,1676.83,2.945367,0.132365
9,13.85,6361.55,-6.72207,-0.293755,-3638.45,1375.41,2.851636,0.072329
10,15.38,5222.82,-9.509972,-0.511623,-4777.18,1138.73,2.787902,0.217868
11,16.92,4251.35,-12.330133,-0.753663,-5748.65,971.47,2.820161,0.24204
12,18.46,3364.05,-15.431307,-0.860483,-6635.95,887.3,3.101174,0.10682
13,20.0,2578.78,-18.82015,-1.138871,-7421.22,785.27,3.388843,0.278388
