entry_bar_idx,entry_fill_bar_idx,entry_ts_ms,exit_ts_ms,entry_fill_price,exit_fill_price,qty,return_pct,pnl_usd
2214,2215,1546660800000,1547107200000,3819.166304,3773.763404,2.61445082,-1.188817,-133.503126
2428,2429,1549742400000,1551024000000,3657.214473,3774.482685,2.68968754,3.206490,300.186578
2536,2537,1551297600000,1551686400000,3817.054193,3723.273932,2.65172240,-2.456875,-263.488854
2576,2577,1551873600000,1552377600000,3866.413516,3830.856269,2.54590306,-0.919644,-105.154787
2616,2617,1552449600000,1553529600000,3891.778862,3958.958071,2.49854216,1.726183,153.012650
2694,2695,1553572800000,1554336000000,3940.077124,4927.658643,2.50299497,25.065030,2453.410714
2757,2758,1554480000000,1554984000000,4971.467742,4996.010240,2.47350664,0.493667,42.169537
2799,2800,1555084800000,1556236800000,5042.488709,5215.250835,2.44336631,3.426128,403.007006
2885,2886,1556323200000,1557676800000,5320.316329,6835.659211,2.38794019,28.482195,3594.063444
2984,2985,1557748800000,1557864000000,7232.467046,7730.513685,2.25016569,6.886262,1094.595054
3010,3011,1558123200000,1559260800000,7142.867514,8258.834967,2.42799268,15.623522,2679.482221
3094,3095,1559332800000,1559606400000,8453.166831,8107.546369,2.36506911,-4.088651,-846.178641
3140,3141,1559995200000,1560009600000,7989.313325,7911.182880,2.39288011,-0.977937,-215.352557
3168,3169,1560398400000,1561593600000,8090.094031,13085.284895,2.33295257,61.744534,11607.752343
3265,3266,1561795200000,1561996800000,11889.380469,10379.782428,2.55992347,-12.697029,-3904.312636
3288,3289,1562126400000,1562817600000,11300.752282,11689.471755,2.34425577,3.439766,870.153200
3342,3343,1562904000000,1563120000000,11200.702307,10402.769423,2.43922431,-7.123954,-1984.399323
3478,3479,1564862400000,1565136000000,10861.993853,11470.211180,2.32910075,5.599500,1376.526519
3503,3504,1565222400000,1565611200000,11987.018034,11316.684822,2.22200814,-5.592160,-1527.204505
3531,3532,1565625600000,1565755200000,11411.402850,10644.267744,2.19696402,-6.722531,-1720.445840
3679,3680,1567756800000,1567972800000,10726.588549,10330.052195,2.17357299,-3.696761,-895.580392
3729,3730,1568476800000,1568664000000,10368.140369,10111.271140,2.15910117,-2.477486,-587.353538
3983,3984,1572134400000,1572451200000,9239.232307,9084.628553,2.35580846,-1.673340,-396.319299
4007,4008,1572480000000,1573228800000,9163.176309,8811.941445,2.32861786,-3.833113,-848.671243
4079,4080,1573516800000,1573531200000,8742.095543,8731.911535,2.34019148,-0.116494,-54.484047
4362,4363,1577592000000,1577808000000,7314.368887,7187.806799,2.78535771,-1.730321,-382.551607
4403,4404,1578182400000,1578556800000,7361.546029,7941.622417,2.71147407,7.879817,1540.561835
4438,4439,1578686400000,1579435200000,8066.110065,8672.481010,2.66162988,7.517514,1579.310624
4502,4503,1579608000000,1579795200000,8665.418924,8349.454279,2.65581961,-3.646271,-872.407065
4518,4519,1579838400000,1581393600000,8328.912670,9723.699003,2.65439451,16.746320,3663.597389
4629,4630,1581436800000,1581796800000,10175.167541,9883.628953,2.52902152,-2.865197,-774.801227
4657,4658,1581840000000,1582156800000,9969.542070,9585.057749,2.49971711,-3.856590,-997.041935
4941,4942,1585929600000,1586520000000,6720.055018,6891.343485,3.55475671,2.548915,572.143251
4996,4997,1586721600000,1586966400000,7119.243908,6695.199775,3.43065482,-5.956309,-1489.202427
5014,5015,1586980800000,1587412800000,6736.741693,6762.172752,3.39928661,0.377498,51.967616
5060,5061,1587643200000,1588248000000,7141.025673,8829.144229,3.20930185,23.639721,5375.178920
5103,5104,1588262400000,1589083200000,8785.719134,8614.109426,3.21550343,-1.953280,-593.359655
5166,5167,1589169600000,1590076800000,8704.938414,9073.419771,3.17242070,4.233015,1125.800826
5238,5239,1590206400000,1590364800000,9295.398432,8709.424040,3.08738567,-6.303919,-1849.462967
5272,5273,1590696000000,1591113600000,9461.694603,9458.614287,2.83340404,-0.032556,-48.927894
5309,5310,1591228800000,1591891200000,9675.988737,9512.020840,2.76145383,-1.694585,-492.190284
5428,5429,1592942400000,1593000000000,9649.662430,9321.991013,2.71391083,-3.395678,-927.219587
5519,5520,1594252800000,1594368000000,9445.498419,9145.837299,2.67040105,-3.172528,-836.849950
5532,5533,1594440000000,1594468800000,9277.460507,9191.171930,2.62462924,-0.930088,-262.660650
5620,5621,1595707200000,1596355200000,9683.816559,11314.626881,2.48364439,16.840574,4008.200653
5668,5669,1596398400000,1597176000000,11214.005601,11375.665797,2.49842317,1.441592,361.263738
5726,5727,1597233600000,1597809600000,11471.903305,11825.275849,2.47004270,3.080331,829.031867
5768,5769,1597838400000,1598371200000,11853.995111,11408.003435,2.45667730,-3.762374,-1137.696299
5838,5839,1598846400000,1599048000000,11690.762000,11394.606842,2.39007788,-2.533241,-748.684889
5947,5948,1600416000000,1600689600000,10965.096879,10625.826199,2.47625884,-3.094097,-879.590464
6009,6010,1601308800000,1601625600000,10912.794615,10480.391743,2.40391929,-3.962348,-1077.252629
6072,6073,1602216000000,1603915200000,10898.069902,13152.157971,2.30486198,20.683370,5149.891031
6193,6194,1603958400000,1604779200000,13152.012155,14628.880141,2.29798323,11.229217,3343.392482
6271,6272,1605081600000,1606363200000,15415.904350,17910.056502,2.17413268,16.179084,5364.209455
6370,6371,1606507200000,1607428800000,16819.947341,18744.191741,2.30810459,11.440252,4376.462001
6449,6450,1607644800000,1609761600000,18273.069374,30712.254696,2.36052071,68.073869,29254.209227
6600,6601,1609819200000,1610337600000,31221.237838,35402.800630,2.31508272,13.393328,9557.723161
6642,6643,1610424000000,1610870400000,35019.943696,34726.157780,2.33338180,-0.838910,-807.058785
6676,6677,1610913600000,1611230400000,35669.542808,32174.691162,2.26486392,-9.797859,-8024.670329
6768,6769,1612238400000,1614009600000,33587.642469,53183.466619,2.16308753,58.342363,42214.922089
6899,6900,1614124800000,1614326400000,48939.903223,44942.014257,2.34360678,-8.168976,-9527.469282
6937,6938,1614672000000,1615809600000,48379.943683,56094.663238,2.17054620,15.946111,16562.521163
7031,7032,1616025600000,1616443200000,58971.897698,55469.478891,2.05846076,-5.939132,-7380.864295
7061,7062,1616457600000,1616630400000,54137.346771,52251.369416,2.10279447,-3.483690,-4130.633590
7095,7096,1616947200000,1617796800000,56413.351069,56264.163610,1.94182336,-0.264454,-453.578293
7164,7165,1617940800000,1618574400000,58043.710206,60792.961413,1.87665110,4.736519,4988.254540
7305,7306,1619971200000,1620144000000,56651.809349,53748.750911,2.00779870,-5.124388,-5990.631964
7326,7327,1620273600000,1620849600000,56853.901289,54382.576609,1.89245425,-4.346799,-4831.243698
7808,7809,1627214400000,1627344000000,34433.447640,37204.097980,2.97990059,8.046392,8089.965817
7818,7819,1627358400000,1627905600000,36860.643016,39502.897456,2.99865681,7.168227,7745.530818
7867,7868,1628064000000,1629244800000,37866.678297,44651.265224,3.11885814,17.917037,20951.272710
7953,7954,1629302400000,1629849600000,45865.831455,47626.347909,3.02717296,3.838405,5113.128016
8004,8005,1630036800000,1631030400000,46869.073946,46609.425594,3.06686923,-0.553987,-1010.725060
8137,8138,1631952000000,1632110400000,48670.644166,45497.218636,2.92818850,-6.520204,-9492.224790
8222,8223,1633176000000,1634832000000,47731.155381,62908.244543,2.78278111,31.797029,41971.927261
8357,8358,1635120000000,1635321600000,60913.087433,59890.054997,2.86531990,-1.679495,-3188.721448
8382,8383,1635480000000,1636185600000,61704.638391,60730.094328,2.77272713,-1.579369,-2954.726736
8434,8435,1636228800000,1636588800000,61236.600704,64817.553801,2.74155605,5.847733,9550.832185
8484,8485,1636948800000,1637035200000,65778.389088,60846.507827,2.69341732,-7.497723,-13529.441948
8729,8730,1640476800000,1640707200000,50450.082270,48888.544764,3.23872850,-3.095213,-5294.901102
8980,8981,1644091200000,1644652800000,41586.455286,42061.846586,3.79600577,1.143140,1565.087600
9035,9036,1644883200000,1645113600000,42578.486574,41883.525041,3.73871271,-1.632189,-2833.147215
9123,9124,1646150400000,1646366400000,43687.344601,41408.490432,3.57360698,-5.216280,-8365.695665
9219,9220,1647532800000,1648756800000,40839.368760,45536.409415,3.61255344,11.501257,16721.556330
9310,9311,1648843200000,1649260800000,46408.053270,44124.202682,3.53408368,-4.921238,-8305.227029
9960,9961,1658203200000,1658577600000,21925.459026,22208.055278,7.09091241,1.288895,1767.652205
9989,9990,1658620800000,1658793600000,22471.034192,21289.594428,6.98693504,-5.257612,-8477.766404
10014,10015,1658980800000,1659384000000,23156.589233,22932.420369,6.40437299,-0.968056,-1655.962681
10053,10054,1659542400000,1660060800000,23376.118598,23051.930769,6.26399244,-1.386833,-2247.305792
10094,10095,1660132800000,1660737600000,23145.488141,23722.909287,6.21998450,2.494746,3370.216386
10137,10138,1660752000000,1660896000000,23415.297748,21885.468107,6.28282093,-6.533462,-9817.899398
10287,10288,1662912000000,1663084800000,21663.717481,20808.945437,6.32811924,-3.945639,-5606.621644
10300,10301,1663099200000,1663257600000,20305.179961,19717.627574,6.46569178,-2.893608,-3990.164793
10428,10429,1664942400000,1665172800000,20210.855708,19439.865545,6.28900690,-3.814733,-5032.148630
10554,10555,1666756800000,1666944000000,20270.805613,20059.935010,6.01314166,-1.040267,-1448.929651
