entry_bar_idx,entry_fill_bar_idx,entry_ts_ms,exit_ts_ms,entry_fill_price,exit_fill_price,qty,return_pct,pnl_usd
2224,2225,1546804800000,1547150400000,4005.412410,3593.134169,0.38824979,-10.293029,-162.159492
2478,2479,1550462400000,1551024000000,3737.875074,3774.482685,0.79416739,0.979370,91.118079
2595,2596,1552147200000,1559620800000,3954.701738,7888.016064,0.18999447,78.250606,2575.217639
3177,3178,1560528000000,1561996800000,8394.318026,10379.782428,0.15516057,23.652480,803.852095
3324,3325,1562644800000,1563105600000,12668.178684,10669.322670,0.10813643,-15.778559,-217.879765
3483,3484,1564934400000,1565712000000,10955.166956,10941.789998,0.17279390,-0.122106,-5.147469
4410,4411,1578283200000,1579780800000,7548.442785,8414.559126,0.35018239,11.474106,406.068644
4547,4548,1580256000000,1581883200000,9384.717684,9736.166526,0.43923016,2.669260,104.766387
4960,4961,1586203200000,1586750400000,7273.127676,6668.856139,0.23453579,-8.308276,-144.069430
5061,5062,1587657600000,1589083200000,7536.310662,8614.109426,0.27512168,14.301411,430.434486
5285,5286,1590883200000,1591905600000,9707.420144,9271.651390,0.29908711,-4.489027,-134.492366
5603,5604,1595462400000,1598054400000,9527.680540,11519.701653,0.27523534,20.907724,1223.612534
5845,5846,1598947200000,1599148800000,11935.666721,10659.612388,0.42772203,-10.691102,-552.635575
5954,5955,1600516800000,1600689600000,11150.832475,10625.826199,0.28908358,-4.708225,-156.378321
6074,6075,1602244800000,1606392000000,11061.493203,17082.904275,0.18584934,54.435789,2008.627954
6474,6475,1608004800000,1610380800000,19499.174560,31551.245076,0.06638311,61.808106,1884.075005
6792,6793,1612584000000,1614081600000,39426.316767,46312.792450,0.04712339,17.466698,321.240475
6978,6979,1615262400000,1616457600000,53894.484090,54029.180271,0.03972695,0.249926,2.131447
7122,7123,1617336000000,1617796800000,59929.674757,56264.163610,0.05002505,-6.116354,-187.589296
7171,7172,1618041600000,1618718400000,60540.895520,54945.023740,0.06117373,-9.243127,-347.362133
7309,7310,1620028800000,1620864000000,58846.682577,49487.625234,0.04000413,-15.904138,-377.370555
7807,7808,1627200000000,1629345600000,34730.214184,44002.934042,0.05812444,26.699288,843.268078
7965,7966,1629475200000,1629964800000,48767.110560,46844.869973,0.06578133,-3.941674,-131.069812
8049,8050,1630684800000,1631030400000,50601.013088,46609.425594,0.07812308,-7.888355,-317.297028
8137,8138,1631952000000,1632110400000,48670.644166,45497.218636,0.07216777,-6.520204,-233.944206
8230,8231,1633291200000,1635336000000,48823.546954,58505.450641,0.05814364,19.830398,557.838561
8409,8410,1635868800000,1637035200000,64082.774745,60846.507827,0.05616593,-5.050135,-186.894186
8987,8988,1644192000000,1645128000000,42423.261465,41163.026081,0.09108082,-2.761635,-112.102468
9261,9262,1648137600000,1649260800000,44044.011000,44124.202682,0.09768698,-1.274487,-62.109711
9955,9956,1658131200000,1658721600000,22268.181491,21845.887717,0.14107431,-1.896400,-64.197642
10029,10030,1659196800000,1659643200000,24551.102702,22428.834333,0.11706388,-8.644289,-252.379376
10098,10099,1660190400000,1660752000000,24348.700451,23368.513948,0.14215154,-4.025621,-144.317829
10552,10553,1666728000000,1667894400000,20296.541329,19777.108049,0.32832105,-2.559221,-180.280739
10844,10845,1670932800000,1671220800000,17461.768681,16848.358996,0.39087924,-3.512873,-282.335670
11003,11004,1673222400000,1675915200000,17144.962112,22497.046070,0.22571020,31.166486,2503.074315
11232,11233,1676520000000,1677254400000,24756.337783,23325.906587,0.23285803,-5.778040,-341.234822
11391,11392,1678809600000,1681732800000,25920.571144,29541.236593,0.23118328,6.450492,403.593762
11980,11981,1687291200000,1689624000000,28010.759766,29854.523071,0.23083817,2.724866,319.947261
12518,12519,1695038400000,1695600000000,27224.183779,26222.148172,0.33138124,-3.480590,-326.387695
12599,12600,1696204800000,1696996800000,28020.579578,26989.030714,0.30399764,-3.532679,-312.763295
12726,12727,1698033600000,1699992000000,30767.424364,35258.714823,0.19896832,11.309801,973.606265
12921,12922,1700841600000,1702267200000,38259.330655,42267.271007,0.15420030,10.475720,608.249150
13151,13152,1704153600000,1705104000000,44223.740595,42739.967956,0.12277110,-3.355150,-187.092925
13373,13374,1707350400000,1710633600000,44393.960687,65235.355685,0.06014089,46.946465,2600.244155
13654,13655,1711396800000,1711987200000,71031.868630,68168.929909,0.05655521,-4.030499,-167.697075
13736,13737,1712577600000,1712952000000,72476.422101,66777.152731,0.06561965,-7.863619,-380.556913
13971,13972,1715961600000,1718092800000,67262.301889,67502.626713,0.10817257,-0.606459,-55.506307
14327,14328,1721088000000,1721865600000,64788.800241,65310.650334,0.08766817,0.805463,37.161145
14397,14398,1722096000000,1722456000000,68912.861211,65191.589484,0.08237227,-5.399967,-314.584549
14560,14561,1724443200000,1724803200000,63692.484747,59355.599854,0.07206546,-6.707504,-313.957256
14709,14710,1726588800000,1727798400000,61196.640774,62566.236807,0.10651979,1.505412,88.844068
14869,14870,1728892800000,1729684800000,64685.507025,66347.602603,0.10897684,2.569502,170.284401
14956,14957,1730145600000,1730606400000,69699.637397,68311.537195,0.11903789,-1.991546,-177.434011
15006,15007,1730865600000,1732579200000,74422.897117,92917.023243,0.05516450,24.850049,1433.385055
15180,15181,1733371200000,1734566400000,103066.989741,100103.831041,0.05793264,-2.874983,-180.362519
15372,15373,1736136000000,1736323200000,99136.632329,95561.456824,0.04999638,-3.606311,-185.912424
15440,15441,1737115200000,1737964800000,102339.863159,98948.986752,0.04943857,-3.313349,-122.243573
16002,16003,1745208000000,1748548800000,87292.787361,105626.034693,0.06746866,15.875757,1340.070821
16298,16299,1749470400000,1749787200000,107866.996150,104172.968849,0.07761216,-3.424613,-298.829073
16418,16419,1751198400000,1751385600000,108585.624239,105849.261299,0.07585743,-2.520005,-219.617644
16438,16439,1751486400000,1753416000000,109785.843559,115304.259205,0.07784418,3.895314,405.362408
16673,16674,1754870400000,1755489600000,119413.594094,115203.709830,0.08756084,-3.525465,-383.752018
16860,16861,1757563200000,1758513600000,114514.438610,114535.268772,0.09696505,-0.476993,-69.887281
16983,16984,1759334400000,1760112000000,117541.183086,118900.000765,0.08150584,1.156035,145.475251
17550,17551,1767499200000,1768780800000,91328.039589,93579.490278,0.09693610,2.475628,205.537862
