rank,window_start_ms,n_entries_blocked,n_trades,sharpe,delta_sharpe,cagr_native
1,1673063999999,1,65,0.749684,-0.075442,0.121190
2,1673078399999,1,65,0.749684,-0.075442,0.121190
3,1673092799999,1,65,0.749684,-0.075442,0.121190
4,1673107199999,1,65,0.749684,-0.075442,0.121190
5,1673121599999,1,65,0.749684,-0.075442,0.121190
6,1673135999999,1,65,0.749684,-0.075442,0.121190
7,1673150399999,1,65,0.749684,-0.075442,0.121190
8,1673164799999,1,65,0.749684,-0.075442,0.121190
9,1673179199999,1,65,0.749684,-0.075442,0.121190
10,1673193599999,1,65,0.749684,-0.075442,0.121190
11,1673207999999,1,65,0.749684,-0.075442,0.121190
12,1673222399999,1,65,0.749684,-0.075442,0.121190
13,1612252799999,1,65,0.750269,-0.074857,0.140741
14,1612267199999,1,65,0.750269,-0.074857,0.140741
15,1612281599999,1,65,0.750269,-0.074857,0.140741
16,1612295999999,1,65,0.750269,-0.074857,0.140741
17,1612310399999,1,65,0.750269,-0.074857,0.140741
18,1612324799999,1,65,0.750269,-0.074857,0.140741
19,1612339199999,1,65,0.750269,-0.074857,0.140741
20,1612353599999,1,65,0.750269,-0.074857,0.140741
