candidate,scenario,entry_delay,exit_delay,n_miss,n_trades,sharpe,delta_sharpe,cagr_native,mdd_native
E0,baseline,0,0,0,192,1.1379,0.0000,0.6183,0.3130
E0,entry_only_D1,1,0,0,189,1.1065,-0.0314,0.5863,0.3196
E0,entry_only_D2,2,0,0,173,0.9378,-0.2001,0.4441,0.3488
E0,exit_only_D1,0,1,0,191,0.9696,-0.1683,0.4597,0.3855
E0,exit_only_D2,0,2,0,188,1.0470,-0.0909,0.5012,0.4357
E0,entry_D1_exit_D1,1,1,0,186,0.9775,-0.1604,0.4626,0.3959
E0,entry_D1_exit_D2,1,2,0,186,1.0079,-0.1299,0.4671,0.4515
E0,entry_D2_exit_D1,2,1,0,172,0.8159,-0.3220,0.3408,0.3980
E0,entry_D2_exit_D2,2,2,0,170,0.8512,-0.2867,0.3516,0.4463
E0,entry_D4_exit_D2,4,2,0,160,0.7726,-0.3653,0.2932,0.4749
E0,full_LT2_sim,2,1,1,172,0.8159,-0.3220,0.3408,0.3980
E5,baseline,0,0,0,207,1.2299,0.0000,0.6723,0.3419
E5,entry_only_D1,1,0,0,204,1.1783,-0.0516,0.6157,0.3635
E5,entry_only_D2,2,0,0,188,0.9332,-0.2966,0.4105,0.3280
E5,exit_only_D1,0,1,0,206,1.1171,-0.1128,0.5966,0.3725
E5,exit_only_D2,0,2,0,203,1.1045,-0.1253,0.5753,0.4134
E5,entry_D1_exit_D1,1,1,0,202,1.0694,-0.1605,0.5443,0.3829
E5,entry_D1_exit_D2,1,2,0,199,1.0827,-0.1471,0.5467,0.4072
E5,entry_D2_exit_D1,2,1,0,187,0.8284,-0.4015,0.3485,0.3674
E5,entry_D2_exit_D2,2,2,0,184,0.8357,-0.3941,0.3481,0.4124
E5,entry_D4_exit_D2,4,2,0,171,0.7071,-0.5227,0.2565,0.4408
E5,full_LT2_sim,2,1,1,187,0.8284,-0.4015,0.3485,0.3674
SM,baseline,0,0,0,65,0.8161,0.0000,0.1819,0.1117
SM,entry_only_D1,1,0,0,65,0.8495,0.0334,0.1842,0.1013
SM,entry_only_D2,2,0,0,65,0.8283,0.0122,0.1797,0.1038
SM,exit_only_D1,0,1,0,65,0.8040,-0.0121,0.1760,0.1153
SM,exit_only_D2,0,2,0,65,0.7545,-0.0616,0.1670,0.1365
SM,entry_D1_exit_D1,1,1,0,65,0.8364,0.0203,0.1784,0.1068
SM,entry_D1_exit_D2,1,2,0,65,0.7845,-0.0316,0.1694,0.1258
SM,entry_D2_exit_D1,2,1,0,65,0.8160,-0.0001,0.1739,0.1108
SM,entry_D2_exit_D2,2,2,0,65,0.7650,-0.0511,0.1650,0.1282
SM,entry_D4_exit_D2,4,2,0,65,0.7191,-0.0969,0.1458,0.1335
SM,full_LT2_sim,2,1,1,65,0.8151,-0.0010,0.1736,0.1108
E0_plus_EMA1D21,baseline,0,0,0,174,1.1837,0.0000,0.6673,0.2820
E0_plus_EMA1D21,entry_only_D1,1,0,0,171,1.1406,-0.0431,0.6236,0.3045
E0_plus_EMA1D21,entry_only_D2,2,0,0,160,0.9458,-0.2379,0.4472,0.3520
E0_plus_EMA1D21,exit_only_D1,0,1,0,173,1.0292,-0.1544,0.5158,0.3414
E0_plus_EMA1D21,exit_only_D2,0,2,0,170,1.0949,-0.0887,0.5472,0.3847
E0_plus_EMA1D21,entry_D1_exit_D1,1,1,0,169,1.0153,-0.1684,0.5009,0.3592
E0_plus_EMA1D21,entry_D1_exit_D2,1,2,0,168,1.0613,-0.1223,0.5169,0.4015
E0_plus_EMA1D21,entry_D2_exit_D1,2,1,0,159,0.8410,-0.3427,0.3592,0.3733
E0_plus_EMA1D21,entry_D2_exit_D2,2,2,0,159,0.8753,-0.3084,0.3660,0.4038
E0_plus_EMA1D21,entry_D4_exit_D2,4,2,0,149,0.7635,-0.4202,0.2831,0.4498
E0_plus_EMA1D21,full_LT2_sim,2,1,1,159,0.8410,-0.3427,0.3592,0.3733
E5_plus_EMA1D21,baseline,0,0,0,188,1.2801,0.0000,0.7262,0.3277
E5_plus_EMA1D21,entry_only_D1,1,0,0,185,1.2094,-0.0707,0.6503,0.3539
E5_plus_EMA1D21,entry_only_D2,2,0,0,172,0.9557,-0.3243,0.4219,0.3768
E5_plus_EMA1D21,exit_only_D1,0,1,0,186,1.1785,-0.1016,0.6606,0.3313
E5_plus_EMA1D21,exit_only_D2,0,2,0,184,1.1631,-0.1170,0.6353,0.3464
E5_plus_EMA1D21,entry_D1_exit_D1,1,1,0,182,1.1139,-0.1662,0.5906,0.3496
E5_plus_EMA1D21,entry_D1_exit_D2,1,2,0,180,1.1351,-0.1450,0.6002,0.3588
E5_plus_EMA1D21,entry_D2_exit_D1,2,1,0,170,0.8769,-0.4031,0.3817,0.3655
E5_plus_EMA1D21,entry_D2_exit_D2,2,2,0,170,0.8837,-0.3963,0.3793,0.3888
E5_plus_EMA1D21,entry_D4_exit_D2,4,2,0,158,0.7110,-0.5690,0.2534,0.4166
E5_plus_EMA1D21,full_LT2_sim,2,1,1,170,0.8769,-0.4031,0.3817,0.3655
