candidate,latency_tier,sharpe_p50,sharpe_p5,sharpe_p95,cagr_p50,cagr_p5,mdd_p95,delta_sharpe_p5,delta_sharpe_p95,p_cagr_le_0,p_sharpe_positive,n_draws
E0,LT1,1.1098,1.0672,1.1470,0.5893,0.5489,0.3546,-0.0707,0.0091,0.0000,1.0000,1000
E0,LT2,0.9804,0.9047,1.0514,0.4664,0.4002,0.4693,-0.2332,-0.0865,0.0000,1.0000,1000
E0,LT3,0.7953,0.6785,0.9027,0.3081,0.2299,0.5510,-0.4594,-0.2352,0.0000,1.0000,1000
E5,LT1,1.2031,1.1553,1.2446,0.6494,0.6045,0.3721,-0.0746,0.0148,0.0000,1.0000,1000
E5,LT2,1.0426,0.9611,1.1291,0.5162,0.4421,0.4616,-0.2688,-0.1008,0.0000,1.0000,1000
E5,LT3,0.7356,0.6256,0.8513,0.2656,0.1877,0.5076,-0.6042,-0.3786,0.0000,1.0000,1000
SM,LT1,0.8201,0.7977,0.8420,0.1814,0.1768,0.1216,-0.0184,0.0260,0.0000,1.0000,1000
SM,LT2,0.7969,0.7456,0.8407,0.1712,0.1599,0.1431,-0.0705,0.0246,0.0000,1.0000,1000
SM,LT3,0.7145,0.6529,0.7718,0.1449,0.1315,0.1729,-0.1632,-0.0442,0.0000,1.0000,1000
E0_plus_EMA1D21,LT1,1.1542,1.1099,1.1925,0.6376,0.5954,0.3261,-0.0738,0.0089,0.0000,1.0000,1000
E0_plus_EMA1D21,LT2,1.0161,0.9421,1.0870,0.5003,0.4410,0.4490,-0.2416,-0.0967,0.0000,1.0000,1000
E0_plus_EMA1D21,LT3,0.7919,0.6785,0.9017,0.3113,0.2344,0.5201,-0.5051,-0.2819,0.0000,1.0000,1000
E5_plus_EMA1D21,LT1,1.2483,1.1997,1.2936,0.6984,0.6532,0.3643,-0.0803,0.0135,0.0000,1.0000,1000
E5_plus_EMA1D21,LT2,1.0910,1.0042,1.1770,0.5615,0.4834,0.4522,-0.2759,-0.1031,0.0000,1.0000,1000
E5_plus_EMA1D21,LT3,0.7502,0.6418,0.8541,0.2783,0.2061,0.4780,-0.6383,-0.4260,0.0000,1.0000,1000
