symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
BTCUSDT,85702.189,5833490898.663,19985371.00000000,1770451200000
BTCUSDT,83460.092,5670019924.1948,19985371.00000000,1770465600000
BTCUSDT,82957.357,5734186726.2897,19985371.00000000,1770480000000
BTCUSDT,81615.516,5656787922.9613085,19985371.00000000,1770494400000
BTCUSDT,81369.395,5636836736.905389,19985371.00000000,1770508800000
BTCUSDT,81719.091,5644174227.522057,19985893.00000000,1770523200000
BTCUSDT,81953.492,5709503099.2592,19985893.00000000,1770537600000
BTCUSDT,81117.403,5755604212.462,19985893.00000000,1770552000000
BTCUSDT,81948.816,5830723817.4528,19985893.00000000,1770566400000
BTCUSDT,81894.433,5845471729.4469385,19985893.00000000,1770580800000
BTCUSDT,80494.101,5660635723.444036,19985893.00000000,1770595200000
BTCUSDT,79608.608,5676278531.20899,19986400.00000000,1770609600000
BTCUSDT,79354.133,5586007225.9222,19986400.00000000,1770624000000
BTCUSDT,80916.721,5573899776.0524,19986400.00000000,1770638400000
BTCUSDT,81052.122,5636497933.473024,19986400.00000000,1770652800000
BTCUSDT,80241.933,5690501114.1744,19986400.00000000,1770667200000
BTCUSDT,78783.924,5523580303.602,19986400.00000000,1770681600000
BTCUSDT,78963.515,5485935590.166825,19986931.00000000,1770696000000
BTCUSDT,80057.945,5514567379.079,19986931.00000000,1770710400000
BTCUSDT,81138.079,5557999028.164308,19986931.00000000,1770724800000
BTCUSDT,79956.562,5537111853.343,19986931.00000000,1770739200000
BTCUSDT,79442.367,5484029113.136968,19986931.00000000,1770753600000
BTCUSDT,79253.897,5453080233.8644,19986931.00000000,1770768000000
BTCUSDT,80801.55,5506318586.61,19987381.00000000,1770782400000
BTCUSDT,82299.135,5514033815.0865,19987381.00000000,1770796800000
BTCUSDT,82682.088,5541998458.0464,19987381.00000000,1770811200000
BTCUSDT,81269.091,5403434558.595773,19987381.00000000,1770825600000
BTCUSDT,81507.182,5506132649.119288,19987381.00000000,1770840000000
BTCUSDT,80997.519,5432681793.8718,19987381.00000000,1770854400000
