strategy,scenario,trade_id,entry_ts_ms,exit_ts_ms,entry_time,exit_time,entry_fill_price,exit_fill_price,entry_mid_price,exit_mid_price,qty,gross_return_pct,net_return_pct,pnl_usd,holding_bars,holding_days,entry_reason,exit_reason
E0_EMA21,smart,1,1546646400000,1547107200000,2019-01-05T00:00:00Z,2019-01-10T08:00:00Z,3791.23,3776.41,3790.09,3777.54,2.6367455519085117,-0.3311,-0.3909,-42.56,32,5.33,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,2,1549742400000,1551024000000,2019-02-09T20:00:00Z,2019-02-24T16:00:00Z,3654.66,3777.13,3653.56,3778.26,2.7226791593403576,3.4131,3.3511,329.85,89,14.83,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,3,1551297600000,1551686400000,2019-02-27T20:00:00Z,2019-03-04T08:00:00Z,3814.38,3725.88,3813.24,3727.0,2.6941984669943384,-2.2616,-2.3202,-241.96,27,4.5,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,4,1551830400000,1553529600000,2019-03-06T00:00:00Z,2019-03-25T16:00:00Z,3858.74,3961.73,3857.58,3962.92,2.599617507962959,2.7307,2.6691,264.14,118,19.67,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,5,1553572800000,1554984000000,2019-03-26T04:00:00Z,2019-04-11T12:00:00Z,3937.32,4999.51,3936.14,5001.01,2.6139040320518276,27.0537,26.9775,2771.89,98,16.33,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,6,1555084800000,1556236800000,2019-04-12T16:00:00Z,2019-04-26T00:00:00Z,5038.96,5218.9,5037.45,5220.47,2.5916242217442567,3.6332,3.571,461.61,80,13.33,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,7,1556323200000,1558065600000,2019-04-27T00:00:00Z,2019-05-17T04:00:00Z,5316.59,7341.74,5315.0,7343.94,2.5422238160796176,38.1738,38.091,5141.83,121,20.17,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,8,1558123200000,1559260800000,2019-05-17T20:00:00Z,2019-05-31T00:00:00Z,7137.87,8264.62,7135.73,8267.1,2.613003017152271,15.855,15.7855,2936.64,79,13.17,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,9,1559332800000,1559606400000,2019-05-31T20:00:00Z,2019-06-04T00:00:00Z,8447.25,8113.23,8444.72,8115.66,2.5547197472167578,-3.8966,-3.9543,-860.6,19,3.17,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,10,1559995200000,1560009600000,2019-06-08T12:00:00Z,2019-06-08T16:00:00Z,7983.72,7916.72,7981.33,7919.1,2.5943421919761622,-0.7797,-0.8392,-181.01,1,0.17,vtrend_ema21_d1_entry,vtrend_ema21_d1_trend_exit
E0_EMA21,smart,11,1560398400000,1561651200000,2019-06-13T04:00:00Z,2019-06-27T16:00:00Z,8084.43,11826.45,8082.01,11830.0,2.5387452246227964,46.3745,46.2867,9489.52,87,14.5,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,12,1561795200000,1561996800000,2019-06-29T08:00:00Z,2019-07-01T16:00:00Z,11881.06,10387.05,11877.5,10390.17,2.5253073467209495,-12.5222,-12.5747,-3782.02,14,2.33,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,13,1562126400000,1562832000000,2019-07-03T04:00:00Z,2019-07-11T08:00:00Z,11292.85,11582.12,11289.46,11585.6,2.321128283479279,2.6232,2.5616,662.04,49,8.17,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,14,1562904000000,1563120000000,2019-07-12T04:00:00Z,2019-07-14T16:00:00Z,11192.87,10410.06,11189.51,10413.18,2.4001701049293436,-6.938,-6.9938,-1887.62,15,2.5,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,15,1564862400000,1565467200000,2019-08-03T20:00:00Z,2019-08-10T20:00:00Z,10854.4,11328.16,10851.14,11331.56,2.300305130923218,4.4274,4.3647,1080.68,42,7.0,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,16,1565524800000,1565712000000,2019-08-11T12:00:00Z,2019-08-13T16:00:00Z,11473.07,10949.45,11469.63,10952.74,2.2696618605376124,-4.5066,-4.5639,-1197.13,13,2.17,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,17,1567756800000,1568001600000,2019-09-06T08:00:00Z,2019-09-09T04:00:00Z,10719.09,10297.13,10715.87,10300.22,2.3168180018246036,-3.8788,-3.9365,-985.94,17,2.83,vtrend_ema21_d1_entry,vtrend_ema21_d1_trail_stop
E0_EMA21,smart,18,1568476800000,1568664000000,2019-09-14T16:00:00Z,2019-09-16T20:00:00Z,10360.89,10118.35,10357.78,10121.39,2.3009498578297545,-2.2822,-2.3409,-566.21,13,2.17,vtrend_ema21_d1_entry,vtrend_ema21_d1_trend_exit
