strategy,scenario,trade_id,entry_ts_ms,exit_ts_ms,entry_time,exit_time,entry_fill_price,exit_fill_price,entry_mid_price,exit_mid_price,qty,gross_return_pct,net_return_pct,pnl_usd,holding_bars,holding_days,entry_reason,exit_reason
X0_LR,base,1,1546646400000,1547107200000,2019-01-05T00:00:00Z,2019-01-10T08:00:00Z,3792.17,3775.46,3790.09,3777.54,0.5068911158281696,-0.3311,-0.4407,-10.39,32,5.33,x0_entry,x0_trail_stop
X0_LR,base,2,1549742400000,1551024000000,2019-02-09T20:00:00Z,2019-02-24T16:00:00Z,3655.57,3776.18,3653.56,3778.26,1.237024004242807,3.4131,3.2994,144.53,89,14.83,x0_entry,x0_trail_stop
X0_LR,base,3,1551297600000,1551686400000,2019-02-27T20:00:00Z,2019-03-04T08:00:00Z,3815.34,3724.95,3813.24,3727.0,0.7196712359874451,-2.2616,-2.369,-67.73,27,4.5,x0_entry,x0_trail_stop
X0_LR,base,4,1551830400000,1552377600000,2019-03-06T00:00:00Z,2019-03-12T08:00:00Z,3859.7,3832.58,3857.58,3834.69,0.7473340886440404,-0.5934,-0.7027,-23.13,38,6.33,x0_entry,x0_trail_stop
X0_LR,base,5,1552449600000,1553529600000,2019-03-13T04:00:00Z,2019-03-25T16:00:00Z,3890.03,3960.74,3887.89,3962.92,0.768448767307187,1.9298,1.8178,51.29,75,12.5,x0_entry,x0_trail_stop
X0_LR,base,6,1553572800000,1554336000000,2019-03-26T04:00:00Z,2019-04-04T00:00:00Z,3938.31,4929.88,3936.14,4932.59,1.7406513047160823,25.3154,25.1776,1717.4,53,8.83,x0_entry,x0_trail_stop
X0_LR,base,7,1554480000000,1554984000000,2019-04-05T16:00:00Z,2019-04-11T12:00:00Z,4969.23,4998.26,4966.5,5001.01,0.6064229322246377,0.6949,0.5842,14.57,35,5.83,x0_entry,x0_trail_stop
X0_LR,base,8,1555084800000,1556236800000,2019-04-12T16:00:00Z,2019-04-26T00:00:00Z,5040.22,5217.6,5037.45,5220.47,0.522511776025458,3.6332,3.5193,89.96,80,13.33,x0_entry,x0_trail_stop
X0_LR,base,9,1556323200000,1557676800000,2019-04-27T00:00:00Z,2019-05-12T16:00:00Z,5317.92,6838.74,5315.0,6842.5,0.7012696180073265,28.7394,28.5979,1061.7,94,15.67,x0_entry,x0_trail_stop
X0_LR,base,10,1557748800000,1557864000000,2019-05-13T12:00:00Z,2019-05-14T20:00:00Z,7229.21,7733.99,7225.24,7738.25,0.42875387927183356,7.1002,6.9825,213.11,8,1.33,x0_entry,x0_trail_stop
X0_LR,base,11,1558123200000,1559260800000,2019-05-17T20:00:00Z,2019-05-31T00:00:00Z,7139.66,8262.55,7135.73,8267.1,0.34357199716607567,15.855,15.7276,382.96,79,13.17,x0_entry,x0_trail_stop
X0_LR,base,12,1559332800000,1559606400000,2019-05-31T20:00:00Z,2019-06-04T00:00:00Z,8449.37,8111.2,8444.72,8115.66,0.25597457165958065,-3.8966,-4.0023,-88.64,19,3.17,x0_entry,x0_trail_stop
X0_LR,base,13,1559995200000,1560009600000,2019-06-08T12:00:00Z,2019-06-08T16:00:00Z,7985.72,7914.75,7981.33,7919.1,0.3864095499465467,-0.7797,-0.8888,-30.48,1,0.17,x0_entry,x0_trend_exit
X0_LR,base,14,1560398400000,1561593600000,2019-06-13T04:00:00Z,2019-06-27T00:00:00Z,8086.46,13091.18,8082.01,13098.38,0.39259931117538316,62.0683,61.8902,1959.71,83,13.83,x0_entry,x0_trail_stop
X0_LR,base,15,1561795200000,1561996800000,2019-06-29T08:00:00Z,2019-07-01T16:00:00Z,11884.03,10384.46,11877.5,10390.17,0.21097262186956497,-12.5222,-12.6184,-318.56,14,2.33,x0_entry,x0_trail_stop
X0_LR,base,16,1562126400000,1562817600000,2019-07-03T04:00:00Z,2019-07-11T04:00:00Z,11295.67,11694.74,11289.46,11701.17,0.1846964488240205,3.6469,3.5329,71.55,48,8.0,x0_entry,x0_trail_stop
X0_LR,base,17,1562904000000,1563120000000,2019-07-12T04:00:00Z,2019-07-14T16:00:00Z,11195.67,10407.45,11189.51,10413.18,0.16971792787655385,-6.938,-7.0403,-135.54,15,2.5,x0_entry,x0_trail_stop
X0_LR,base,18,1564862400000,1565136000000,2019-08-03T20:00:00Z,2019-08-07T00:00:00Z,10857.11,11475.38,10851.14,11481.69,0.24664341189145256,5.8109,5.6946,149.66,19,3.17,x0_entry,x0_trail_stop
X0_LR,base,19,1565222400000,1565611200000,2019-08-08T00:00:00Z,2019-08-12T12:00:00Z,11981.63,11321.78,11975.04,11328.01,0.27263763403118474,-5.4032,-5.5072,-182.99,27,4.5,x0_entry,x0_trail_stop
X0_LR,base,20,1565625600000,1565755200000,2019-08-12T16:00:00Z,2019-08-14T04:00:00Z,11406.27,10649.06,11400.0,10654.92,0.28905877860412704,-6.5358,-6.6385,-221.96,9,1.5,x0_entry,x0_trail_stop
X0_LR,base,21,1567756800000,1567972800000,2019-09-06T08:00:00Z,2019-09-08T20:00:00Z,10721.76,10334.7,10715.87,10340.39,0.37593293862122434,-3.504,-3.61,-149.39,15,2.5,x0_entry,x0_trail_stop
X0_LR,base,22,1568476800000,1568664000000,2019-09-14T16:00:00Z,2019-09-16T20:00:00Z,10363.48,10115.82,10357.78,10121.39,0.4318348622730195,-2.2822,-2.3897,-111.31,13,2.17,x0_entry,x0_trend_exit
X0_LR,base,23,1572134400000,1572451200000,2019-10-27T00:00:00Z,2019-10-30T16:00:00Z,9235.08,9088.72,9230.0,9093.72,0.3008460982104524,-1.4765,-1.5848,-46.77,22,3.67,x0_entry,x0_trail_stop
X0_LR,base,24,1572480000000,1573228800000,2019-10-31T00:00:00Z,2019-11-08T16:00:00Z,9159.06,8815.91,9154.02,8820.76,0.2966645555177087,-3.6406,-3.7465,-104.41,52,8.67,x0_entry,x0_trail_stop
X0_LR,base,25,1573430400000,1573531200000,2019-11-11T00:00:00Z,2019-11-12T04:00:00Z,9045.13,8735.84,9040.16,8740.65,0.29633049431884584,-3.3131,-3.4194,-94.24,7,1.17,x0_entry,x0_trend_exit
X0_LR,base,26,1577592000000,1577808000000,2019-12-29T04:00:00Z,2019-12-31T16:00:00Z,7311.08,7191.04,7307.06,7195.0,0.6523076111849839,-1.5336,-1.6418,-82.99,15,2.5,x0_entry,x0_trail_stop
X0_LR,base,27,1578182400000,1578556800000,2020-01-05T00:00:00Z,2020-01-09T08:00:00Z,7358.24,7945.2,7354.19,7949.57,0.5996331803302598,8.0958,7.977,347.2,26,4.33,x0_entry,x0_trail_stop
X0_LR,base,28,1578686400000,1579435200000,2020-01-10T20:00:00Z,2020-01-19T12:00:00Z,8062.48,8676.39,8058.05,8681.16,0.5305148523891663,7.7328,7.6143,321.08,52,8.67,x0_entry,x0_trail_stop
X0_LR,base,29,1579608000000,1579795200000,2020-01-21T12:00:00Z,2020-01-23T16:00:00Z,8661.52,8353.21,8656.76,8357.81,0.45056942313756915,-3.4534,-3.5595,-142.68,13,2.17,x0_entry,x0_trail_stop
X0_LR,base,30,1579838400000,1581393600000,2020-01-24T04:00:00Z,2020-02-11T04:00:00Z,8325.17,9728.08,8320.59,9733.43,0.4727099224535969,16.98,16.8514,658.57,108,18.0,x0_entry,x0_trail_stop
X0_LR,base,31,1581436800000,1581796800000,2020-02-11T16:00:00Z,2020-02-15T20:00:00Z,10170.59,9888.08,10165.0,9893.52,0.5541050985959254,-2.6707,-2.7777,-162.02,25,4.17,x0_entry,x0_trail_stop
X0_LR,base,32,1581840000000,1582156800000,2020-02-16T08:00:00Z,2020-02-20T00:00:00Z,9965.06,9589.37,9959.58,9594.65,0.5450373477937207,-3.6641,-3.77,-209.99,22,3.67,x0_entry,x0_trail_stop
X0_LR,base,33,1582502400000,1582617600000,2020-02-24T00:00:00Z,2020-02-25T08:00:00Z,9941.87,9514.82,9936.4,9520.06,0.49705068414249637,-4.19,-4.2954,-216.99,8,1.33,x0_entry,x0_trail_stop
X0_LR,base,34,1585929600000,1586520000000,2020-04-03T16:00:00Z,2020-04-10T12:00:00Z,6717.03,6894.45,6713.34,6898.24,0.26459698288171135,2.7542,2.6413,45.12,41,6.83,x0_entry,x0_trail_stop
X0_LR,base,35,1586721600000,1586966400000,2020-04-12T20:00:00Z,2020-04-15T16:00:00Z,7116.04,6698.21,7112.13,6701.9,0.4331860630730992,-5.768,-5.8716,-183.9,17,2.83,x0_entry,x0_trail_stop
X0_LR,base,36,1586980800000,1587412800000,2020-04-15T20:00:00Z,2020-04-20T20:00:00Z,6733.71,6765.22,6730.01,6768.94,0.46801990192354165,0.5785,0.4679,11.58,30,5.0,x0_entry,x0_trail_stop
X0_LR,base,37,1587643200000,1588248000000,2020-04-23T12:00:00Z,2020-04-30T12:00:00Z,7137.81,8833.12,7133.89,8837.98,0.520071607903184,23.8872,23.751,877.09,42,7.0,x0_entry,x0_trail_stop
X0_LR,base,38,1588262400000,1589083200000,2020-04-30T16:00:00Z,2020-05-10T04:00:00Z,8781.77,8617.99,8776.94,8622.73,0.4003873871012713,-1.757,-1.865,-69.03,57,9.5,x0_entry,x0_trail_stop
X0_LR,base,39,1589169600000,1590076800000,2020-05-11T04:00:00Z,2020-05-21T16:00:00Z,8701.02,9077.51,8696.24,9082.5,0.3246813113978519,4.4417,4.3269,119.29,63,10.5,x0_entry,x0_trail_stop
X0_LR,base,40,1590192000000,1590364800000,2020-05-23T00:00:00Z,2020-05-25T00:00:00Z,9175.04,8713.35,9170.0,8718.14,0.32728419825252475,-4.9276,-5.0321,-153.96,12,2.0,x0_entry,x0_trail_stop
X0_LR,base,41,1590696000000,1591113600000,2020-05-28T20:00:00Z,2020-06-02T16:00:00Z,9457.44,9462.87,9452.24,9468.08,0.3251319833998756,0.1676,0.0575,-1.31,29,4.83,x0_entry,x0_trail_stop
X0_LR,base,42,1591228800000,1591891200000,2020-06-04T00:00:00Z,2020-06-11T16:00:00Z,9671.64,9516.3,9666.32,9521.54,0.3653130579809724,-1.4978,-1.6061,-60.22,46,7.67,x0_entry,x0_trail_stop
X0_LR,base,43,1592942400000,1593000000000,2020-06-23T20:00:00Z,2020-06-24T12:00:00Z,9645.32,9326.19,9640.02,9331.32,0.6642966104041866,-3.2023,-3.3087,-218.2,4,0.67,x0_entry,x0_trail_stop
X0_LR,base,44,1594252800000,1594368000000,2020-07-09T00:00:00Z,2020-07-10T08:00:00Z,9441.25,9149.96,9436.06,9154.99,0.8434477949941789,-2.9787,-3.0853,-253.41,8,1.33,x0_entry,x0_trail_stop
X0_LR,base,45,1594425600000,1594468800000,2020-07-11T00:00:00Z,2020-07-11T12:00:00Z,9293.45,9195.31,9288.34,9200.37,0.8234863884013794,-0.9471,-1.056,-88.39,3,0.5,x0_entry,x0_trend_exit
X0_LR,base,46,1595707200000,1596355200000,2020-07-25T20:00:00Z,2020-08-02T08:00:00Z,9679.46,11319.72,9674.14,11325.95,1.0491038069777638,17.0745,16.9458,1708.93,45,7.5,x0_entry,x0_trail_stop
X0_LR,base,47,1596398400000,1597176000000,2020-08-02T20:00:00Z,2020-08-11T20:00:00Z,11208.96,11380.79,11202.8,11387.05,0.4642897812522189,1.6447,1.5329,74.49,54,9.0,x0_entry,x0_trail_stop
X0_LR,base,48,1597233600000,1597809600000,2020-08-12T12:00:00Z,2020-08-19T04:00:00Z,11466.74,11830.6,11460.44,11837.11,0.3938705502740414,3.2867,3.1731,138.65,40,6.67,x0_entry,x0_trail_stop
