strategy,scenario,trade_id,entry_ts_ms,exit_ts_ms,entry_time,exit_time,entry_fill_price,exit_fill_price,entry_mid_price,exit_mid_price,qty,gross_return_pct,net_return_pct,pnl_usd,holding_bars,holding_days,entry_reason,exit_reason
X0_LR,harsh,1,1546646400000,1547107200000,2019-01-05T00:00:00Z,2019-01-10T08:00:00Z,3793.88,3773.76,3790.09,3777.54,0.5068911158281696,-0.3311,-0.5303,-13.07,32,5.33,x0_entry,x0_trail_stop
X0_LR,harsh,2,1549742400000,1551024000000,2019-02-09T20:00:00Z,2019-02-24T16:00:00Z,3657.21,3774.48,3653.56,3778.26,1.2365726556241519,3.4131,3.2065,138.01,89,14.83,x0_entry,x0_trail_stop
X0_LR,harsh,3,1551297600000,1551686400000,2019-02-27T20:00:00Z,2019-03-04T08:00:00Z,3817.05,3723.27,3813.24,3727.0,0.718788278549427,-2.2616,-2.4569,-71.42,27,4.5,x0_entry,x0_trail_stop
X0_LR,harsh,4,1551830400000,1552377600000,2019-03-06T00:00:00Z,2019-03-12T08:00:00Z,3861.44,3830.86,3857.58,3834.69,0.7460345853558026,-0.5934,-0.792,-27.1,38,6.33,x0_entry,x0_trail_stop
X0_LR,harsh,5,1552449600000,1553529600000,2019-03-13T04:00:00Z,2019-03-25T16:00:00Z,3891.78,3958.96,3887.89,3962.92,0.7666949102893107,1.9298,1.7262,46.95,75,12.5,x0_entry,x0_trail_stop
X0_LR,harsh,6,1553572800000,1554336000000,2019-03-26T04:00:00Z,2019-04-04T00:00:00Z,3940.08,4927.66,3936.14,4932.59,1.7356910769378011,25.3154,25.065,1701.31,53,8.83,x0_entry,x0_trail_stop
X0_LR,harsh,7,1554480000000,1554984000000,2019-04-05T16:00:00Z,2019-04-11T12:00:00Z,4971.47,4996.01,4966.5,5001.01,0.6039427737076736,0.6949,0.4937,10.3,35,5.83,x0_entry,x0_trail_stop
X0_LR,harsh,8,1555084800000,1556236800000,2019-04-12T16:00:00Z,2019-04-26T00:00:00Z,5042.49,5215.25,5037.45,5220.47,0.5201216014835359,3.6332,3.4261,85.79,80,13.33,x0_entry,x0_trail_stop
X0_LR,harsh,9,1556323200000,1557676800000,2019-04-27T00:00:00Z,2019-05-12T16:00:00Z,5320.32,6835.66,5315.0,6842.5,0.6977627695055283,28.7394,28.4822,1050.2,94,15.67,x0_entry,x0_trail_stop
X0_LR,harsh,10,1557748800000,1557864000000,2019-05-13T12:00:00Z,2019-05-14T20:00:00Z,7232.47,7730.51,7225.24,7738.25,0.42634296267270416,7.1002,6.8863,207.39,8,1.33,x0_entry,x0_trail_stop
X0_LR,harsh,11,1558123200000,1559260800000,2019-05-17T20:00:00Z,2019-05-31T00:00:00Z,7142.87,8258.83,7135.73,8267.1,0.34148180849140325,15.855,15.6235,376.85,79,13.17,x0_entry,x0_trail_stop
X0_LR,harsh,12,1559332800000,1559606400000,2019-05-31T20:00:00Z,2019-06-04T00:00:00Z,8453.17,8107.55,8444.72,8115.66,0.2543228248587219,-3.8966,-4.0887,-90.99,19,3.17,x0_entry,x0_trail_stop
X0_LR,harsh,13,1559995200000,1560009600000,2019-06-08T12:00:00Z,2019-06-08T16:00:00Z,7989.31,7911.18,7981.33,7919.1,0.3838011548729767,-0.7797,-0.9779,-34.54,1,0.17,x0_entry,x0_trend_exit
X0_LR,harsh,14,1560398400000,1561593600000,2019-06-13T04:00:00Z,2019-06-27T00:00:00Z,8090.09,13085.28,8082.01,13098.38,0.38977944064081566,62.0683,61.7445,1939.37,83,13.83,x0_entry,x0_trail_stop
