strategy,scenario,trade_id,entry_ts_ms,exit_ts_ms,entry_time,exit_time,entry_fill_price,exit_fill_price,entry_mid_price,exit_mid_price,qty,gross_return_pct,net_return_pct,pnl_usd,holding_bars,holding_days,entry_reason,exit_reason
X0,smart,1,1546646400000,1547107200000,2019-01-05T00:00:00Z,2019-01-10T08:00:00Z,3791.23,3776.41,3790.09,3777.54,2.6367455519085117,-0.3311,-0.3909,-42.56,32,5.33,x0_entry,x0_trail_stop
X0,smart,2,1549742400000,1551024000000,2019-02-09T20:00:00Z,2019-02-24T16:00:00Z,3654.66,3777.13,3653.56,3778.26,2.7226791593403576,3.4131,3.3511,329.85,89,14.83,x0_entry,x0_trail_stop
X0,smart,3,1551297600000,1551686400000,2019-02-27T20:00:00Z,2019-03-04T08:00:00Z,3814.38,3725.88,3813.24,3727.0,2.6941984669943384,-2.2616,-2.3202,-241.96,27,4.5,x0_entry,x0_trail_stop
X0,smart,4,1551830400000,1552377600000,2019-03-06T00:00:00Z,2019-03-12T08:00:00Z,3858.74,3833.54,3857.58,3834.69,2.599617507962959,-0.5934,-0.653,-68.99,38,6.33,x0_entry,x0_trail_stop
X0,smart,5,1552449600000,1553529600000,2019-03-13T04:00:00Z,2019-03-25T16:00:00Z,3889.06,3961.73,3887.89,3962.92,2.5607145098669255,1.9298,1.8687,182.55,75,12.5,x0_entry,x0_trail_stop
X0,smart,6,1553572800000,1554336000000,2019-03-26T04:00:00Z,2019-04-04T00:00:00Z,3937.32,4931.11,3936.14,4932.59,2.5747872376500966,25.3154,25.2402,2554.35,53,8.83,x0_entry,x0_trail_stop
X0,smart,7,1554480000000,1554984000000,2019-04-05T16:00:00Z,2019-04-11T12:00:00Z,4967.99,4999.51,4966.5,5001.01,2.553885035052785,0.6949,0.6345,76.03,35,5.83,x0_entry,x0_trail_stop
X0,smart,8,1555084800000,1556236800000,2019-04-12T16:00:00Z,2019-04-26T00:00:00Z,5038.96,5218.9,5037.45,5220.47,2.5321168012421293,3.6332,3.571,451.01,80,13.33,x0_entry,x0_trail_stop
X0,smart,9,1556323200000,1557676800000,2019-04-27T00:00:00Z,2019-05-12T16:00:00Z,5316.59,6840.45,5315.0,6842.5,2.4838506999601218,28.7394,28.6622,3779.08,94,15.67,x0_entry,x0_trail_stop
X0,smart,10,1557748800000,1557864000000,2019-05-13T12:00:00Z,2019-05-14T20:00:00Z,7227.41,7735.93,7225.24,7738.25,2.349218613660297,7.1002,7.036,1188.27,8,1.33,x0_entry,x0_trail_stop
X0,smart,11,1558123200000,1559260800000,2019-05-17T20:00:00Z,2019-05-31T00:00:00Z,7137.87,8264.62,7135.73,8267.1,2.5442700043028696,15.855,15.7855,2859.39,79,13.17,x0_entry,x0_trail_stop
X0,smart,12,1559332800000,1559606400000,2019-05-31T20:00:00Z,2019-06-04T00:00:00Z,8447.25,8113.23,8444.72,8115.66,2.4875198304698434,-3.8966,-3.9543,-837.97,19,3.17,x0_entry,x0_trail_stop
X0,smart,13,1559995200000,1560009600000,2019-06-08T12:00:00Z,2019-06-08T16:00:00Z,7983.72,7916.72,7981.33,7919.1,2.526100037624892,-0.7797,-0.8392,-176.25,1,0.17,x0_entry,x0_trend_exit
X0,smart,14,1560398400000,1561593600000,2019-06-13T04:00:00Z,2019-06-27T00:00:00Z,8084.43,13094.45,8082.01,13098.38,2.4719655052730944,62.0683,61.9711,12373.26,83,13.83,x0_entry,x0_trail_stop
X0,smart,15,1561795200000,1561996800000,2019-06-29T08:00:00Z,2019-07-01T16:00:00Z,11881.06,10387.05,11877.5,10390.17,2.7225155559233727,-12.5222,-12.5747,-4077.36,14,2.33,x0_entry,x0_trail_stop
X0,smart,16,1562126400000,1562817600000,2019-07-03T04:00:00Z,2019-07-11T04:00:00Z,11292.85,11697.66,11289.46,11701.17,2.5023915870167333,3.6469,3.5847,1002.75,48,8.0,x0_entry,x0_trail_stop
X0,smart,17,1562904000000,1563120000000,2019-07-12T04:00:00Z,2019-07-14T16:00:00Z,11192.87,10410.06,11189.51,10413.18,2.6134181849570903,-6.938,-6.9938,-2055.33,15,2.5,x0_entry,x0_trail_stop
X0,smart,18,1564862400000,1565136000000,2019-08-03T20:00:00Z,2019-08-07T00:00:00Z,10854.4,11478.25,10851.14,11481.69,2.5046805006688517,5.8109,5.7474,1552.48,19,3.17,x0_entry,x0_trail_stop
X0,smart,19,1565222400000,1565611200000,2019-08-08T00:00:00Z,2019-08-12T12:00:00Z,11978.63,11324.61,11975.04,11328.01,2.3983722803558916,-5.4032,-5.4599,-1578.09,27,4.5,x0_entry,x0_trail_stop
X0,smart,20,1565625600000,1565755200000,2019-08-12T16:00:00Z,2019-08-14T04:00:00Z,11403.42,10651.72,11400.0,10654.92,2.3801305878637544,-6.5358,-6.5919,-1798.01,9,1.5,x0_entry,x0_trail_stop
X0,smart,21,1567756800000,1567972800000,2019-09-06T08:00:00Z,2019-09-08T20:00:00Z,10719.09,10337.29,10715.87,10340.39,2.363518248271161,-3.504,-3.5618,-910.94,15,2.5,x0_entry,x0_trail_stop
X0,smart,22,1568476800000,1568664000000,2019-09-14T16:00:00Z,2019-09-16T20:00:00Z,10360.89,10118.35,10357.78,10121.39,2.356484641538719,-2.2822,-2.3409,-579.87,13,2.17,x0_entry,x0_trend_exit
X0,smart,23,1572134400000,1572451200000,2019-10-27T00:00:00Z,2019-10-30T16:00:00Z,9232.77,9090.99,9230.0,9093.72,2.580705748689459,-1.4765,-1.5356,-374.1,22,3.67,x0_entry,x0_trail_stop
X0,smart,24,1572480000000,1573228800000,2019-10-31T00:00:00Z,2019-11-08T16:00:00Z,9156.77,8818.11,9154.02,8820.76,2.560375291087767,-3.6406,-3.6984,-874.98,52,8.67,x0_entry,x0_trail_stop
X0,smart,25,1573430400000,1573531200000,2019-11-11T00:00:00Z,2019-11-12T04:00:00Z,9042.87,8738.03,9040.16,8740.65,2.4949907119706967,-3.3131,-3.3711,-768.21,7,1.17,x0_entry,x0_trend_exit
X0,smart,26,1577592000000,1577808000000,2019-12-29T04:00:00Z,2019-12-31T16:00:00Z,7309.25,7192.84,7307.06,7195.0,2.980611736152725,-1.5336,-1.5926,-354.48,15,2.5,x0_entry,x0_trail_stop
X0,smart,27,1578182400000,1578556800000,2020-01-05T00:00:00Z,2020-01-09T08:00:00Z,7356.4,7947.19,7354.19,7949.57,2.9123044689673274,8.0958,8.031,1712.46,26,4.33,x0_entry,x0_trail_stop
X0,smart,28,1578686400000,1579435200000,2020-01-10T20:00:00Z,2020-01-19T12:00:00Z,8060.47,8678.56,8058.05,8681.16,2.869365510575841,7.7328,7.6681,1764.81,52,8.67,x0_entry,x0_trail_stop
X0,smart,29,1579608000000,1579795200000,2020-01-21T12:00:00Z,2020-01-23T16:00:00Z,8659.36,8355.3,8656.76,8357.81,2.8737148640930097,-3.4534,-3.5113,-882.17,13,2.17,x0_entry,x0_trail_stop
X0,smart,30,1579838400000,1581393600000,2020-01-24T04:00:00Z,2020-02-11T04:00:00Z,8323.09,9730.51,8320.59,9733.43,2.8828195791622657,16.98,16.9099,4047.53,108,18.0,x0_entry,x0_trail_stop
X0,smart,31,1581436800000,1581796800000,2020-02-11T16:00:00Z,2020-02-15T20:00:00Z,10168.05,9890.55,10165.0,9893.52,2.75683901980554,-2.6707,-2.7291,-774.56,25,4.17,x0_entry,x0_trail_stop
X0,smart,32,1581840000000,1582156800000,2020-02-16T08:00:00Z,2020-02-20T00:00:00Z,9962.57,9591.77,9959.58,9594.65,2.7349956244148768,-3.6641,-3.7219,-1023.31,22,3.67,x0_entry,x0_trail_stop
X0,smart,33,1582502400000,1582617600000,2020-02-24T00:00:00Z,2020-02-25T08:00:00Z,9939.38,9517.2,9936.4,9520.06,2.6374979074656553,-4.19,-4.2475,-1122.28,8,1.33,x0_entry,x0_trail_stop
X0,smart,34,1585929600000,1586520000000,2020-04-03T16:00:00Z,2020-04-10T12:00:00Z,6715.35,6896.17,6713.34,6898.24,3.735326626734379,2.7542,2.6926,666.39,41,6.83,x0_entry,x0_trail_stop
X0,smart,35,1586721600000,1586966400000,2020-04-12T20:00:00Z,2020-04-15T16:00:00Z,7114.26,6699.89,7112.13,6701.9,3.6182836898612676,-5.768,-5.8246,-1507.81,17,2.83,x0_entry,x0_trail_stop
X0,smart,36,1586980800000,1587412800000,2020-04-15T20:00:00Z,2020-04-20T20:00:00Z,6732.03,6766.91,6730.01,6768.94,3.5984897130949944,0.5785,0.5181,116.99,30,5.0,x0_entry,x0_trail_stop
X0,smart,37,1587643200000,1588248000000,2020-04-23T12:00:00Z,2020-04-30T12:00:00Z,7136.03,8835.33,7133.89,8837.98,3.409965135720783,23.8872,23.8129,5784.0,42,7.0,x0_entry,x0_trail_stop
X0,smart,38,1588262400000,1589083200000,2020-04-30T16:00:00Z,2020-05-10T04:00:00Z,8779.57,8620.14,8776.94,8622.73,3.429219153752447,-1.757,-1.8159,-557.07,57,9.5,x0_entry,x0_trail_stop
X0,smart,39,1589169600000,1590076800000,2020-05-11T04:00:00Z,2020-05-21T16:00:00Z,8698.85,9079.78,8696.24,9082.5,3.3958142654410954,4.4417,4.379,1282.76,63,10.5,x0_entry,x0_trail_stop
X0,smart,40,1590192000000,1590364800000,2020-05-23T00:00:00Z,2020-05-25T00:00:00Z,9172.75,8715.52,9170.0,8718.14,3.3590418634102988,-4.9276,-4.9846,-1546.09,12,2.0,x0_entry,x0_trail_stop
X0,smart,41,1590696000000,1591113600000,2020-05-28T20:00:00Z,2020-06-02T16:00:00Z,9455.08,9465.24,9452.24,9468.08,3.0941398005625116,0.1676,0.1075,21.2,29,4.83,x0_entry,x0_trail_stop
X0,smart,42,1591228800000,1591891200000,2020-06-04T00:00:00Z,2020-06-11T16:00:00Z,9669.22,9518.68,9666.32,9521.54,3.0267468564932143,-1.4978,-1.5569,-465.72,46,7.67,x0_entry,x0_trail_stop
X0,smart,43,1592942400000,1593000000000,2020-06-23T20:00:00Z,2020-06-24T12:00:00Z,9642.91,9328.52,9640.02,9331.32,2.9856629473933576,-3.2023,-3.2603,-948.41,4,0.67,x0_entry,x0_trail_stop
X0,smart,44,1594252800000,1594368000000,2020-07-09T00:00:00Z,2020-07-10T08:00:00Z,9438.89,9152.24,9436.06,9154.99,2.948686387720553,-2.9787,-3.0369,-854.68,8,1.33,x0_entry,x0_trail_stop
X0,smart,45,1594425600000,1594468800000,2020-07-11T00:00:00Z,2020-07-11T12:00:00Z,9291.13,9197.61,9288.34,9200.37,2.90257714943392,-0.9471,-1.0065,-280.78,3,0.5,x0_entry,x0_trend_exit
