trade_id,entry_ts_ms,exit_ts_ms,qty,entry_notional_usd,baseline_entry_mid,baseline_exit_mid,baseline_entry_fill,baseline_exit_fill,baseline_pnl_usd,baseline_net_return_pct,twap_entry_price,twap_exit_price,vwap_entry_price,vwap_exit_price,twap_entry_delta_bps,twap_exit_delta_bps,twap_combined_delta_bps,vwap_entry_delta_bps,vwap_exit_delta_bps,vwap_combined_delta_bps,twap_shadow_entry_fill,twap_shadow_exit_fill,twap_shadow_pnl_usd,twap_pnl_delta_usd,vwap_shadow_entry_fill,vwap_shadow_exit_fill,vwap_shadow_pnl_usd,vwap_pnl_delta_usd,entry_m15_count,exit_m15_count,entry_fallback,exit_fallback
1,1546646400000,1547107200000,2.63437484503142,9984.517756405136,3790.09,3777.54,3792.17,3775.46,-53.97,-0.4407,3809.6825000000003,3770.9125,3810.364985185662,3770.7296560822956,51.69402309707749,-17.544486623569668,-69.23850972064716,53.49473280492623,-18.028515694616942,-71.52324849954317,3810.8254047500004,3769.78122625,-128.0959107941635,-74.1259107941635,3811.5080946812177,3769.598437185471,-130.37722381572894,-76.40722381572894,4,4,False,False
2,1549742400000,1551024000000,2.7153391754585114,9920.654597888199,3653.56,3778.26,3655.57,3776.18,317.25,3.2994,3654.6825,3753.54,3654.017760880815,3748.7255711672265,3.0723458763515232,-65.42694256086223,-68.49928843721375,1.2529173759689982,-78.16939234667197,-79.42230972264096,3655.7789047499996,3752.413938,242.28113526019115,-74.96886473980885,3655.113966209079,3747.6009534958766,231.03265797375025,-86.21734202624975,4,4,False,False
3,1551297600000,1551686400000,2.682103128277449,10227.502932872698,3813.24,3727.0,3815.34,3724.95,-252.42,-2.369,3774.42,3724.42,3746.4701116479555,3723.6661473761396,-101.80319098719082,-6.922457740810017,94.8807332463808,-175.10014673097984,-8.94513717161316,166.15500955936668,3775.552326,3723.302674,-160.25165753460715,92.16834246539284,3747.5940526814497,3722.549047531927,-87.20898083702195,165.21101916297803,4,4,False,False
4,1551830400000,1552377600000,2.583292665191377,9965.258119388951,3857.58,3834.69,3859.7,3832.58,-79.96,-0.7027,3841.6800000000003,3879.3725,3840.296650369114,3872.9003438391637,-41.21755089978585,116.52180489166054,157.73935579144637,-44.80360648615456,99.6438925680132,144.44749905416776,3842.832504,3878.2086882500003,71.44132821590574,151.40132821590572,3841.448739364225,3871.738473736012,58.32182868038399,138.28182868038397,4,4,False,False
5,1552449600000,1553529600000,2.540057743635537,9875.465100903168,3887.89,3962.92,3890.03,3960.74,169.55,1.8178,3883.2200000000003,3976.4224999999997,3884.316048750346,3973.691927925678,-12.01165670839388,34.072098351718424,46.0837550601123,-9.192521521066421,27.18179505434959,36.37431657541601,3884.384966,3975.2295732499997,210.78667334048077,41.23667334048076,3885.4813435649708,3972.4998203473006,201.07222988558715,31.522229885587137,4,4,False,False
6,1553572800000,1554336000000,2.549423852398003,10034.889202377875,3936.14,4932.59,3938.31,4929.88,2515.37,25.1776,3941.1025,4960.475,3941.123623077506,4946.5154933435615,12.607529203738643,56.53216667105943,43.924637467320785,12.661193650393976,28.23160518827139,15.570411537877415,3942.28483075,4958.986857500001,2569.311283419147,53.94128341914711,3942.3059601644295,4945.031538695559,2533.714917112944,18.34491711294413,4,4,False,False
7,1554480000000,1554984000000,2.524179933368092,12536.339639072628,4966.5,5001.01,4969.23,4998.26,60.66,0.5842,4985.495,5000.962500000001,4985.2478074219425,5000.1978886118295,38.246249874156476,-0.0949808138750452,-38.34123068803152,37.7485299948499,-1.6238947496016731,-39.37242474445158,4986.9906485,4999.462211250001,6.272864517186463,-54.387135482813534,4986.743381764169,4998.697829245246,4.97012611558057,-55.68987388441943,4,4,False,False
8,1555084800000,1556236800000,2.4981641466804176,12584.37698069527,5037.45,5220.47,5040.22,5217.6,430.09,3.5193,5053.5425,5228.3425,5051.61628714632,5216.586943266699,31.945726508451067,15.080059841354743,-16.865666667096324,28.12194095488829,-7.438136285241592,-35.560077240129885,5055.0585627499995,5226.77399725,403.28763643598904,-26.802363564010932,5053.131772032464,5215.0219671837185,378.7767477020461,-51.31325229795385,4,4,False,False
9,1556323200000,1557676800000,2.4461382204850777,13001.224641878187,5315.0,6842.5,5317.92,6838.74,3703.39,28.5979,5310.7525000000005,6858.344999999999,5313.036440678628,6872.669767302252,-7.991533396047856,23.156740957250843,31.1482743532987,-3.6943731352245823,44.09173153416379,47.78610466938837,5312.34572575,6856.287496499999,3746.9288168189705,43.538816818970645,5314.630351610832,6870.607966372061,3776.3295365113154,72.93953651131551,4,4,False,False
10,1557748800000,1557864000000,2.30938961630116,16685.89423128379,7225.24,7738.25,7229.21,7733.99,1147.87,6.9825,7282.53,7760.8225,7276.355169477052,7752.712242394891,79.29148374310024,29.170031983976052,-50.12145175912419,70.7452893980709,18.689293309070987,-52.055996088999905,7284.7147589999995,7758.494253250001,1059.4008137486308,-88.46918625136914,7278.538076027895,7750.386428722173,1054.9740439855304,-92.89595601446945,4,4,False,False
11,1558123200000,1559260800000,2.4966360834392303,17815.320999679818,7135.73,8267.1,7139.66,8262.55,2782.84,15.7276,7113.32,8313.490000000002,7108.476436637251,8309.944914902782,-31.40533624450437,56.113994024509225,87.5193302690136,-38.19309778081315,51.82580941658132,90.01890719739447,7115.453995999999,8310.995953000001,2946.3189575297183,163.47895752971817,7110.608979568242,8307.451931428312,2949.588012616714,166.74801261671382,4,4,False,False
12,1559332800000,1559606400000,2.43655863179558,20576.05540909677,8444.72,8115.66,8449.37,8111.2,-843.73,-4.0023,8464.0,7976.76,8467.086106385874,7963.516358912856,22.83083394120977,-171.15059034015667,-193.98142428136643,26.48531435722523,-187.469215180458,-213.95452953768324,8466.5392,7974.366972000001,-1239.2657223113856,-395.5357223113856,8469.62623221779,7961.127304005183,-1279.0219471508171,-435.2919471508171,4,4,False,False
13,1559995200000,1560009600000,2.469898633048859,19713.076056911847,7981.33,7919.1,7985.72,7914.75,-194.85,-0.8888,7923.7525000000005,7847.0425,7926.429105632677,7845.464626828597,-72.1402322670528,-90.99203192282079,-18.85179965576799,-68.78664880079155,-92.98452244750455,-24.197873646712992,7926.12962575,7844.68838725,-240.10392549732933,-45.253925497329334,7928.807034364367,7843.110987440548,-250.61558791744392,-55.76558791744392,4,4,False,False
14,1560398400000,1561593600000,2.4126218696778983,19498.83407695547,8082.01,13098.38,8086.46,13091.18,12042.92,61.8902,8088.46,13338.325,8088.400530064896,13291.966788946289,7.980687972422018,183.18677576921738,175.20608779679537,7.907104872297843,147.79445163927818,139.88734676698033,8090.886538,13334.323502500001,12598.739762524045,555.8197625240446,8090.827050223915,13287.979198909605,12487.18395845831,444.2639584583103,4,4,False,False
15,1561795200000,1561996800000,2.652378467997329,31503.625253638274,11877.5,10390.17,11884.03,10384.46,-4004.99,-12.6184,11774.002499999999,10372.3675,11775.345986062988,10377.36484589236,-87.13744474847518,-17.133983370820616,70.00346137765456,-86.00632619407466,-12.324297011155894,73.68202918291877,11777.534700749999,10369.255789750001,-3794.030330703372,210.9596692966279,11778.878589858807,10374.251636438592,-3784.360772431435,220.6292275685646,4,4,False,False
16,1562126400000,1562817600000,2.433540983758796,27473.363594505576,11289.46,11701.17,11295.67,11694.74,942.68,3.5329,11270.4775,11398.55,11286.355816378875,11389.470233948103,-16.814356045371515,-258.623710278546,-241.8093542331745,-2.7496298504303684,-266.3834181128022,-263.6337882623718,11273.85864325,11395.130435,239.95396141518358,-702.7260385848164,11289.741723123789,11386.053392877919,179.19591880681037,-763.4840811931896,4,4,False,False
17,1562904000000,1563120000000,2.5369421947603774,28387.140057693192,11189.51,10413.18,11195.67,10407.45,-2026.05,-7.0403,11291.91,10437.735,11249.540301596524,10446.800504625364,91.51428436097619,23.580692929536795,-67.9335914314394,53.648731353315156,32.28649137474227,-21.362239978572887,11295.297573,10434.603679500002,-2238.6581585681815,-212.60815856818158,11252.915163687003,10443.666464473976,-2108.060144503026,-82.01014450302614,4,4,False,False
18,1564862400000,1565136000000,2.427013921141857,26335.86784025925,10851.14,11481.69,10857.11,11475.38,1472.69,5.6946,10848.607500000002,11455.147500000001,10845.215290763697,11454.574673058421,-2.3338561662622492,-23.11724145138916,-20.78338528512691,-5.459987831971658,-23.616146178462305,-18.15615834649065,10851.862082250002,11451.71095575,1401.7104843113266,-70.97951568867347,10848.468855350926,11451.138300656505,1408.5656765998538,-64.1243234001463,4,4,False,False
19,1565222400000,1565611200000,2.3198227247103307,27779.9699213152,11975.04,11328.01,11981.63,11321.78,-1556.99,-5.5072,11947.4225,11392.33,11944.49661438402,11364.879312580979,-23.06255344449837,56.77961089370464,79.84216433820302,-25.50587356366374,32.54703392826963,58.05290749193337,11951.00672675,11388.912301,-1358.1038968413268,198.88610315867322,11948.079963368335,11361.469848787205,-1414.905497707241,142.084502292759,4,4,False,False
20,1565625600000,1565755200000,2.2980382739525678,26197.636323059272,11400.0,10654.92,11406.27,10649.06,-1764.57,-6.6385,11407.8525,10615.9725,11406.265660619636,10615.174266232296,6.888157894737734,-36.55353583133403,-43.44169372607176,5.4961935259956185,-37.30270501111632,-42.79889853711194,11411.27485575,10612.78770825,-1885.5661649342073,-120.9961649342074,11409.687540317822,10611.989713952427,-1883.7467932233885,-119.17679322338859,4,4,False,False
21,1567756800000,1567972800000,2.2778950002730305,24409.62669657576,10715.87,10340.39,10721.76,10334.7,-905.23,-3.61,10709.9875,10357.634999999998,10714.806969510611,10353.428426992645,-5.4895216160721905,16.677320681326435,22.166842297398624,-0.9920151041298286,12.60922169535661,13.601236799486438,10713.20049625,10354.527709499998,-865.0090204188127,40.220979581187294,10718.021411601465,10350.322398464546,-885.5712186588971,19.658781341102895,4,4,False,False
22,1568476800000,1568664000000,2.2670318665677205,23481.417326897805,10357.78,10121.39,10363.48,10115.82,-584.37,-2.3897,10343.767500000002,10167.955,10342.217225500292,10173.106643050518,-13.528478110172992,46.0065267715204,59.53500488169339,-15.025202794139991,51.096384044602146,66.12158683874213,10346.870630250001,10164.9046135,-459.0236067221085,125.34639327789148,10345.31989066794,10170.054711057603,-443.84075525303706,140.52924474696295,4,4,False,False
23,1572134400000,1572451200000,2.478276565011375,22874.492695054993,9230.0,9093.72,9235.08,9088.72,-385.24,-1.5848,9279.109999999999,9061.1475,9284.613609040518,9070.468136385585,53.206933911158494,-35.81867486573187,-89.02560877689037,59.16967393338801,-25.569143996532205,-84.73881792992022,9281.893732999999,9058.42915575,-599.259417318779,-214.019417318779,9287.39899312323,9067.74699594467,-589.8475252176431,-204.60752521764311,4,4,False,False
24,1572480000000,1573228800000,2.4543312546438485,22466.997391634883,9154.02,8820.76,9159.06,8815.91,-863.83,-3.7465,9166.635,8771.72,9168.62719765329,8774.090745109566,13.780830716996206,-55.59611643441209,-69.3769471514083,15.95713976295654,-52.90842840121934,-68.86556816417588,9169.3849905,8769.088484,-1026.48718313676,-162.65718313675995,9171.377785812585,8771.458517886034,-1025.5720225435507,-161.74202254355066,4,4,False,False
25,1573430400000,1573531200000,2.3873536255443253,21582.058751500786,9040.16,8740.65,9045.13,8735.84,-759.24,-3.4194,9040.7375,8746.16,9042.05125471076,8744.001916981684,0.6388161271475568,6.303879002134138,5.665062874986582,2.0920588913897475,3.834860086704417,1.7428011953146694,9043.44972125,8743.536152,-758.4635721109298,0.7764278890701917,9044.763870087172,8741.37871640659,-766.7494585639761,-7.509458563976068,4,4,False,False
26,1577592000000,1577808000000,2.846895310223465,20802.434845521475,7307.06,7195.0,7311.08,7191.04,-362.2,-1.6418,7303.3099999999995,7214.16,7302.915707413058,7211.205291025025,-5.132023002412112,26.629603891590303,31.761626894002415,-5.671627969309201,22.522989610875843,28.194617580185046,7305.500993,7211.995752,-307.52942548373903,54.670574516260956,7305.106582125281,7209.041929437718,-314.8062705439261,47.39372945607391,4,4,False,False
27,1578182400000,1578556800000,2.7766499760797654,20420.01148758605,7354.19,7949.57,7358.24,7945.2,1607.73,7.977,7374.8475,7933.0650000000005,7374.426212599951,7931.556221911484,28.089429291329182,-20.762129272400287,-48.85155856372947,27.516575720714087,-22.660066001702894,-50.17664172241698,7377.0599542499995,7930.6850805,1494.7189436746448,-113.01105632535518,7376.638540463731,7929.17675504491,1491.7063286258308,-116.02367137416923,4,4,False,False
28,1578686400000,1579435200000,2.7307912521948845,22004.85244974899,8058.05,8681.16,8062.48,8676.39,1652.75,7.6143,8079.135,8631.96,8075.008632432254,8626.639661593692,26.166380203647144,-56.67445364444412,-82.84083384809126,21.045578560885403,-62.80305674161934,-83.84863530250475,8081.5587405,8629.370412,1450.3252612367614,-202.42473876323857,8077.431135021983,8624.051669695215,1447.0983112139438,-205.65168878605618,4,4,False,False
29,1579608000000,1579795200000,2.7300121074566586,23633.059611346504,8656.76,8357.81,8661.52,8353.21,-864.49,-3.5595,8654.5475,8348.9475,8652.022364595954,8348.363519115008,-2.5558060983554842,-10.603854358975928,-8.048048260620444,-5.472758172857528,-11.302579126579726,-5.829820953722198,8657.14386425,8346.44281575,-894.6376217110665,-30.14762171106645,8654.617971305333,8345.859010059274,-889.3272104791504,-24.83721047915037,4,4,False,False
30,1579838400000,1581393600000,2.733736374271247,22746.299538397594,8320.59,9733.43,8325.17,9728.08,3808.59,16.8514,8310.51,9745.85,8314.388911028293,9743.811962399675,-12.114525532443965,12.760147245112208,24.87467277755617,-7.452703440149477,10.6662937933244,18.118997233473877,8313.003153,9742.926245,3859.6726180442274,51.082618044227274,8316.8832277016,9740.888818810956,3843.49069329942,34.9006932994198,4,4,False,False
31,1581436800000,1581796800000,2.609569363833748,26526.27258337005,10165.0,9893.52,10170.59,9888.08,-763.04,-2.7777,10203.675,9893.244999999999,10215.481092040132,9894.644485969724,38.04722085587686,-0.2779597150470714,-38.32518057092393,49.66167441232905,1.1365883626091033,-48.525086049719945,10206.7361025,9890.2770265,-878.2664594027337,-115.22645940273378,10218.545736367743,9891.676092623933,-905.4680270659373,-142.42802706593739,4,4,False,False
32,1581840000000,1582156800000,2.584237019874986,25737.915338406514,9959.58,9594.65,9965.06,9589.37,-995.64,-3.77,9975.4025,9615.6225,9975.359541709056,9614.86498938905,15.88671409838538,21.858535746483998,5.971821648098619,15.84358146534015,21.069022204094345,5.225440738754195,9978.39512075,9612.73781325,-995.5732816186428,0.06671838135719099,9978.352149571569,9611.980529892235,-997.4171655488317,-1.7771655488317037,4,4,False,False
33,1582502400000,1582617600000,2.487631807058853,24718.104687659586,9936.4,9520.06,9941.87,9514.82,-1085.99,-4.2954,9963.7275,9560.5875,9962.894294069914,9556.245171935065,27.50241536170206,42.5706350590227,15.06821969732064,26.66387632333178,38.00939483056265,11.345518507230867,9966.71661825,9557.71932375,-1066.0042866634212,19.985713336578783,9965.883162358135,9553.378298383484,-1074.716955849868,11.27304415013191,4,4,False,False
34,1585929600000,1586520000000,3.5167446112612297,23609.102268564464,6713.34,6898.24,6717.03,6894.45,599.67,2.6413,6686.412499999999,6917.8075,6681.20876444505,6912.671815308357,-40.11043683174176,28.365931020086776,68.47636785182854,-47.86177305923678,20.921010733689904,68.7827837929267,6688.418423749999,6915.73215775,751.5620258618947,151.8920258618947,6683.213127074384,6910.598013763764,751.8486128710792,152.17861287107928,4,4,False,False
35,1586721600000,1586966400000,3.4004244574144025,24184.260796310693,7112.13,6701.9,7116.04,6698.21,-1443.57,-5.8716,7127.0125,6732.395,7124.7759331262605,6728.405687032988,20.9255173907108,45.50202181470952,24.57650442399872,17.78079580415426,39.549511381828935,21.768715577674676,7129.150603749999,6730.375281500001,-1403.1336295805777,40.436370419422246,7126.913365906198,6726.387165326878,-1409.0661902275024,34.50380977249756,4,4,False,False
36,1586980800000,1587412800000,3.375740481874094,22718.76720041747,6730.01,6768.94,6733.71,6765.22,83.52,0.4679,6746.16,6840.41,6743.001143126143,6825.043128989036,23.99699257504828,105.58521718319281,81.58822460814453,19.303304342999095,82.88318257960059,63.57987823660149,6748.183848,6838.357877,258.53948119923734,175.01948119923736,6745.02404346908,6822.995616050339,217.40968077443176,133.88968077443178,4,4,False,False
37,1587643200000,1588248000000,3.1931329009143794,22779.458870504084,7133.89,8837.98,7137.81,8833.12,5385.13,23.751,7153.645,8836.855,7151.6255693825915,8811.467436940398,27.691764240826977,-1.2729153041757257,-28.964679545002703,24.8610076446254,-29.99844201910573,-54.85944966373113,7155.7910935,8834.2039435,5308.337113414367,-76.79288658563291,7153.771057053406,8808.823996709316,5233.833306920202,-151.2966930797984,4,4,False,False
38,1588262400000,1589083200000,3.2053877021599657,28133.495538595893,8776.94,8622.73,8781.77,8617.99,-552.6,-1.865,8706.512499999999,8540.68,8702.189711010124,8542.631050292137,-80.24151925386525,-95.15547860132423,-14.913959347458984,-85.16668564428676,-92.89279579421161,-7.72611014992485,8709.124453749999,8538.117796,-603.426735942845,-50.82673594284495,8704.800367923426,8540.06826097705,-583.306759585259,-30.706759585258965,4,4,False,False
39,1589169600000,1590076800000,3.1684548556289256,27553.643853714486,8696.24,9082.5,8701.02,9077.51,1164.1,4.3269,8672.9175,9091.2825,8672.020457259516,9088.645503983895,-26.819062031406826,9.669694467382417,36.48875649878924,-27.850591451574758,6.766313222015263,34.61690467359002,8675.51937525,9088.55511525,1252.4004278761058,88.30042787610591,8674.622063396693,9085.9189103327,1246.9020194924524,82.80201949245247,4,4,False,False
