branch_id,slow_period,fold,cagr,mdd,sharpe,sortino,mar,ulcer_index,n_days,trade_count,win_rate,profit_factor,avg_holding_bars,total_cost,skew,tail_ratio,exposure,mean_MFE_R,median_MFE_R,mean_realized_R,median_realized_R,mean_giveback_R,median_giveback_R,mean_giveback_ratio,median_giveback_ratio,pct_MFE1_loss,pct_MFE1_retained_low,pct_MFE2_retained_low,mean_time_peak_to_exit,exit_reason_mix,top5_pnl_pct,top10_pnl_pct,top10_mean_size,n_partials,partial_frac_of_trades
E0,120,0,65.52279950662947,27.485641171549325,1.1114886134274182,1.023348356606133,2.3838919782760173,18.952908052138508,180,13,30.77,2.0564,52.8,3674.67,2.3282,6.641,0.6317,9.1985,2.0723,4.1013,-0.9115,5.0972,3.6466,1.9352,1.7013,63.64,63.64,50.0,59.08,"{'trail_stop': 12, 'ema_cross_down': 1}",82.84,154.84,22447.4187,0,0.0
E0,120,1,29.45469870873323,17.638736225308804,0.8499606410401597,0.5805427258587994,1.6698871354780158,11.479823021185927,182,9,44.44,1.8323,46.2,3007.97,0.824,2.4441,0.3789,5.5615,4.7226,1.0967,-0.2708,4.4649,4.072,2.9687,1.0656,50.0,62.5,57.14,57.78,{'trail_stop': 9},101.39,101.39,11242.821,0,0.0
E0,120,2,124.39838726808135,17.927774801018437,2.020040175711471,1.7384073157568192,6.938863782526684,9.11835838579394,183,11,45.45,2.477,44.4,4476.78,1.2357,3.2482,0.442,6.5127,4.7226,1.9007,-0.4313,4.6119,4.4484,3.0758,1.0656,44.44,55.56,55.56,45.45,{'trail_stop': 11},76.02,115.89,16340.5632,0,0.0
E0,120,3,44.569770430480695,22.08061011368749,1.234224231748473,0.9431114776820051,2.018502668223486,13.374242107277393,181,10,40.0,1.6911,39.8,4346.0,1.9228,2.8438,0.3645,5.2664,2.7119,1.0555,-0.7705,4.2109,4.2523,1.942,1.2896,55.56,66.67,62.5,50.0,{'trail_stop': 10},148.6,148.6,21438.3055,0,0.0
E0,120,4,-13.839243806223955,13.837813857729309,-0.6272554974272563,-0.28583745293034984,-1.0001033363007588,10.138929087189478,180,6,33.33,0.6115,33.0,2484.94,1.5606,1.2796,0.1823,3.2334,2.1353,-0.57,-1.6744,3.8034,3.9622,3.0309,2.0851,60.0,80.0,66.67,45.33,"{'trail_stop': 5, 'ema_cross_down': 1}",144.84,144.84,8681.2041,0,0.0
E0,120,5,-38.63819867152398,22.100647126568873,-1.7656983488874762,-0.8950184817489211,-1.7482835887223436,11.881082330079192,182,10,20.0,0.2304,22.3,3835.61,1.4597,0.6527,0.2031,2.7108,1.7019,-1.3355,-1.7357,4.0463,4.2102,3.6064,2.5064,71.43,85.71,80.0,36.8,"{'trail_stop': 8, 'ema_cross_down': 2}",27.25,27.25,5163.4189,0,0.0
E0,120,6,-35.9678488707435,24.49688091596589,-1.4563462568525662,-0.944803510453196,-1.4682623879394125,17.21008803084748,183,16,25.0,0.327,19.8,5566.79,0.6931,0.5597,0.2871,3.1419,1.541,-0.8016,-0.9426,3.9435,3.7492,2.8101,1.4049,60.0,90.0,87.5,38.25,"{'trail_stop': 12, 'ema_cross_down': 4}",32.78,40.93,3223.475,0,0.0
E0,120,7,5.341330322102156,31.22871779474121,0.3220359073003752,0.2945264194604934,0.17103905313082096,12.013843941774958,181,16,25.0,0.9484,28.9,5497.7,3.3596,1.8819,0.4231,7.3108,1.4831,2.6457,-1.4516,4.665,3.7585,3.6192,1.9026,63.64,90.91,85.71,42.75,"{'trail_stop': 13, 'ema_cross_down': 3}",1528.36,1690.51,11265.7359,0,0.0
E0,120,8,16.699954043754172,31.22871779474121,0.5914507510911402,0.5718535866855223,0.5347627191586577,21.182787021710602,180,16,31.25,1.161,34.6,5611.18,2.6375,2.9238,0.5092,8.2881,2.0621,3.3497,-2.0709,4.9385,4.5495,4.2605,2.2788,64.29,78.57,62.5,59.75,"{'trail_stop': 15, 'ema_cross_down': 1}",419.77,560.72,13604.9574,0,0.0
E0,120,9,-20.30288310163747,17.023464580069792,-0.9193334228408299,-0.6773781445157865,-1.1926410752724832,12.61368888968239,182,14,21.43,0.7634,26.8,4613.93,1.9408,2.0883,0.3415,3.9712,2.6326,-0.2102,-1.8113,4.1814,4.5495,3.4063,1.9429,72.73,81.82,75.0,61.71,"{'trail_stop': 11, 'ema_cross_down': 3}",177.0,280.95,5428.1445,0,0.0
