branch_id,slow_period,e0_trade_id,entry_bar,exit_bar,entry_price_exec,exit_price_exec,bars_held,ATR_entry,MFE_R_final,MAE_R_final,realized_R,giveback_R,giveback_ratio,exit_reason,partial_exit_done,net_pnl_per_unit,gross_pnl_per_unit,cost_per_unit,time_from_peak_to_exit,entry_ER30_context_bin
E0,120,22,2210,2246,3783.28,3777.02,36,61.7741,4.6382,1.2903,-0.4073,5.0455,1.0878,trail_stop,False,-25.1608,-6.26,18.9008,84.0,<0.10
E1,120,22,2210,2246,3783.28,3777.02,36,61.7741,4.6382,1.2903,-0.4073,5.0455,1.0878,trail_stop,False,-25.1608,-6.26,18.9008,84.0,<0.10
E2,120,22,2210,2246,3783.28,3777.02,36,61.7741,4.6382,1.2903,-0.4073,5.0455,1.0878,trail_stop,False,-25.1608,-6.26,18.9008,84.0,<0.10
E3,120,22,2210,2246,3783.28,3777.02,36,61.7741,4.6382,1.2903,0.8061,3.8321,0.8262,trail_stop,True,49.798,68.8867,19.0886,84.0,<0.10
E4,120,22,2210,2246,3783.28,3777.02,36,61.7741,4.6382,1.2903,0.8061,3.8321,0.8262,trail_stop,True,49.798,68.8867,19.0886,84.0,<0.10
E5,120,22,2210,2246,3783.28,3777.02,36,61.7741,4.6382,1.2903,-0.4073,5.0455,1.0878,trail_stop,False,-25.1608,-6.26,18.9008,84.0,<0.10
E0,120,23,2429,2518,3652.19,3778.65,89,43.0931,12.6658,1.9511,2.5035,10.1623,0.8023,trail_stop,False,107.8829,126.46,18.5771,12.0,>=0.25
E1,120,23,2429,2518,3652.19,3778.65,89,43.0931,12.6658,1.9511,2.5035,10.1623,0.8023,trail_stop,False,107.8829,126.46,18.5771,12.0,>=0.25
E2,120,23,2429,2457,3652.19,3584.94,28,43.0931,0.7611,1.9511,-1.9804,2.7416,3.6019,trail_stop,False,-85.3428,-67.25,18.0928,84.0,>=0.25
E3,120,23,2429,2518,3652.19,3778.65,89,43.0931,12.6658,1.9511,1.3081,11.3577,0.8967,trail_stop,True,56.372,74.82,18.448,12.0,>=0.25
E4,120,23,2429,2518,3652.19,3778.65,89,43.0931,12.6658,1.9511,1.3081,11.3577,0.8967,trail_stop,True,56.372,74.82,18.448,12.0,>=0.25
E5,120,23,2429,2518,3652.19,3778.65,89,43.0931,12.6658,1.9511,2.5035,10.1623,0.8023,trail_stop,False,107.8829,126.46,18.5771,12.0,>=0.25
E0,120,24,2537,2564,3813.93,3727.0,27,48.7732,1.5187,2.804,-2.1689,3.6875,2.4281,trail_stop,False,-105.7823,-86.93,18.8523,88.0,0.15-0.20
E1,120,24,2537,2564,3813.93,3727.0,27,48.7732,1.5187,2.804,-2.1689,3.6875,2.4281,trail_stop,False,-105.7823,-86.93,18.8523,88.0,0.15-0.20
E2,120,24,2537,2564,3813.93,3727.0,27,48.7732,1.5187,2.804,-2.1689,3.6875,2.4281,trail_stop,False,-105.7823,-86.93,18.8523,88.0,0.15-0.20
E3,120,24,2537,2564,3813.93,3727.0,27,48.7732,1.5187,2.804,-1.3107,2.8294,1.8631,trail_stop,True,-63.9272,-44.97,18.9572,88.0,0.15-0.20
E4,120,24,2537,2564,3813.93,3727.0,27,48.7732,1.5187,2.804,-1.3107,2.8294,1.8631,trail_stop,True,-63.9272,-44.97,18.9572,88.0,0.15-0.20
E5,120,24,2537,2564,3813.93,3727.0,27,48.7732,1.5187,2.804,-2.1689,3.6875,2.4281,trail_stop,False,-105.7823,-86.93,18.8523,88.0,0.15-0.20
E0,120,25,2569,2692,3712.98,3962.92,123,38.923,9.155,0.0391,5.9284,3.2266,0.3524,trail_stop,False,230.7503,249.94,19.1898,100.0,>=0.25
E1,120,25,2569,2606,3712.98,3885.5,37,38.923,6.6483,0.0391,3.9443,2.704,0.4067,trail_stop,False,153.5238,172.52,18.9962,40.0,>=0.25
E2,120,25,2569,2606,3712.98,3885.5,37,38.923,6.6483,0.0391,3.9443,2.704,0.4067,trail_stop,False,153.5238,172.52,18.9962,40.0,>=0.25
E3,120,25,2569,2692,3712.98,3962.92,123,38.923,9.155,0.0391,4.8319,4.3231,0.4722,trail_stop,True,188.0706,207.1533,19.0828,100.0,>=0.25
E4,120,25,2569,2606,3712.98,3885.5,37,38.923,6.6483,0.0391,3.5091,3.1391,0.4722,trail_stop,True,136.5862,155.54,18.9538,40.0,>=0.25
E5,120,25,2569,2612,3712.98,3834.69,43,38.923,6.6483,0.0391,2.6422,4.0061,0.6026,trail_stop,False,102.8408,121.71,18.8692,64.0,>=0.25
