strategy,scenario,sharpe,cagr_pct,mdd_pct,calmar,trades,total_return_pct,avg_exposure_pct
E0,smart,1.5277,68.39,38.42,1.7798,211,4029.20,48.03
E0,base,1.4056,60.55,39.96,1.5155,211,2838.45,48.03
E0,harsh,1.2765,52.68,41.53,1.2684,211,1951.93,48.03
E0_EMA21,smart,1.6019,72.33,37.23,1.9427,189,4770.66,46.65
E0_EMA21,base,1.4900,65.06,38.57,1.6867,189,3480.24,46.65
E0_EMA21,harsh,1.3718,57.72,39.96,1.4445,189,2487.08,46.65
E5,smart,1.6404,74.55,36.85,2.0228,225,5236.33,47.12
E5,base,1.5064,65.80,38.54,1.7075,225,3596.32,47.12
E5,harsh,1.3647,57.04,40.26,1.4166,225,2408.63,47.12
E5_EMA21,smart,1.7226,78.83,35.63,2.2125,202,6244.35,45.70
E5_EMA21,base,1.5994,70.68,37.56,1.8820,202,4447.44,45.70
E5_EMA21,harsh,1.4690,62.48,40.90,1.5275,202,3099.72,45.70
X0,smart,1.6019,72.33,37.23,1.9427,189,4770.66,46.65
X0,base,1.4900,65.06,38.57,1.6867,189,3480.24,46.65
X0,harsh,1.3718,57.72,39.96,1.4445,189,2487.08,46.65
X0_E5EXIT,smart,1.7226,78.83,35.63,2.2125,202,6244.35,45.70
X0_E5EXIT,base,1.5994,70.68,37.56,1.8820,202,4447.44,45.70
X0_E5EXIT,harsh,1.4690,62.48,40.90,1.5275,202,3099.72,45.70
