slow_period,full_sharpe,full_cagr,full_mdd,tp2_sharpe,tp2_cagr,tp2_mdd,tp3_sharpe,tp3_cagr,tp3_mdd
30,1.0830,38.34,46.80,0.8367,22.39,44.95,0.7203,17.79,46.39
48,0.9949,34.74,46.52,0.6724,17.14,41.98,0.5407,12.25,45.56
60,1.1569,43.78,41.12,0.9234,27.11,40.89,0.7478,19.75,39.27
72,1.2275,47.90,42.05,1.0156,30.72,41.80,0.8401,23.06,38.24
84,1.2478,49.55,41.24,1.0356,31.83,41.25,0.8283,22.84,39.16
96,1.2540,49.93,43.43,1.0562,32.64,43.98,0.8412,23.31,40.31
108,1.3853,57.42,39.97,1.2155,39.38,40.00,0.9596,27.86,44.99
120,1.4690,62.48,40.90,1.3356,44.53,43.54,1.0947,33.10,47.69
144,1.4497,60.72,41.11,1.3424,44.40,42.28,1.1146,33.50,46.91
168,1.3132,52.44,46.67,1.1564,36.15,48.38,0.9382,26.49,51.98
200,1.5464,64.88,36.52,1.4481,47.55,33.99,1.2022,35.79,38.34
240,1.4022,55.65,39.95,1.2963,40.69,37.42,1.0736,30.67,36.46
300,1.3000,49.62,39.19,1.1776,35.63,38.30,0.9273,25.21,40.38
360,1.2909,48.61,38.12,1.1559,34.45,36.25,0.9435,25.51,33.86
500,1.2132,43.99,45.78,1.0428,29.90,44.73,0.8074,20.73,43.56
720,1.0980,37.56,39.02,0.9338,25.42,38.24,0.7191,17.53,37.11
