tp1_R,sharpe,cagr,mdd,trades,d_sharpe,d_cagr,d_mdd
none,1.4690,62.48,40.90,202,0,0,0
0.50,1.3474,38.45,38.93,202,-0.1216,-24.03,-1.98
0.75,1.3539,40.89,36.42,202,-0.1152,-21.60,-4.49
1.00,1.3008,40.47,41.17,202,-0.1682,-22.02,+0.26
1.25,1.3159,42.46,41.07,202,-0.1531,-20.02,+0.16
1.50,1.3356,44.53,43.54,202,-0.1335,-17.95,+2.63
1.75,1.3411,45.66,42.58,202,-0.1280,-16.82,+1.68
2.00,1.3494,46.80,44.92,202,-0.1196,-15.68,+4.01
2.25,1.2620,43.92,44.97,202,-0.2070,-18.57,+4.07
2.50,1.2462,43.54,46.33,202,-0.2229,-18.94,+5.43
2.75,1.2470,43.94,45.81,202,-0.2220,-18.54,+4.90
3.00,1.2408,44.55,47.18,202,-0.2282,-17.93,+6.28
