slow_period,sharpe,cagr,mdd,calmar,trades
30,-0.7216,-25.77,92.54,-0.2785,262
48,-0.7580,-27.46,93.92,-0.2924,252
60,-0.7884,-28.74,94.70,-0.3035,249
72,-0.6716,-25.97,93.59,-0.2775,242
84,-0.6545,-25.65,93.28,-0.2749,239
96,-0.6655,-25.71,93.05,-0.2763,239
108,-0.6424,-24.95,92.66,-0.2693,239
120,-0.6550,-24.95,92.53,-0.2697,238
144,-0.5239,-21.06,88.47,-0.2381,228
168,-0.6306,-23.53,90.06,-0.2613,224
200,-0.5644,-21.37,89.89,-0.2377,216
240,-0.6511,-23.44,91.42,-0.2564,212
300,-0.6826,-23.36,91.04,-0.2566,201
360,-0.5832,-20.37,89.16,-0.2285,192
500,-0.6673,-21.58,87.63,-0.2463,168
720,-0.6356,-18.44,80.47,-0.2291,153
