path,d_sharpe,d_cagr,d_mdd
0,0.092490,3.563741,0.766884
1,-0.035945,-1.056156,-3.123232
2,0.019492,0.539000,1.505322
3,-0.080848,-2.582056,-0.166138
4,0.051241,2.144276,-2.006115
5,0.027041,2.247962,2.234945
6,-0.042601,-1.515045,7.107304
7,0.016433,0.847245,-4.364787
8,0.112422,4.727682,3.967803
9,-0.068519,-2.598886,-3.274032
10,-0.058840,-2.075006,2.374854
11,0.020933,0.755101,-0.680093
12,-0.007132,-0.184722,1.201651
13,0.042742,0.978666,-0.758752
14,0.119210,5.571253,0.063137
15,0.020689,1.491684,-0.460990
16,0.036260,1.114502,-2.354260
17,-0.050504,-1.948758,1.322538
18,-0.006677,-0.272787,3.270531
19,0.050630,3.057739,-0.911076
20,0.029561,1.739134,3.105630
21,0.044369,2.776835,-2.381998
22,-0.068113,-3.605141,-1.917906
23,0.166102,9.457273,-2.073279
24,-0.109230,-3.858800,9.184515
25,0.037524,1.610304,2.744679
26,0.063897,2.013518,-4.173322
27,0.011869,0.209585,-0.454951
28,0.071012,2.282124,-3.605775
29,-0.047919,-1.941351,-0.000000
30,0.105843,4.980631,-2.460333
31,0.030275,2.649465,10.979760
32,0.016883,1.095006,-9.337201
33,0.057957,2.171292,-0.452923
34,0.030831,2.040756,-1.304623
35,0.033020,1.504469,0.250687
36,-0.081906,-3.029370,-2.070107
37,0.160827,4.302009,-6.037405
38,0.116992,3.598719,-5.590502
39,0.082431,2.137988,-4.207400
40,0.156607,6.850327,-6.813719
41,-0.120184,-4.696486,5.418074
42,0.011922,1.031414,-3.204435
43,0.025206,1.322195,4.557126
44,-0.021894,-0.759493,0.044352
45,0.087377,3.130005,1.245714
46,-0.002193,-0.115023,2.400200
47,0.043708,1.716283,-7.114226
48,-0.029455,-1.109567,0.366136
49,-0.097633,-3.644223,9.218059
50,-0.029863,-0.948639,-0.000000
51,-0.023590,-0.869741,-2.548983
52,-0.040179,-1.320999,0.846194
53,-0.015512,-0.071223,3.076008
54,0.055995,2.020952,-3.740398
55,0.041155,1.756111,-0.777873
56,-0.061008,-2.032864,0.000000
57,0.044419,1.965624,-4.889426
58,0.135996,5.240523,-6.053938
59,-0.047476,-1.759705,-2.035488
60,-0.074213,-2.648995,-4.877362
61,-0.014652,-0.305690,-0.873650
62,-0.012876,-0.525791,0.116679
63,-0.108173,-3.688255,0.328935
64,0.003968,0.027625,6.801462
65,0.009762,0.884637,1.472427
66,0.096044,5.204719,-2.979792
67,0.071905,2.662562,-6.628624
68,-0.054119,-1.970549,3.933564
69,0.175346,8.659055,-2.482809
70,-0.025195,-1.212710,-0.151237
71,0.067148,4.066428,-2.358874
72,0.015537,1.105759,4.656484
73,0.091229,5.816898,2.118002
74,0.068334,2.845571,-3.327108
75,0.014374,0.303834,-1.939300
76,0.030181,0.931637,2.629790
77,0.032399,2.656858,6.998851
78,-0.093330,-3.544437,-3.369944
79,-0.007160,-0.166467,3.422282
80,-0.063091,-2.665563,1.207619
81,-0.013837,-0.433295,0.059311
82,-0.038141,-1.917454,0.513147
83,-0.066230,-2.347766,-2.002305
84,0.018316,0.767207,1.662247
85,-0.083549,-2.631873,-1.163971
86,-0.110353,-4.091375,1.589802
87,0.137436,6.124890,2.354040
88,0.085486,3.190536,-5.195354
89,-0.081854,-2.898914,2.176307
90,0.059522,2.915651,-2.349669
91,0.073004,2.526600,-4.260948
92,0.243361,11.005847,-1.718786
93,-0.066890,-2.667268,4.792431
94,-0.019996,-0.706203,4.829188
95,0.044225,1.314966,1.975592
96,0.073117,3.067344,2.104578
97,0.059543,2.077753,-2.910589
98,-0.018224,-0.756539,7.645354
99,0.110944,3.973857,3.694537
100,-0.011335,0.441710,1.521790
101,0.012924,0.626746,3.800091
102,-0.056596,-1.963996,8.053295
103,-0.089537,-2.669041,-3.059821
104,-0.114917,-4.434482,2.582746
105,0.153549,5.929213,-10.733674
106,-0.035270,-0.993578,-0.000000
107,0.001545,0.082699,2.311947
108,0.000988,0.128091,-0.016656
109,-0.071314,-2.246782,3.545722
110,-0.029463,-1.281946,4.342380
111,0.074155,3.147049,-5.060870
112,0.243320,12.141678,-2.435309
113,-0.073005,-2.963242,4.615997
114,-0.005847,-0.286054,4.125490
115,0.163190,4.952214,-6.466626
116,0.007868,1.078263,-0.000000
117,0.171671,5.903162,-10.888747
118,0.054560,2.649630,-5.419969
119,0.055310,2.100404,0.045305
120,0.088947,2.813787,-3.559922
121,-0.028902,-0.884594,1.725187
122,0.034971,2.230031,-1.390976
123,-0.094037,-3.789192,4.002497
124,0.093824,4.038265,-2.101728
125,-0.012006,-0.052271,10.734552
126,-0.025119,-0.740995,0.774213
127,0.139395,7.874584,-2.503858
128,0.073920,2.910168,0.559386
129,-0.029347,-0.962872,0.055564
130,0.115235,4.778807,-3.904550
131,0.163452,8.686119,-0.412212
132,0.001867,1.357685,10.514247
133,0.003189,0.934256,-0.624804
134,0.037272,1.439659,-0.346720
135,0.008226,0.564472,7.424454
136,0.102994,4.128748,0.201489
137,0.112700,3.984287,-4.418282
138,0.094254,5.037431,-1.755982
139,-0.020886,-1.095250,-1.712399
140,-0.126554,-5.040565,3.955467
141,0.087793,2.186975,-1.862205
142,-0.006935,1.014911,6.435363
143,0.140723,6.213246,-5.777773
144,0.173427,5.228344,-7.960832
145,-0.041578,-1.520278,-3.348567
146,-0.070932,-2.693767,-1.186457
147,0.048287,1.420348,-2.575783
148,-0.000161,0.084797,-1.782593
149,0.048314,1.728042,0.303165
150,-0.051388,-1.931743,3.857157
151,0.041773,2.738948,-0.597843
152,-0.039510,-1.707265,-0.089201
153,0.068868,2.656495,3.103040
154,0.036126,0.834003,-1.141785
155,-0.110836,-4.212787,3.623900
156,0.078537,4.643229,2.249137
157,0.008609,0.312131,0.032878
158,-0.067123,-2.288734,7.912930
159,-0.001444,0.033860,-5.071844
160,-0.062712,-2.039647,1.659250
161,-0.003285,0.250619,1.934383
162,-0.044099,-1.600410,6.478611
163,0.000000,0.000000,0.000000
164,0.003144,0.106097,-0.278570
165,0.034581,1.101998,3.368942
166,0.069356,3.195539,2.907904
167,0.016310,0.424417,2.920108
168,-0.023429,0.580328,-0.921496
169,0.062190,1.634456,1.089397
170,-0.051825,-1.717764,-1.861347
171,0.156548,4.886704,-8.716238
172,0.073177,3.253367,1.076866
173,-0.161261,-5.227926,5.170423
174,-0.071662,-2.389070,1.155390
175,-0.051033,-1.877920,0.073821
176,-0.017873,-0.745408,0.006704
177,0.044644,2.211853,0.332773
178,0.140633,3.827667,-6.226741
179,-0.104411,-6.216315,3.523234
180,0.023086,0.939957,1.252171
181,0.064814,3.578416,-0.972555
182,0.076336,2.528475,-3.745782
183,0.038530,0.521427,3.313890
