,BTCUSDT,ETHUSDT,BNBUSDT,SOLUSDT,XRPUSDT,LTCUSDT,ADAUSDT,DOGEUSDT,TRXUSDT,AVAXUSDT,LINKUSDT,BCHUSDT,HBARUSDT,XLMUSDT
BTCUSDT,1.0,0.5973,0.4055,0.4805,0.3365,0.4148,0.4155,0.4071,0.2307,0.4036,0.4078,0.3815,0.3172,0.3163
ETHUSDT,0.5973,1.0,0.4642,0.4766,0.3235,0.4488,0.4477,0.3713,0.2296,0.4191,0.4837,0.3685,0.3149,0.3128
BNBUSDT,0.4055,0.4642,1.0,0.3835,0.266,0.375,0.3486,0.3162,0.238,0.3847,0.3419,0.3079,0.2651,0.2596
SOLUSDT,0.4805,0.4766,0.3835,1.0,0.2725,0.3263,0.4191,0.3313,0.2005,0.4916,0.4046,0.2818,0.2896,0.272
XRPUSDT,0.3365,0.3235,0.266,0.2725,1.0,0.3739,0.4403,0.2853,0.196,0.3218,0.3426,0.2676,0.3959,0.576
LTCUSDT,0.4148,0.4488,0.375,0.3263,0.3739,1.0,0.4115,0.3366,0.2176,0.3367,0.3846,0.4518,0.3214,0.3645
ADAUSDT,0.4155,0.4477,0.3486,0.4191,0.4403,0.4115,1.0,0.409,0.2111,0.4327,0.4419,0.3249,0.4029,0.4726
DOGEUSDT,0.4071,0.3713,0.3162,0.3313,0.2853,0.3366,0.409,1.0,0.1435,0.3485,0.3214,0.3053,0.2931,0.3045
TRXUSDT,0.2307,0.2296,0.238,0.2005,0.196,0.2176,0.2111,0.1435,1.0,0.1977,0.2089,0.1962,0.169,0.179
AVAXUSDT,0.4036,0.4191,0.3847,0.4916,0.3218,0.3367,0.4327,0.3485,0.1977,1.0,0.4257,0.2728,0.3572,0.3141
LINKUSDT,0.4078,0.4837,0.3419,0.4046,0.3426,0.3846,0.4419,0.3214,0.2089,0.4257,1.0,0.3051,0.3633,0.346
BCHUSDT,0.3815,0.3685,0.3079,0.2818,0.2676,0.4518,0.3249,0.3053,0.1962,0.2728,0.3051,1.0,0.2357,0.3045
HBARUSDT,0.3172,0.3149,0.2651,0.2896,0.3959,0.3214,0.4029,0.2931,0.169,0.3572,0.3633,0.2357,1.0,0.3826
XLMUSDT,0.3163,0.3128,0.2596,0.272,0.576,0.3645,0.4726,0.3045,0.179,0.3141,0.346,0.3045,0.3826,1.0
