trade_id,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,bars_held,exit_reason,gross_return,net_return,peak_price,entry_vdo,entry_tbr,entry_atr20_pct,entry_vol_rel
1,87,107,2017-08-31 16:00:00,2017-09-04 00:00:00,4698.77,4340.51,20,trail_stop,-0.076245,-0.081245,4834.91,0.002974,0.44252,0.022357,0.6031
2,108,116,2017-09-04 04:00:00,2017-09-05 12:00:00,4186.96,4151.0,8,trend_exit,-0.008589,-0.013589,4246.82,0.056325,0.369609,0.039321,2.3753
3,125,143,2017-09-07 00:00:00,2017-09-10 00:00:00,4484.03,4144.0,18,trail_stop,-0.075831,-0.080831,4755.0,0.07262,0.452614,0.04115,0.5104
4,275,372,2017-10-02 00:00:00,2017-10-18 04:00:00,4419.85,5277.22,97,trail_stop,0.193982,0.188982,5869.99,0.017337,0.558166,0.024836,0.9777
5,377,412,2017-10-19 00:00:00,2017-10-24 20:00:00,5585.0,5477.03,35,trail_stop,-0.019332,-0.024332,6149.99,0.013896,0.565247,0.028013,1.0076
6,414,490,2017-10-25 04:00:00,2017-11-06 20:00:00,5541.51,6960.12,76,trail_stop,0.255997,0.250997,7536.01,0.004551,0.466415,0.031627,1.1559
7,502,513,2017-11-08 20:00:00,2017-11-10 16:00:00,7303.0,6526.31,11,trail_stop,-0.106352,-0.111352,7345.05,0.001069,0.457765,0.031983,2.3241
8,514,689,2017-11-10 20:00:00,2017-12-10 00:00:00,6506.98,12647.07,175,trail_stop,0.943616,0.938616,16599.0,0.024748,0.48442,0.039632,1.8821
9,690,750,2017-12-10 04:00:00,2017-12-20 04:00:00,13419.98,16354.17,60,trail_stop,0.218643,0.213643,19709.5,0.000109,0.551638,0.079607,1.5068
10,756,762,2017-12-21 04:00:00,2017-12-22 04:00:00,17038.99,12726.45,6,trail_stop,-0.253098,-0.258098,17038.99,0.014974,0.604345,0.057605,1.0807
11,763,774,2017-12-22 08:00:00,2017-12-24 04:00:00,13456.0,13252.12,11,trend_exit,-0.015152,-0.020152,14642.99,0.039248,0.507466,0.091621,1.7892
12,796,797,2017-12-27 20:00:00,2017-12-28 00:00:00,15459.99,14163.42,1,trend_exit,-0.083866,-0.088866,15459.99,0.000647,0.529663,0.066719,0.81
13,846,866,2018-01-05 04:00:00,2018-01-08 12:00:00,14920.14,14299.98,20,trail_stop,-0.041565,-0.046565,17069.79,0.042209,0.593532,0.046323,1.0299
14,1103,1131,2018-02-17 00:00:00,2018-02-21 16:00:00,10459.04,10385.5,28,trail_stop,-0.007031,-0.012031,11668.0,0.003328,0.527118,0.032881,1.1037
15,1164,1207,2018-02-27 04:00:00,2018-03-06 08:00:00,10600.0,10937.0,43,trail_stop,0.031792,0.026792,11669.08,0.004653,0.529802,0.034641,1.054
16,1445,1511,2018-04-15 00:00:00,2018-04-26 00:00:00,8083.99,8808.02,66,trail_stop,0.089563,0.084563,9619.99,0.00194,0.524471,0.026022,0.6414
17,1516,1578,2018-04-26 20:00:00,2018-05-07 04:00:00,9266.0,9324.25,62,trail_stop,0.006286,0.001286,9929.99,0.004093,0.553349,0.026376,1.036
18,1589,1602,2018-05-09 00:00:00,2018-05-11 04:00:00,9032.08,8723.0,13,trail_stop,-0.03422,-0.03922,9369.0,0.005195,0.544325,0.019836,1.3328
19,1933,1963,2018-07-05 08:00:00,2018-07-10 08:00:00,6614.65,6365.06,30,trail_stop,-0.037733,-0.042733,6765.18,0.001597,0.565034,0.018493,1.1539
20,2005,2063,2018-07-17 08:00:00,2018-07-27 00:00:00,6675.76,7886.35,58,trail_stop,0.181341,0.176341,8397.24,0.011704,0.593111,0.013679,1.2252
21,2079,2090,2018-07-29 16:00:00,2018-07-31 12:00:00,8221.01,7758.44,11,trail_stop,-0.056267,-0.061267,8221.01,0.006364,0.602787,0.015728,0.7013
22,2099,2114,2018-08-02 00:00:00,2018-08-04 12:00:00,7642.33,6981.44,15,trail_stop,-0.086478,-0.091478,7659.0,0.007231,0.603308,0.018519,1.0526
23,2251,2305,2018-08-27 08:00:00,2018-09-05 08:00:00,6713.01,6991.9,54,trail_stop,0.041545,0.036545,7379.33,0.00423,0.573675,0.015054,1.3799
24,2408,2423,2018-09-22 12:00:00,2018-09-25 00:00:00,6685.21,6468.18,15,trail_stop,-0.032464,-0.037464,6747.24,0.014601,0.558383,0.01464,0.7847
25,2442,2468,2018-09-28 04:00:00,2018-10-02 12:00:00,6788.99,6555.8,26,trail_stop,-0.034348,-0.039348,6788.99,0.01674,0.590195,0.013503,1.2786
26,2486,2519,2018-10-05 12:00:00,2018-10-11 00:00:00,6598.51,6340.52,33,trail_stop,-0.039098,-0.044098,6695.33,0.002273,0.591236,0.010454,0.5459
27,2549,2570,2018-10-16 00:00:00,2018-10-19 12:00:00,6730.96,6572.35,21,trail_stop,-0.023564,-0.028564,6824.71,0.00851,0.481259,0.020138,0.8307
28,2571,2606,2018-10-19 16:00:00,2018-10-25 12:00:00,6555.38,6546.14,35,trend_exit,-0.00141,-0.00641,6645.0,0.019205,0.611079,0.013174,1.0922
29,2955,2969,2018-12-22 16:00:00,2018-12-25 00:00:00,3877.86,3709.1,14,trail_stop,-0.043519,-0.048519,4161.5,0.000962,0.523461,0.030102,0.5145
30,2974,2986,2018-12-25 20:00:00,2018-12-27 20:00:00,3745.79,3567.91,12,trend_exit,-0.047488,-0.052488,3795.23,0.000652,0.534209,0.031675,0.9774
31,3035,3066,2019-01-05 00:00:00,2019-01-10 04:00:00,3815.0,3777.02,31,trail_stop,-0.009955,-0.014955,4002.46,0.00858,0.535421,0.01732,1.3708
32,3249,3338,2019-02-09 16:00:00,2019-02-24 12:00:00,3652.19,3778.65,89,trail_stop,0.034626,0.029626,4169.7,0.008955,0.542129,0.011183,1.0107
33,3357,3384,2019-02-27 16:00:00,2019-03-04 04:00:00,3813.93,3727.0,27,trail_stop,-0.022793,-0.027793,3852.88,0.003123,0.553589,0.013546,0.4879
34,3397,3512,2019-03-06 08:00:00,2019-03-25 12:00:00,3862.55,3962.92,115,trail_stop,0.025985,0.020985,4047.78,0.002167,0.563877,0.011495,1.4827
35,3515,3613,2019-03-26 00:00:00,2019-04-11 08:00:00,3937.26,5001.91,98,trail_stop,0.270404,0.265404,5363.83,0.001121,0.579223,0.00828,0.9584
36,3620,3700,2019-04-12 12:00:00,2019-04-25 20:00:00,5037.45,5219.9,80,trail_stop,0.036219,0.031219,5568.08,7.3e-05,0.510834,0.021276,0.8803
37,3706,3827,2019-04-26 20:00:00,2019-05-17 00:00:00,5314.1,7344.03,121,trail_stop,0.381989,0.376989,8321.66,0.010069,0.56809,0.018997,0.6433
38,3831,3910,2019-05-17 16:00:00,2019-05-30 20:00:00,7136.72,8269.54,79,trail_stop,0.158731,0.153731,8941.25,0.001791,0.536092,0.041233,1.0424
39,3915,3934,2019-05-31 16:00:00,2019-06-03 20:00:00,8442.75,8115.82,19,trail_stop,-0.038723,-0.043723,8725.98,0.003306,0.56418,0.02412,0.9211
40,3961,3962,2019-06-08 08:00:00,2019-06-08 12:00:00,7980.59,7919.43,1,trend_exit,-0.007664,-0.012664,7980.59,0.009807,0.579807,0.022577,0.5241
41,3989,4076,2019-06-13 00:00:00,2019-06-27 12:00:00,8082.01,11830.0,87,trail_stop,0.463745,0.458745,13960.76,0.006698,0.535469,0.019596,0.5939
42,4086,4100,2019-06-29 04:00:00,2019-07-01 12:00:00,11873.61,10396.98,14,trail_stop,-0.124362,-0.129362,12133.8,0.001574,0.548939,0.052,0.5755
43,4109,4158,2019-07-03 00:00:00,2019-07-11 04:00:00,11289.48,11586.18,49,trail_stop,0.026281,0.021281,12970.23,0.010553,0.581554,0.048938,1.612
44,4163,4178,2019-07-12 00:00:00,2019-07-14 12:00:00,11186.81,10413.12,15,trail_stop,-0.069161,-0.074161,11757.22,0.003488,0.558475,0.039203,0.7742
45,4299,4341,2019-08-03 16:00:00,2019-08-10 16:00:00,10850.6,11329.1,42,trail_stop,0.044099,0.039099,12185.24,0.000251,0.549298,0.017958,0.9727
46,4345,4358,2019-08-11 08:00:00,2019-08-13 12:00:00,11469.94,10951.09,13,trail_stop,-0.045236,-0.050236,11549.97,0.004689,0.551855,0.022028,1.3356
47,4500,4517,2019-09-06 04:00:00,2019-09-09 00:00:00,10716.51,10298.96,17,trail_stop,-0.038963,-0.043963,10843.0,0.01243,0.670706,0.016498,1.2248
48,4550,4563,2019-09-14 12:00:00,2019-09-16 16:00:00,10356.32,10121.39,13,trend_exit,-0.022685,-0.027685,10363.73,0.028876,0.565902,0.013811,1.4915
49,4804,4835,2019-10-26 20:00:00,2019-11-01 00:00:00,9230.0,9063.13,31,trail_stop,-0.018079,-0.023079,9712.73,0.000642,0.568676,0.031544,0.9314
50,4836,4879,2019-11-01 04:00:00,2019-11-08 08:00:00,9099.0,9026.27,43,trail_stop,-0.007993,-0.012993,9404.24,0.001446,0.532925,0.024104,0.487
51,4900,4901,2019-11-11 20:00:00,2019-11-12 00:00:00,8733.27,8740.65,1,trend_exit,0.000845,-0.004155,8740.65,0.004016,0.536298,0.01466,0.6103
52,5183,5198,2019-12-29 00:00:00,2019-12-31 12:00:00,7307.27,7195.96,15,trail_stop,-0.015233,-0.020233,7473.05,0.007218,0.565823,0.013267,0.5338
53,5224,5254,2020-01-04 20:00:00,2020-01-09 20:00:00,7354.11,7817.76,30,trail_stop,0.063046,0.058046,8332.47,0.030599,0.549809,0.012655,0.7394
54,5259,5312,2020-01-10 16:00:00,2020-01-19 12:00:00,8059.49,8631.95,53,trail_stop,0.071029,0.066029,9157.61,0.0001,0.526229,0.019979,1.6159
55,5323,5339,2020-01-21 08:00:00,2020-01-24 00:00:00,8656.76,8320.57,16,trail_stop,-0.038836,-0.043836,8740.27,0.002066,0.526058,0.016235,0.9761
56,5340,5447,2020-01-24 04:00:00,2020-02-11 00:00:00,8340.0,9733.39,107,trail_stop,0.167073,0.162073,10151.75,0.003832,0.522103,0.01507,0.718
57,5450,5480,2020-02-11 12:00:00,2020-02-16 12:00:00,10164.99,9858.54,30,trail_stop,-0.030148,-0.035148,10379.74,0.00441,0.553503,0.013818,2.5991
58,5490,5503,2020-02-18 04:00:00,2020-02-20 08:00:00,9790.58,9565.39,13,trail_stop,-0.023001,-0.028001,10164.71,0.006618,0.54388,0.0169,0.9541
59,5762,5803,2020-04-03 12:00:00,2020-04-10 08:00:00,6711.9,6898.24,41,trail_stop,0.027763,0.022763,7381.01,0.009299,0.477199,0.029231,1.9902
60,5817,5834,2020-04-12 16:00:00,2020-04-15 12:00:00,7112.13,6701.9,17,trail_stop,-0.05768,-0.06268,7112.13,0.003969,0.520309,0.019123,2.8211
61,5835,5865,2020-04-15 16:00:00,2020-04-20 16:00:00,6730.01,6768.88,30,trail_stop,0.005776,0.000776,7248.6,0.006276,0.469047,0.019575,0.5752
62,5881,5981,2020-04-23 08:00:00,2020-05-10 00:00:00,7133.39,8622.78,100,trail_stop,0.208791,0.203791,9986.4,0.005775,0.519685,0.016521,0.8405
63,5987,6050,2020-05-11 00:00:00,2020-05-21 12:00:00,8696.64,9084.38,63,trail_stop,0.044585,0.039585,9860.51,0.001164,0.489922,0.032151,0.6072
64,6059,6070,2020-05-23 00:00:00,2020-05-24 20:00:00,9286.61,8720.34,11,trail_stop,-0.060977,-0.065977,9286.61,0.009752,0.488372,0.02149,0.7808
65,6093,6122,2020-05-28 16:00:00,2020-06-02 12:00:00,9452.25,9468.81,29,trail_stop,0.001752,-0.003248,10200.77,0.015029,0.491902,0.016837,1.1954
66,6130,6177,2020-06-03 20:00:00,2020-06-11 16:00:00,9666.24,9280.93,47,trail_stop,-0.039861,-0.044861,9889.17,0.002262,0.505028,0.018077,0.7184
67,6249,6254,2020-06-23 16:00:00,2020-06-24 12:00:00,9640.48,9249.93,5,trail_stop,-0.040511,-0.045511,9651.16,0.001437,0.505575,0.01047,1.246
68,6340,6348,2020-07-08 20:00:00,2020-07-10 04:00:00,9436.06,9154.99,8,trail_stop,-0.029787,-0.034787,9436.06,0.004109,0.517427,0.008987,1.1823
69,6353,6355,2020-07-11 00:00:00,2020-07-11 08:00:00,9268.2,9200.37,2,trend_exit,-0.007319,-0.012319,9268.8,0.008127,0.508274,0.008865,0.5824
70,6441,6490,2020-07-25 16:00:00,2020-08-02 20:00:00,9674.14,11071.35,49,trail_stop,0.144427,0.139427,12000.0,0.006206,0.517973,0.008003,1.4325
71,6491,6543,2020-08-03 00:00:00,2020-08-11 16:00:00,11136.47,11387.05,52,trail_stop,0.022501,0.017501,12009.4,0.007386,0.505811,0.025199,0.6949
72,6547,6587,2020-08-12 08:00:00,2020-08-19 00:00:00,11460.44,11837.11,40,trail_stop,0.032867,0.027867,12421.55,0.00042,0.485921,0.018089,1.0642
73,6589,6626,2020-08-19 08:00:00,2020-08-25 12:00:00,11842.48,11419.41,37,trail_stop,-0.035725,-0.040725,11866.58,0.001677,0.530102,0.016016,1.2935
74,6659,6673,2020-08-31 00:00:00,2020-09-02 08:00:00,11679.09,11406.02,14,trail_stop,-0.023381,-0.028381,12039.33,0.01525,0.491571,0.010177,0.9325
75,6768,6787,2020-09-18 04:00:00,2020-09-21 08:00:00,10954.14,10636.47,19,trail_stop,-0.029,-0.034,11140.0,0.007221,0.476663,0.01253,0.8068
76,6830,6852,2020-09-28 12:00:00,2020-10-02 04:00:00,10901.9,10490.88,22,trail_stop,-0.037702,-0.042702,10903.16,0.009284,0.486372,0.010708,1.8646
77,6893,7015,2020-10-09 00:00:00,2020-10-29 08:00:00,10887.19,13052.06,122,trail_stop,0.198846,0.193846,13779.99,0.007684,0.481217,0.008967,0.7626
78,7016,7182,2020-10-29 12:00:00,2020-11-26 04:00:00,13436.95,17619.9,166,trail_stop,0.311302,0.306302,19358.57,0.003435,0.497793,0.01785,1.7241
79,7191,7255,2020-11-27 16:00:00,2020-12-08 08:00:00,16803.14,18762.96,64,trail_stop,0.116634,0.111634,19695.87,0.002965,0.502494,0.03233,0.6449
80,7270,7458,2020-12-10 20:00:00,2021-01-11 04:00:00,18254.63,34375.34,188,trail_stop,0.883103,0.878103,41286.67,0.002019,0.488775,0.018895,0.6369
81,7463,7494,2021-01-12 00:00:00,2021-01-17 04:00:00,34984.96,34760.9,31,trail_stop,-0.006404,-0.011404,39876.98,0.002251,0.499759,0.064571,1.0342
82,7497,7519,2021-01-17 16:00:00,2021-01-21 08:00:00,35633.91,32208.62,22,trail_stop,-0.096124,-0.101124,37329.4,0.001991,0.535464,0.047052,0.635
83,7589,7716,2021-02-02 00:00:00,2021-02-23 04:00:00,33550.32,49640.33,127,trail_stop,0.479578,0.474578,58072.62,0.000361,0.495433,0.037474,0.6525
