start_bar,end_bar,start_dt,end_dt,duration_bars,duration_hours,duration_days
0,124,2017-08-17 04:00:00,2017-09-06 23:59:59.999,125,500,20.833333333333332
136,275,2017-09-08 20:00:00,2017-10-02 03:59:59.999,140,560,23.333333333333332
356,377,2017-10-15 12:00:00,2017-10-19 03:59:59.999,22,88,3.6666666666666665
408,411,2017-10-24 04:00:00,2017-10-24 19:59:59.999,4,16,0.6666666666666666
490,502,2017-11-06 20:00:00,2017-11-08 23:59:59.999,13,52,2.1666666666666665
513,513,2017-11-10 16:00:00,2017-11-10 19:59:59.999,1,4,0.16666666666666666
522,532,2017-11-12 04:00:00,2017-11-13 23:59:59.999,11,44,1.8333333333333333
628,628,2017-11-29 20:00:00,2017-11-29 23:59:59.999,1,4,0.16666666666666666
633,633,2017-11-30 16:00:00,2017-11-30 19:59:59.999,1,4,0.16666666666666666
687,687,2017-12-09 16:00:00,2017-12-09 19:59:59.999,1,4,0.16666666666666666
746,756,2017-12-19 12:00:00,2017-12-21 07:59:59.999,11,44,1.8333333333333333
762,762,2017-12-22 04:00:00,2017-12-22 07:59:59.999,1,4,0.16666666666666666
775,796,2017-12-24 08:00:00,2017-12-27 23:59:59.999,22,88,3.6666666666666665
798,846,2017-12-28 04:00:00,2018-01-05 07:59:59.999,49,196,8.166666666666666
867,1103,2018-01-08 16:00:00,2018-02-17 03:59:59.999,237,948,39.5
1132,1164,2018-02-21 20:00:00,2018-02-27 07:59:59.999,33,132,5.5
1210,1445,2018-03-06 20:00:00,2018-04-15 03:59:59.999,236,944,39.333333333333336
1509,1516,2018-04-25 16:00:00,2018-04-26 23:59:59.999,8,32,1.3333333333333333
1578,1589,2018-05-07 04:00:00,2018-05-09 03:59:59.999,12,48,2.0
1603,1933,2018-05-11 08:00:00,2018-07-05 11:59:59.999,331,1324,55.166666666666664
1964,2005,2018-07-10 12:00:00,2018-07-17 11:59:59.999,42,168,7.0
2063,2079,2018-07-27 00:00:00,2018-07-29 19:59:59.999,17,68,2.8333333333333335
2091,2099,2018-07-31 16:00:00,2018-08-02 03:59:59.999,9,36,1.5
2115,2251,2018-08-04 16:00:00,2018-08-27 11:59:59.999,137,548,22.833333333333332
2306,2408,2018-09-05 12:00:00,2018-09-22 15:59:59.999,103,412,17.166666666666668
2424,2442,2018-09-25 04:00:00,2018-09-28 07:59:59.999,19,76,3.1666666666666665
2448,2449,2018-09-29 04:00:00,2018-09-29 11:59:59.999,2,8,0.3333333333333333
2475,2482,2018-10-03 16:00:00,2018-10-04 23:59:59.999,8,32,1.3333333333333333
2520,2549,2018-10-11 04:00:00,2018-10-16 03:59:59.999,30,120,5.0
2567,2570,2018-10-19 00:00:00,2018-10-19 15:59:59.999,4,16,0.6666666666666666
2607,2955,2018-10-25 16:00:00,2018-12-22 19:59:59.999,349,1396,58.166666666666664
2970,3034,2018-12-25 04:00:00,2019-01-04 23:59:59.999,65,260,10.833333333333334
3067,3249,2019-01-10 08:00:00,2019-02-09 19:59:59.999,183,732,30.5
3339,3357,2019-02-24 16:00:00,2019-02-27 19:59:59.999,19,76,3.1666666666666665
3385,3394,2019-03-04 08:00:00,2019-03-05 23:59:59.999,10,40,1.6666666666666667
3433,3437,2019-03-12 08:00:00,2019-03-13 03:59:59.999,5,20,0.8333333333333334
3513,3515,2019-03-25 16:00:00,2019-03-26 03:59:59.999,3,12,0.5
3569,3578,2019-04-04 00:00:00,2019-04-05 15:59:59.999,10,40,1.6666666666666667
3614,3620,2019-04-11 12:00:00,2019-04-12 15:59:59.999,7,28,1.1666666666666667
3701,3706,2019-04-26 00:00:00,2019-04-26 23:59:59.999,6,24,1.0
3801,3805,2019-05-12 16:00:00,2019-05-13 11:59:59.999,5,20,0.8333333333333334
3814,3831,2019-05-14 20:00:00,2019-05-17 19:59:59.999,18,72,3.0
3911,3915,2019-05-31 00:00:00,2019-05-31 19:59:59.999,5,20,0.8333333333333334
3935,3961,2019-06-04 00:00:00,2019-06-08 11:59:59.999,27,108,4.5
3963,3989,2019-06-08 16:00:00,2019-06-13 03:59:59.999,27,108,4.5
4073,4086,2019-06-27 00:00:00,2019-06-29 07:59:59.999,14,56,2.3333333333333335
4101,4109,2019-07-01 16:00:00,2019-07-03 03:59:59.999,9,36,1.5
4158,4163,2019-07-11 04:00:00,2019-07-12 03:59:59.999,6,24,1.0
4179,4299,2019-07-14 16:00:00,2019-08-03 19:59:59.999,121,484,20.166666666666668
4319,4324,2019-08-07 00:00:00,2019-08-07 23:59:59.999,6,24,1.0
4352,4352,2019-08-12 12:00:00,2019-08-12 15:59:59.999,1,4,0.16666666666666666
4362,4500,2019-08-14 04:00:00,2019-09-06 07:59:59.999,139,556,23.166666666666668
4516,4550,2019-09-08 20:00:00,2019-09-14 15:59:59.999,35,140,5.833333333333333
4564,4804,2019-09-16 20:00:00,2019-10-26 23:59:59.999,241,964,40.166666666666664
4827,4828,2019-10-30 16:00:00,2019-10-30 23:59:59.999,2,8,0.3333333333333333
4881,4894,2019-11-08 16:00:00,2019-11-10 23:59:59.999,14,56,2.3333333333333335
4902,5183,2019-11-12 04:00:00,2019-12-29 03:59:59.999,282,1128,47.0
5199,5224,2019-12-31 16:00:00,2020-01-04 23:59:59.999,26,104,4.333333333333333
5251,5259,2020-01-09 08:00:00,2020-01-10 19:59:59.999,9,36,1.5
5312,5323,2020-01-19 12:00:00,2020-01-21 11:59:59.999,12,48,2.0
5337,5339,2020-01-23 16:00:00,2020-01-24 03:59:59.999,3,12,0.5
5448,5450,2020-02-11 04:00:00,2020-02-11 15:59:59.999,3,12,0.5
5476,5478,2020-02-15 20:00:00,2020-02-16 07:59:59.999,3,12,0.5
5501,5524,2020-02-20 00:00:00,2020-02-23 23:59:59.999,24,96,4.0
5533,5762,2020-02-25 08:00:00,2020-04-03 15:59:59.999,230,920,38.333333333333336
5804,5817,2020-04-10 12:00:00,2020-04-12 19:59:59.999,14,56,2.3333333333333335
5835,5835,2020-04-15 16:00:00,2020-04-15 19:59:59.999,1,4,0.16666666666666666
5866,5881,2020-04-20 20:00:00,2020-04-23 11:59:59.999,16,64,2.6666666666666665
5924,5924,2020-04-30 12:00:00,2020-04-30 15:59:59.999,1,4,0.16666666666666666
5982,5987,2020-05-10 04:00:00,2020-05-11 03:59:59.999,6,24,1.0
6051,6058,2020-05-21 16:00:00,2020-05-22 23:59:59.999,8,32,1.3333333333333333
6071,6093,2020-05-25 00:00:00,2020-05-28 19:59:59.999,23,92,3.8333333333333335
6123,6130,2020-06-02 16:00:00,2020-06-03 23:59:59.999,8,32,1.3333333333333333
6177,6249,2020-06-11 16:00:00,2020-06-23 19:59:59.999,73,292,12.166666666666666
6254,6340,2020-06-24 12:00:00,2020-07-08 23:59:59.999,87,348,14.5
6349,6352,2020-07-10 08:00:00,2020-07-10 23:59:59.999,4,16,0.6666666666666666
6356,6441,2020-07-11 12:00:00,2020-07-25 19:59:59.999,86,344,14.333333333333334
6487,6489,2020-08-02 08:00:00,2020-08-02 19:59:59.999,3,12,0.5
6544,6547,2020-08-11 20:00:00,2020-08-12 11:59:59.999,4,16,0.6666666666666666
6588,6589,2020-08-19 04:00:00,2020-08-19 11:59:59.999,2,8,0.3333333333333333
6627,6658,2020-08-25 16:00:00,2020-08-30 23:59:59.999,32,128,5.333333333333333
6674,6768,2020-09-02 12:00:00,2020-09-18 07:59:59.999,95,380,15.833333333333334
6788,6830,2020-09-21 12:00:00,2020-09-28 15:59:59.999,43,172,7.166666666666667
6853,6892,2020-10-02 08:00:00,2020-10-08 23:59:59.999,40,160,6.666666666666667
7012,7014,2020-10-28 20:00:00,2020-10-29 07:59:59.999,3,12,0.5
7072,7092,2020-11-07 20:00:00,2020-11-11 07:59:59.999,21,84,3.5
7182,7191,2020-11-26 04:00:00,2020-11-27 19:59:59.999,10,40,1.6666666666666667
7256,7282,2020-12-08 12:00:00,2020-12-12 23:59:59.999,27,108,4.5
7418,7421,2021-01-04 12:00:00,2021-01-05 03:59:59.999,4,16,0.6666666666666666
7458,7463,2021-01-11 04:00:00,2021-01-12 03:59:59.999,6,24,1.0
7495,7497,2021-01-17 08:00:00,2021-01-17 19:59:59.999,3,12,0.5
7520,7589,2021-01-21 12:00:00,2021-02-02 03:59:59.999,70,280,11.666666666666666
7713,7720,2021-02-22 16:00:00,2021-02-23 23:59:59.999,8,32,1.3333333333333333
7735,7758,2021-02-26 08:00:00,2021-03-02 07:59:59.999,24,96,4.0
7838,7852,2021-03-15 12:00:00,2021-03-17 23:59:59.999,15,60,2.5
7882,7916,2021-03-22 20:00:00,2021-03-28 15:59:59.999,35,140,5.833333333333333
7976,7984,2021-04-07 12:00:00,2021-04-08 23:59:59.999,9,36,1.5
8030,8126,2021-04-16 12:00:00,2021-05-02 15:59:59.999,97,388,16.166666666666668
8139,8146,2021-05-04 16:00:00,2021-05-05 23:59:59.999,8,32,1.3333333333333333
8188,8629,2021-05-12 20:00:00,2021-07-25 11:59:59.999,442,1768,73.66666666666667
8639,8639,2021-07-27 00:00:00,2021-07-27 03:59:59.999,1,4,0.16666666666666666
8678,8688,2021-08-02 12:00:00,2021-08-04 07:59:59.999,11,44,1.8333333333333333
8771,8774,2021-08-18 00:00:00,2021-08-18 15:59:59.999,4,16,0.6666666666666666
8813,8825,2021-08-25 00:00:00,2021-08-27 03:59:59.999,13,52,2.1666666666666665
8895,8958,2021-09-07 16:00:00,2021-09-18 07:59:59.999,64,256,10.666666666666666
8970,9043,2021-09-20 04:00:00,2021-10-02 11:59:59.999,74,296,12.333333333333334
9159,9178,2021-10-21 16:00:00,2021-10-24 23:59:59.999,20,80,3.3333333333333335
9193,9202,2021-10-27 08:00:00,2021-10-28 23:59:59.999,10,40,1.6666666666666667
9253,9255,2021-11-06 08:00:00,2021-11-06 19:59:59.999,3,12,0.5
9281,9305,2021-11-11 00:00:00,2021-11-15 03:59:59.999,25,100,4.166666666666667
9312,9550,2021-11-16 04:00:00,2021-12-25 23:59:59.999,239,956,39.833333333333336
9567,9801,2021-12-28 16:00:00,2022-02-05 19:59:59.999,235,940,39.166666666666664
9841,9856,2022-02-12 08:00:00,2022-02-14 23:59:59.999,16,64,2.6666666666666665
9873,9944,2022-02-17 16:00:00,2022-03-01 15:59:59.999,72,288,12.0
9960,10040,2022-03-04 04:00:00,2022-03-17 15:59:59.999,81,324,13.5
10126,10131,2022-03-31 20:00:00,2022-04-01 19:59:59.999,6,24,1.0
10161,10780,2022-04-06 16:00:00,2022-07-18 23:59:59.999,620,2480,103.33333333333333
10808,10810,2022-07-23 12:00:00,2022-07-23 23:59:59.999,3,12,0.5
10823,10834,2022-07-26 00:00:00,2022-07-27 23:59:59.999,12,48,2.0
10864,10874,2022-08-01 20:00:00,2022-08-03 15:59:59.999,11,44,1.8333333333333333
10911,10915,2022-08-09 16:00:00,2022-08-10 11:59:59.999,5,20,0.8333333333333334
10958,10958,2022-08-17 12:00:00,2022-08-17 15:59:59.999,1,4,0.16666666666666666
10969,11108,2022-08-19 08:00:00,2022-09-11 15:59:59.999,140,560,23.333333333333332
11121,11121,2022-09-13 16:00:00,2022-09-13 19:59:59.999,1,4,0.16666666666666666
11133,11249,2022-09-15 16:00:00,2022-10-05 03:59:59.999,117,468,19.5
