start_bar,end_bar,start_dt,end_dt,duration_bars,duration_hours,duration_days
125,135,2017-09-07 00:00:00,2017-09-08 19:59:59.999,11,44,1.8333333333333333
276,355,2017-10-02 04:00:00,2017-10-15 11:59:59.999,80,320,13.333333333333334
378,407,2017-10-19 04:00:00,2017-10-24 03:59:59.999,30,120,5.0
412,489,2017-10-24 20:00:00,2017-11-06 19:59:59.999,78,312,13.0
503,512,2017-11-09 00:00:00,2017-11-10 15:59:59.999,10,40,1.6666666666666667
514,521,2017-11-10 20:00:00,2017-11-12 03:59:59.999,8,32,1.3333333333333333
533,627,2017-11-14 00:00:00,2017-11-29 19:59:59.999,95,380,15.833333333333334
629,632,2017-11-30 00:00:00,2017-11-30 15:59:59.999,4,16,0.6666666666666666
634,686,2017-11-30 20:00:00,2017-12-09 15:59:59.999,53,212,8.833333333333334
688,745,2017-12-09 20:00:00,2017-12-19 11:59:59.999,58,232,9.666666666666666
757,761,2017-12-21 08:00:00,2017-12-22 03:59:59.999,5,20,0.8333333333333334
763,774,2017-12-22 08:00:00,2017-12-24 07:59:59.999,12,48,2.0
797,797,2017-12-28 00:00:00,2017-12-28 03:59:59.999,1,4,0.16666666666666666
847,866,2018-01-05 08:00:00,2018-01-08 15:59:59.999,20,80,3.3333333333333335
1104,1131,2018-02-17 04:00:00,2018-02-21 19:59:59.999,28,112,4.666666666666667
1165,1209,2018-02-27 08:00:00,2018-03-06 19:59:59.999,45,180,7.5
1446,1508,2018-04-15 04:00:00,2018-04-25 15:59:59.999,63,252,10.5
1517,1577,2018-04-27 00:00:00,2018-05-07 03:59:59.999,61,244,10.166666666666666
1590,1602,2018-05-09 04:00:00,2018-05-11 07:59:59.999,13,52,2.1666666666666665
1934,1963,2018-07-05 12:00:00,2018-07-10 11:59:59.999,30,120,5.0
2006,2062,2018-07-17 12:00:00,2018-07-26 23:59:59.999,57,228,9.5
2080,2090,2018-07-29 20:00:00,2018-07-31 15:59:59.999,11,44,1.8333333333333333
2100,2114,2018-08-02 04:00:00,2018-08-04 15:59:59.999,15,60,2.5
2252,2305,2018-08-27 12:00:00,2018-09-05 11:59:59.999,54,216,9.0
2409,2423,2018-09-22 16:00:00,2018-09-25 03:59:59.999,15,60,2.5
2443,2447,2018-09-28 08:00:00,2018-09-29 03:59:59.999,5,20,0.8333333333333334
2450,2474,2018-09-29 12:00:00,2018-10-03 15:59:59.999,25,100,4.166666666666667
2483,2519,2018-10-05 00:00:00,2018-10-11 03:59:59.999,37,148,6.166666666666667
2550,2566,2018-10-16 04:00:00,2018-10-18 23:59:59.999,17,68,2.8333333333333335
2571,2606,2018-10-19 16:00:00,2018-10-25 15:59:59.999,36,144,6.0
2956,2969,2018-12-22 20:00:00,2018-12-25 03:59:59.999,14,56,2.3333333333333335
3035,3066,2019-01-05 00:00:00,2019-01-10 07:59:59.999,32,128,5.333333333333333
3250,3338,2019-02-09 20:00:00,2019-02-24 15:59:59.999,89,356,14.833333333333334
3358,3384,2019-02-27 20:00:00,2019-03-04 07:59:59.999,27,108,4.5
3395,3432,2019-03-06 00:00:00,2019-03-12 07:59:59.999,38,152,6.333333333333333
3438,3512,2019-03-13 04:00:00,2019-03-25 15:59:59.999,75,300,12.5
3516,3568,2019-03-26 04:00:00,2019-04-03 23:59:59.999,53,212,8.833333333333334
3579,3613,2019-04-05 16:00:00,2019-04-11 11:59:59.999,35,140,5.833333333333333
3621,3700,2019-04-12 16:00:00,2019-04-25 23:59:59.999,80,320,13.333333333333334
3707,3800,2019-04-27 00:00:00,2019-05-12 15:59:59.999,94,376,15.666666666666666
3806,3813,2019-05-13 12:00:00,2019-05-14 19:59:59.999,8,32,1.3333333333333333
3832,3910,2019-05-17 20:00:00,2019-05-30 23:59:59.999,79,316,13.166666666666666
3916,3934,2019-05-31 20:00:00,2019-06-03 23:59:59.999,19,76,3.1666666666666665
3962,3962,2019-06-08 12:00:00,2019-06-08 15:59:59.999,1,4,0.16666666666666666
3990,4072,2019-06-13 04:00:00,2019-06-26 23:59:59.999,83,332,13.833333333333334
4087,4100,2019-06-29 08:00:00,2019-07-01 15:59:59.999,14,56,2.3333333333333335
4110,4157,2019-07-03 04:00:00,2019-07-11 03:59:59.999,48,192,8.0
4164,4178,2019-07-12 04:00:00,2019-07-14 15:59:59.999,15,60,2.5
4300,4318,2019-08-03 20:00:00,2019-08-06 23:59:59.999,19,76,3.1666666666666665
4325,4351,2019-08-08 00:00:00,2019-08-12 11:59:59.999,27,108,4.5
4353,4361,2019-08-12 16:00:00,2019-08-14 03:59:59.999,9,36,1.5
4501,4515,2019-09-06 08:00:00,2019-09-08 19:59:59.999,15,60,2.5
4551,4563,2019-09-14 16:00:00,2019-09-16 19:59:59.999,13,52,2.1666666666666665
4805,4826,2019-10-27 00:00:00,2019-10-30 15:59:59.999,22,88,3.6666666666666665
4829,4880,2019-10-31 00:00:00,2019-11-08 15:59:59.999,52,208,8.666666666666666
4895,4901,2019-11-11 00:00:00,2019-11-12 03:59:59.999,7,28,1.1666666666666667
5184,5198,2019-12-29 04:00:00,2019-12-31 15:59:59.999,15,60,2.5
5225,5250,2020-01-05 00:00:00,2020-01-09 07:59:59.999,26,104,4.333333333333333
5260,5311,2020-01-10 20:00:00,2020-01-19 11:59:59.999,52,208,8.666666666666666
5324,5336,2020-01-21 12:00:00,2020-01-23 15:59:59.999,13,52,2.1666666666666665
5340,5447,2020-01-24 04:00:00,2020-02-11 03:59:59.999,108,432,18.0
5451,5475,2020-02-11 16:00:00,2020-02-15 19:59:59.999,25,100,4.166666666666667
5479,5500,2020-02-16 08:00:00,2020-02-19 23:59:59.999,22,88,3.6666666666666665
5525,5532,2020-02-24 00:00:00,2020-02-25 07:59:59.999,8,32,1.3333333333333333
5763,5803,2020-04-03 16:00:00,2020-04-10 11:59:59.999,41,164,6.833333333333333
5818,5834,2020-04-12 20:00:00,2020-04-15 15:59:59.999,17,68,2.8333333333333335
5836,5865,2020-04-15 20:00:00,2020-04-20 19:59:59.999,30,120,5.0
5882,5923,2020-04-23 12:00:00,2020-04-30 11:59:59.999,42,168,7.0
5925,5981,2020-04-30 16:00:00,2020-05-10 03:59:59.999,57,228,9.5
5988,6050,2020-05-11 04:00:00,2020-05-21 15:59:59.999,63,252,10.5
6059,6070,2020-05-23 00:00:00,2020-05-24 23:59:59.999,12,48,2.0
6094,6122,2020-05-28 20:00:00,2020-06-02 15:59:59.999,29,116,4.833333333333333
6131,6176,2020-06-04 00:00:00,2020-06-11 15:59:59.999,46,184,7.666666666666667
6250,6253,2020-06-23 20:00:00,2020-06-24 11:59:59.999,4,16,0.6666666666666666
6341,6348,2020-07-09 00:00:00,2020-07-10 07:59:59.999,8,32,1.3333333333333333
6353,6355,2020-07-11 00:00:00,2020-07-11 11:59:59.999,3,12,0.5
6442,6486,2020-07-25 20:00:00,2020-08-02 07:59:59.999,45,180,7.5
6490,6543,2020-08-02 20:00:00,2020-08-11 19:59:59.999,54,216,9.0
6548,6587,2020-08-12 12:00:00,2020-08-19 03:59:59.999,40,160,6.666666666666667
6590,6626,2020-08-19 12:00:00,2020-08-25 15:59:59.999,37,148,6.166666666666667
6659,6673,2020-08-31 00:00:00,2020-09-02 11:59:59.999,15,60,2.5
6769,6787,2020-09-18 08:00:00,2020-09-21 11:59:59.999,19,76,3.1666666666666665
6831,6852,2020-09-28 16:00:00,2020-10-02 07:59:59.999,22,88,3.6666666666666665
6893,7011,2020-10-09 00:00:00,2020-10-28 19:59:59.999,119,476,19.833333333333332
7015,7071,2020-10-29 08:00:00,2020-11-07 19:59:59.999,57,228,9.5
7093,7181,2020-11-11 08:00:00,2020-11-26 03:59:59.999,89,356,14.833333333333334
7192,7255,2020-11-27 20:00:00,2020-12-08 11:59:59.999,64,256,10.666666666666666
7283,7417,2020-12-13 00:00:00,2021-01-04 11:59:59.999,135,540,22.5
7422,7457,2021-01-05 04:00:00,2021-01-11 03:59:59.999,36,144,6.0
7464,7494,2021-01-12 04:00:00,2021-01-17 07:59:59.999,31,124,5.166666666666667
7498,7519,2021-01-17 20:00:00,2021-01-21 11:59:59.999,22,88,3.6666666666666665
7590,7712,2021-02-02 04:00:00,2021-02-22 15:59:59.999,123,492,20.5
7721,7734,2021-02-24 00:00:00,2021-02-26 07:59:59.999,14,56,2.3333333333333335
7759,7837,2021-03-02 08:00:00,2021-03-15 11:59:59.999,79,316,13.166666666666666
7853,7881,2021-03-18 00:00:00,2021-03-22 19:59:59.999,29,116,4.833333333333333
7917,7975,2021-03-28 16:00:00,2021-04-07 11:59:59.999,59,236,9.833333333333334
7985,8029,2021-04-09 00:00:00,2021-04-16 11:59:59.999,45,180,7.5
8127,8138,2021-05-02 16:00:00,2021-05-04 15:59:59.999,12,48,2.0
8147,8187,2021-05-06 00:00:00,2021-05-12 19:59:59.999,41,164,6.833333333333333
8630,8638,2021-07-25 12:00:00,2021-07-26 23:59:59.999,9,36,1.5
8640,8677,2021-07-27 04:00:00,2021-08-02 11:59:59.999,38,152,6.333333333333333
8689,8770,2021-08-04 08:00:00,2021-08-17 23:59:59.999,82,328,13.666666666666666
8775,8812,2021-08-18 16:00:00,2021-08-24 23:59:59.999,38,152,6.333333333333333
8826,8894,2021-08-27 04:00:00,2021-09-07 15:59:59.999,69,276,11.5
8959,8969,2021-09-18 08:00:00,2021-09-20 03:59:59.999,11,44,1.8333333333333333
9044,9158,2021-10-02 12:00:00,2021-10-21 15:59:59.999,115,460,19.166666666666668
9179,9192,2021-10-25 00:00:00,2021-10-27 07:59:59.999,14,56,2.3333333333333335
9203,9252,2021-10-29 00:00:00,2021-11-06 07:59:59.999,50,200,8.333333333333334
9256,9280,2021-11-06 20:00:00,2021-11-10 23:59:59.999,25,100,4.166666666666667
9306,9311,2021-11-15 04:00:00,2021-11-16 03:59:59.999,6,24,1.0
9551,9566,2021-12-26 00:00:00,2021-12-28 15:59:59.999,16,64,2.6666666666666665
9802,9840,2022-02-05 20:00:00,2022-02-12 07:59:59.999,39,156,6.5
9857,9872,2022-02-15 00:00:00,2022-02-17 15:59:59.999,16,64,2.6666666666666665
