trade_before,trade_after,gap_bars,gap_hours,gap_days
1,2,140,560,23.333333333333332
2,3,22,88,3.6666666666666665
3,4,4,16,0.6666666666666666
4,5,13,52,2.1666666666666665
5,6,1,4,0.16666666666666666
6,7,11,44,1.8333333333333333
7,8,1,4,0.16666666666666666
8,9,1,4,0.16666666666666666
9,10,1,4,0.16666666666666666
10,11,11,44,1.8333333333333333
11,12,1,4,0.16666666666666666
12,13,22,88,3.6666666666666665
13,14,49,196,8.166666666666666
14,15,237,948,39.5
15,16,33,132,5.5
16,17,236,944,39.333333333333336
17,18,8,32,1.3333333333333333
18,19,12,48,2.0
19,20,331,1324,55.166666666666664
20,21,42,168,7.0
21,22,17,68,2.8333333333333335
22,23,9,36,1.5
23,24,137,548,22.833333333333332
24,25,103,412,17.166666666666668
25,26,19,76,3.1666666666666665
26,27,2,8,0.3333333333333333
27,28,8,32,1.3333333333333333
28,29,30,120,5.0
29,30,4,16,0.6666666666666666
30,31,349,1396,58.166666666666664
31,32,65,260,10.833333333333334
32,33,183,732,30.5
33,34,19,76,3.1666666666666665
34,35,10,40,1.6666666666666667
35,36,5,20,0.8333333333333334
36,37,3,12,0.5
37,38,10,40,1.6666666666666667
38,39,7,28,1.1666666666666667
39,40,6,24,1.0
40,41,5,20,0.8333333333333334
41,42,18,72,3.0
42,43,5,20,0.8333333333333334
43,44,27,108,4.5
44,45,27,108,4.5
45,46,14,56,2.3333333333333335
46,47,9,36,1.5
47,48,6,24,1.0
48,49,121,484,20.166666666666668
49,50,6,24,1.0
50,51,1,4,0.16666666666666666
51,52,139,556,23.166666666666668
52,53,35,140,5.833333333333333
53,54,241,964,40.166666666666664
54,55,2,8,0.3333333333333333
55,56,14,56,2.3333333333333335
56,57,282,1128,47.0
57,58,26,104,4.333333333333333
58,59,9,36,1.5
59,60,12,48,2.0
60,61,3,12,0.5
61,62,3,12,0.5
62,63,3,12,0.5
63,64,24,96,4.0
64,65,230,920,38.333333333333336
65,66,14,56,2.3333333333333335
66,67,1,4,0.16666666666666666
67,68,16,64,2.6666666666666665
68,69,1,4,0.16666666666666666
69,70,6,24,1.0
70,71,8,32,1.3333333333333333
71,72,23,92,3.8333333333333335
72,73,8,32,1.3333333333333333
73,74,73,292,12.166666666666666
74,75,87,348,14.5
75,76,4,16,0.6666666666666666
76,77,86,344,14.333333333333334
77,78,3,12,0.5
78,79,4,16,0.6666666666666666
79,80,2,8,0.3333333333333333
80,81,32,128,5.333333333333333
81,82,95,380,15.833333333333334
82,83,43,172,7.166666666666667
83,84,40,160,6.666666666666667
84,85,3,12,0.5
85,86,21,84,3.5
86,87,10,40,1.6666666666666667
87,88,27,108,4.5
88,89,4,16,0.6666666666666666
89,90,6,24,1.0
90,91,3,12,0.5
91,92,70,280,11.666666666666666
92,93,8,32,1.3333333333333333
93,94,24,96,4.0
94,95,15,60,2.5
95,96,35,140,5.833333333333333
96,97,9,36,1.5
97,98,97,388,16.166666666666668
98,99,8,32,1.3333333333333333
99,100,442,1768,73.66666666666667
100,101,1,4,0.16666666666666666
101,102,11,44,1.8333333333333333
102,103,4,16,0.6666666666666666
103,104,13,52,2.1666666666666665
104,105,64,256,10.666666666666666
105,106,74,296,12.333333333333334
106,107,20,80,3.3333333333333335
107,108,10,40,1.6666666666666667
108,109,3,12,0.5
109,110,25,100,4.166666666666667
110,111,239,956,39.833333333333336
111,112,235,940,39.166666666666664
112,113,16,64,2.6666666666666665
113,114,72,288,12.0
114,115,81,324,13.5
115,116,6,24,1.0
116,117,620,2480,103.33333333333333
117,118,3,12,0.5
118,119,12,48,2.0
119,120,11,44,1.8333333333333333
120,121,5,20,0.8333333333333334
121,122,1,4,0.16666666666666666
122,123,140,560,23.333333333333332
123,124,1,4,0.16666666666666666
124,125,117,468,19.5
125,126,109,436,18.166666666666668
126,127,4,16,0.6666666666666666
127,128,2,8,0.3333333333333333
128,129,178,712,29.666666666666668
129,130,12,48,2.0
130,131,146,584,24.333333333333332
131,132,5,20,0.8333333333333334
132,133,4,16,0.6666666666666666
133,134,38,152,6.333333333333333
134,135,6,24,1.0
135,136,3,12,0.5
136,137,13,52,2.1666666666666665
137,138,69,276,11.5
138,139,1,4,0.16666666666666666
139,140,3,12,0.5
140,141,2,8,0.3333333333333333
141,142,1,4,0.16666666666666666
142,143,6,24,1.0
143,144,65,260,10.833333333333334
144,145,15,60,2.5
145,146,132,528,22.0
146,147,120,480,20.0
147,148,3,12,0.5
148,149,2,8,0.3333333333333333
149,150,1,4,0.16666666666666666
150,151,357,1428,59.5
151,152,19,76,3.1666666666666665
152,153,18,72,3.0
153,154,7,28,1.1666666666666667
154,155,34,136,5.666666666666667
155,156,4,16,0.6666666666666666
156,157,3,12,0.5
157,158,6,24,1.0
158,159,2,8,0.3333333333333333
159,160,5,20,0.8333333333333334
160,161,4,16,0.6666666666666666
161,162,1,4,0.16666666666666666
162,163,15,60,2.5
163,164,107,428,17.833333333333332
164,165,3,12,0.5
