entry_class,exit_class,filter,total_dof,n_trades,mde_sharpe_80pct,observed_sharpe,ratio_obs_mde,verdict
B_breakout,Y_atr_trail,none,3,50,0.396,1.064,2.69,POWERED
B_breakout,W_time,none,2,47,0.409,0.74,1.81,POWERED
B_breakout,Z_signal_rev,none,3,35,0.474,0.886,1.87,POWERED
C_roc,Y_atr_trail,none,4,105,0.273,0.833,3.05,POWERED
C_roc,W_time,none,3,72,0.33,0.394,1.19,BORDERLINE
C_roc,Z_signal_rev,none,4,69,0.337,0.726,2.15,POWERED
B_breakout,Y_atr_trail,regime_sma200,4,32,0.495,0.873,1.76,POWERED
B_breakout,W_time,regime_sma200,3,31,0.503,0.975,1.94,POWERED
C_roc,Y_atr_trail,regime_sma200,5,55,0.378,0.571,1.51,POWERED
C_roc,W_time,regime_sma200,4,40,0.443,0.574,1.3,BORDERLINE
