fold,is_sh_cand,is_sh_bench,oos_sh_cand,oos_sh_bench,oos_delta,oos_trades,strategy
1,1.3741,1.3028,1.908,1.8708,0.0372,12,Cand01
2,1.5976,1.5623,-0.4416,0.3041,-0.7457,13,Cand01
3,1.0739,1.2178,1.1899,0.9976,0.1923,15,Cand01
4,1.0831,1.1639,-0.2088,0.6732,-0.882,18,Cand01
1,1.4291,1.3028,1.908,1.8708,0.0372,12,Cand02
2,1.6286,1.5623,-0.4915,0.3041,-0.7956,13,Cand02
3,1.0913,1.2178,1.1218,0.9976,0.1242,15,Cand02
4,1.0848,1.1639,-0.1318,0.6732,-0.805,17,Cand02
1,1.0384,1.3028,0.9018,1.8708,-0.969,15,Cand03
2,0.9719,1.5623,-0.9535,0.3041,-1.2576,15,Cand03
3,0.5024,1.2178,0.5051,0.9976,-0.4925,9,Cand03
4,0.4902,1.1639,0.2393,0.6732,-0.4339,3,Cand03
