combination,entry_class,exit_class,filter_class,entry_dof,exit_dof,filter_dof,total_dof,notes
C1,E_ema_cross,X_atr_trail,none,2,1,0,3,Minimal — lowest DOF
C2,E_ema_cross,X_atr_trail,F_d1_regime,2,1,1,4,Add D1 regime filter
C3,E_ema_cross,X_pct_trail,none,2,1,0,3,Fixed % trail variant
C4,E_ema_cross,X_pct_trail,F_d1_regime,2,1,1,4,Fixed % trail + D1 filter
C5,E_ema_cross,XZ_composite,none,2,2,0,4,Trail OR reversal exit
C6,E_ema_cross,XZ_composite,F_d1_regime,2,2,1,5,Composite + D1 filter
C7,E_breakout,X_atr_trail,none,1,1,0,2,Minimum DOF possible
C8,E_breakout,X_atr_trail,F_d1_regime,1,1,1,3,Breakout + ATR + D1
C9,E_breakout,XZ_composite,none,1,2,0,3,Breakout + composite exit
C10,E_breakout,XZ_composite,F_d1_regime,1,2,1,4,Breakout + composite + D1
C11,E_vol_break,X_atr_trail,none,2,1,0,3,Vol breakout entry
C12,E_vol_break,X_atr_trail,F_d1_regime,2,1,1,4,Vol breakout + ATR + D1
