config,calmar,sharpe,cagr,mdd,n_trades,exposure
A_20_90+XZ_trail8_rev,0.9269725176464044,1.0531240403142945,0.45370928322189297,-0.4894527880652459,114,0.4236348122866894
A_20_90+YZ_atr3_rev,0.9107888093964329,0.869064963782909,0.3362929862042354,-0.3692326725304103,114,0.2499466723549488
A_20_90+XZ_trail8_rev+F4_vol_low,0.9043610845821357,1.12837715078584,0.3115527623036829,-0.3445004076525886,57,0.26119880546075086
B_60+Y_atr3+F2_d1ema50,0.8191702184904365,0.8880409183460966,0.36854562041203165,-0.44990114642007617,110,0.275490614334471
B_60+YZ_atr3_rev+F2_d1ema50,0.8191702184904365,0.8880409183460966,0.36854562041203165,-0.44990114642007617,110,0.275490614334471
B_60+XZ_trail8_rev+F2_d1ema50,0.8017857846765715,0.9015048904856604,0.3732514220414551,-0.4655251180239111,85,0.3641744880546075
A_20_90+X_trail8+F2_d1ema50,0.8013367454256441,1.2508206319344803,0.4165620853542904,-0.519833999541636,39,0.2584790955631399
A_20_90+XZ_trail8_rev+F2_d1ema50,0.7950895964716287,1.0985400255657418,0.32062273347456016,-0.40325358915195036,49,0.19763225255972697
A_20_90+Y_atr3,0.7948206594163401,0.8188037488915454,0.31735767106376245,-0.3992821113844819,108,0.2572525597269625
A_20_90+X_trail8,0.7930305764232088,0.9621480980984484,0.4281506561793149,-0.5398917379836663,87,0.488481228668942
A_20_90+X_trail8+F4_vol_low,0.7489481135798497,1.0179207337526368,0.2975961140264092,-0.39735211108810775,38,0.31623293515358364
B_60+X_trail8+F2_d1ema50,0.7385171428500196,0.822474654717742,0.34381865964822267,-0.4655527132672755,78,0.40267704778157
B_60+YW_atr3_80+F2_d1ema50,0.7309309948515814,0.828954877919571,0.33135989756299433,-0.4533395079658352,125,0.2681847269624573
B_60+YV_atr3_vol2+F2_d1ema50,0.7273594733005987,0.8189496059775165,0.3272398608974414,-0.44990114642007517,119,0.2705311433447099
B_60+XZ_trail8_rev,0.7010190677529123,0.8761602319801343,0.4073640829283949,-0.581102714130421,112,0.47018984641638223
B_60+Y_atr3,0.7007694791574993,0.858689668919186,0.390981606965646,-0.5579318429160242,150,0.3465230375426621
B_60+YZ_atr3_rev,0.7007694791574993,0.858689668919186,0.390981606965646,-0.5579318429160242,150,0.3465230375426621
B_60+XZ_trail8_rev+F3_vdo_pos,0.6900363885938973,0.8327077381597322,0.3748385615985179,-0.5432156445580137,109,0.45451151877133106
A_20_90+Z_rev,0.6637007867936267,0.7458076274927384,0.40868131255355555,-0.6157613802567817,114,0.5248506825938567
B_60+Y_atr3+F1_d1ema21,0.6625296131505339,0.841569155389618,0.3623983113209608,-0.5469918689334419,127,0.308660409556314
