strategy,cost_bps,sharpe,cagr,mdd,calmar,trades
Base,10,1.7431,80.23,35.39,2.2671,202
Mon(binary),10,1.8673,85.92,35.39,2.4280,184
X18(binary),10,1.7315,84.36,34.25,2.4629,161
Mon(sizing),10,1.7510,18.15,9.07,2.0008,184
X18(partial),10,1.7078,65.86,28.10,2.3436,161
Combined(frac),10,1.7062,15.42,8.32,1.8545,145
Base,15,1.7089,77.91,35.80,2.1763,202
Mon(binary),15,1.8350,83.72,35.80,2.3387,184
X18(binary),15,1.7058,82.48,34.57,2.3859,161
Mon(sizing),15,1.7208,17.80,9.21,1.9321,184
X18(partial),15,1.6765,64.17,28.75,2.2324,161
Combined(frac),15,1.6787,15.15,8.34,1.8152,145
Base,20,1.6747,75.62,36.21,2.0881,202
Mon(binary),20,1.8027,81.54,36.21,2.2518,184
X18(binary),20,1.6801,80.63,34.90,2.3104,161
Mon(sizing),20,1.6905,17.45,9.35,1.8653,184
X18(partial),20,1.6452,62.50,29.38,2.1271,161
Combined(frac),20,1.6511,14.87,8.37,1.7763,145
Base,25,1.6405,73.36,36.63,2.0028,202
Mon(binary),25,1.7703,79.40,36.63,2.1678,184
X18(binary),25,1.6544,78.79,35.22,2.2369,161
Mon(sizing),25,1.6602,17.10,9.50,1.8007,184
X18(partial),25,1.6139,60.85,30.02,2.0272,161
Combined(frac),25,1.6236,14.60,8.58,1.7014,145
Base,30,1.6062,71.12,37.38,1.9029,202
Mon(binary),30,1.7379,77.27,37.04,2.0864,184
X18(binary),30,1.6287,76.97,35.55,2.1654,161
Mon(sizing),30,1.6298,16.75,9.64,1.7382,184
X18(partial),30,1.5826,59.21,30.64,1.9323,161
Combined(frac),30,1.5959,14.33,8.80,1.6280,145
Base,35,1.5720,68.92,38.28,1.8006,202
Mon(binary),35,1.7055,75.17,37.44,2.0077,184
X18(binary),35,1.6030,75.17,35.87,2.0958,161
Mon(sizing),35,1.5995,16.40,9.78,1.6776,184
X18(partial),35,1.5512,57.59,31.27,1.8421,161
Combined(frac),35,1.5683,14.05,9.02,1.5583,145
Base,50,1.4690,62.48,40.90,1.5275,202
Mon(binary),50,1.6081,69.03,38.65,1.7859,184
X18(binary),50,1.5257,69.88,36.82,1.8978,161
Mon(sizing),50,1.5083,15.36,10.20,1.5068,184
X18(partial),50,1.4571,52.83,33.10,1.5963,161
Combined(frac),50,1.4853,13.24,9.67,1.3692,145
Base,75,1.2973,52.29,45.04,1.1610,202
Mon(binary),75,1.4454,59.26,40.61,1.4591,184
X18(binary),75,1.3968,61.41,38.38,1.6001,161
Mon(sizing),75,1.3560,13.66,10.89,1.2541,184
X18(partial),75,1.3000,45.22,36.04,1.2546,161
Combined(frac),75,1.3466,11.90,10.77,1.1046,145
Base,100,1.1255,42.74,49.87,0.8571,202
Mon(binary),100,1.2826,50.06,42.51,1.1775,184
X18(binary),100,1.2678,53.37,40.47,1.3187,161
Mon(sizing),100,1.2034,11.98,11.65,1.0286,184
X18(partial),100,1.1428,37.98,38.86,0.9775,161
Combined(frac),100,1.2078,10.57,12.03,0.8792,145
