strategy_id,strategy_name,fold,oos_sharpe,base_sharpe,d_sharpe,win
S01,Base,1,-0.9110,-0.9110,0.0000,0
S01,Base,2,1.5025,1.5025,0.0000,0
S01,Base,3,2.1016,2.1016,0.0000,0
S01,Base,4,0.3693,0.3693,0.0000,0
S05,X18,1,-0.5792,-0.9110,0.3318,1
S05,X18,2,1.9728,1.5025,0.4703,1
S05,X18,3,1.9142,2.1016,-0.1874,0
S05,X18,4,0.4835,0.3693,0.1143,1
S07,Mon,1,-0.0024,-0.9110,0.9087,1
S07,Mon,2,1.5025,1.5025,0.0000,1
S07,Mon,3,2.1016,2.1016,0.0000,1
S07,Mon,4,0.3693,0.3693,0.0000,1
S09,Mon+X14D,1,-0.6338,-0.9110,0.2772,1
S09,Mon+X14D,2,1.7259,1.5025,0.2234,1
S09,Mon+X14D,3,1.6568,2.1016,-0.4448,0
S09,Mon+X14D,4,0.3966,0.3693,0.0273,1
S11,Mon+X18,1,0.2910,-0.9110,1.2020,1
S11,Mon+X18,2,1.9728,1.5025,0.4703,1
S11,Mon+X18,3,1.9142,2.1016,-0.1874,0
S11,Mon+X18,4,0.4835,0.3693,0.1143,1
