partial_frac,cost_bps,sharpe,cagr,mdd,calmar,trades,n_partial_exits,avg_exposure
0.0,10,1.7041,77.23,37.57,2.0553,199,0,0.4445
0.0,15,1.6702,74.97,37.97,1.9744,199,0,0.4445
0.0,20,1.6362,72.74,38.37,1.8957,199,0,0.4445
0.0,25,1.6022,70.54,38.77,1.8194,199,0,0.4445
0.0,30,1.5682,68.37,39.17,1.7455,199,0,0.4445
0.0,35,1.5342,66.23,39.56,1.674,199,0,0.4445
0.0,50,1.432,59.96,41.57,1.4422,199,0,0.4445
0.0,75,1.2615,50.03,45.66,1.0957,199,0,0.4445
0.0,100,1.0909,40.72,50.13,0.8122,199,0,0.4445
0.1,10,1.6508,65.55,33.75,1.942,167,413,0.3683
0.1,15,1.6195,63.79,34.14,1.8686,167,413,0.3683
0.1,20,1.5881,62.06,34.53,1.7971,167,413,0.3683
0.1,25,1.5567,60.34,34.93,1.7278,167,413,0.3683
0.1,30,1.5253,58.65,35.31,1.6607,167,413,0.3683
0.1,35,1.4939,56.97,35.7,1.5956,167,413,0.3683
0.1,50,1.3995,52.03,36.85,1.4121,167,413,0.3684
0.1,75,1.2421,44.15,38.72,1.1405,167,413,0.3684
0.1,100,1.0801,36.51,40.53,0.9009,167,407,0.3708
0.2,10,1.5948,61.61,34.07,1.8084,164,484,0.3659
0.2,15,1.5636,59.93,34.46,1.7392,164,484,0.3659
0.2,20,1.5323,58.25,34.85,1.6716,164,484,0.3659
0.2,25,1.501,56.6,35.24,1.6062,164,484,0.3659
0.2,30,1.4697,54.96,35.63,1.5428,164,484,0.3659
0.2,35,1.4384,53.35,36.01,1.4814,164,484,0.3659
0.2,50,1.3443,48.59,37.15,1.3078,164,484,0.3659
0.2,75,1.1872,40.99,39.01,1.0506,164,484,0.3659
0.2,100,1.0302,33.77,40.81,0.8275,164,483,0.3659
0.3,10,1.6807,63.93,25.73,2.4844,159,542,0.354
0.3,15,1.6513,62.37,26.26,2.3753,159,541,0.3542
0.3,20,1.62,60.73,26.99,2.2499,159,541,0.3542
0.3,25,1.5887,59.11,27.72,2.1324,159,541,0.3542
0.3,30,1.5574,57.5,28.44,2.0219,159,541,0.3542
0.3,35,1.526,55.91,29.15,1.918,159,541,0.3542
0.3,50,1.4319,51.23,31.24,1.6397,159,541,0.3542
0.3,75,1.2749,43.75,34.6,1.2644,159,541,0.3542
0.3,100,1.1156,36.53,38.11,0.9585,159,539,0.3543
0.4,10,1.7251,65.72,25.8,2.5475,155,586,0.3512
0.4,15,1.6945,64.09,26.12,2.4536,155,586,0.3512
0.4,20,1.6638,62.48,26.45,2.3619,155,586,0.3512
0.4,25,1.6331,60.88,26.78,2.2732,155,586,0.3512
0.4,30,1.6024,59.3,27.28,2.1741,155,586,0.3512
0.4,35,1.5717,57.74,27.89,2.07,155,586,0.3512
0.4,50,1.4829,53.31,29.71,1.7944,155,585,0.3513
0.4,75,1.329,45.92,32.63,1.4072,155,585,0.3513
0.4,100,1.179,39.08,35.44,1.1029,155,583,0.3514
0.5,10,1.7411,66.57,25.88,2.5726,153,601,0.3515
0.5,15,1.7109,64.96,26.2,2.4793,153,601,0.3515
0.5,20,1.6806,63.36,26.53,2.3881,153,601,0.3516
0.5,25,1.6504,61.78,26.86,2.2999,153,601,0.3516
0.5,30,1.6201,60.21,27.47,2.1921,153,601,0.3516
0.5,35,1.5898,58.66,28.08,2.0889,153,601,0.3516
0.5,50,1.499,54.1,29.89,1.8098,153,600,0.3516
0.5,75,1.3471,46.78,32.81,1.4257,153,600,0.3516
0.5,100,1.1959,39.83,35.6,1.1188,153,599,0.3517
0.6,10,1.7477,67.28,25.96,2.5912,153,609,0.3556
0.6,15,1.7177,65.65,26.29,2.4977,153,609,0.3556
0.6,20,1.6876,64.05,26.62,2.4064,153,609,0.3556
0.6,25,1.6574,62.46,27.0,2.3136,153,609,0.3556
0.6,30,1.6273,60.89,27.61,2.2049,153,609,0.3556
0.6,35,1.5971,59.33,28.23,2.1018,153,609,0.3556
0.6,50,1.5066,54.74,30.03,1.8227,153,609,0.3556
0.6,75,1.3554,47.39,32.95,1.4385,153,609,0.3557
0.6,100,1.2042,40.39,35.74,1.1302,153,609,0.3557
0.7,10,1.7534,68.3,26.05,2.6221,153,609,0.3633
0.7,15,1.7236,66.67,26.37,2.5282,153,609,0.3633
0.7,20,1.6938,65.06,26.7,2.4365,153,609,0.3633
0.7,25,1.6639,63.46,27.08,2.3435,153,609,0.3633
0.7,30,1.6341,61.88,27.7,2.2341,153,609,0.3633
0.7,35,1.6042,60.31,28.31,2.1304,153,609,0.3633
0.7,50,1.5144,55.69,30.11,1.8495,153,609,0.3633
0.7,75,1.3647,48.3,33.02,1.4626,153,609,0.3634
0.7,100,1.2148,41.25,35.81,1.152,153,609,0.3634
0.8,10,1.7588,69.99,26.1,2.682,153,609,0.3751
0.8,15,1.7295,68.34,26.42,2.5869,153,609,0.3751
0.8,20,1.7002,66.71,26.75,2.494,153,609,0.3751
0.8,25,1.6709,65.1,27.1,2.4023,153,609,0.3751
0.8,30,1.6415,63.5,27.71,2.2912,153,609,0.3751
0.8,35,1.6122,61.91,28.33,2.1858,153,609,0.3751
0.8,50,1.524,57.25,30.13,1.9002,153,609,0.3752
0.8,75,1.3768,49.78,33.04,1.5069,153,609,0.3752
0.8,100,1.2295,42.67,35.82,1.191,153,609,0.3752
0.9,10,1.7589,73.05,27.16,2.69,153,609,0.397
0.9,15,1.7307,71.37,27.51,2.5945,153,609,0.397
0.9,20,1.7024,69.71,27.87,2.5013,153,609,0.397
0.9,25,1.6742,68.07,28.23,2.4112,153,609,0.3971
0.9,30,1.6459,66.44,28.59,2.324,153,609,0.3971
0.9,35,1.6176,64.83,28.94,2.2397,153,609,0.3971
0.9,50,1.5326,60.08,30.19,1.9901,153,609,0.3971
0.9,75,1.3907,52.48,33.1,1.5856,153,609,0.3971
0.9,100,1.2488,45.24,35.88,1.2607,153,609,0.3971
1.0,10,1.6627,79.13,36.98,2.1398,153,609,0.4627
1.0,15,1.6382,77.4,37.29,2.0757,153,609,0.4627
1.0,20,1.6137,75.68,37.6,2.0127,153,609,0.4627
1.0,25,1.5892,73.98,37.91,1.9513,153,609,0.4627
1.0,30,1.5646,72.29,38.22,1.8914,153,609,0.4627
1.0,35,1.5401,70.62,38.53,1.833,153,609,0.4627
1.0,50,1.4664,65.71,39.44,1.666,153,609,0.4627
1.0,75,1.3433,57.84,40.94,1.4128,153,609,0.4627
1.0,100,1.2202,50.34,42.4,1.1874,153,609,0.4627
