entry_bar,exit_bar,exit_reason,bars_held,actual_ret_pct,d1_flip_before_exit,d1_flip_bar,hyp_ret_pct,bars_saved,delta_ret_pct
283,311,trail_stop,28,-1.1984,False,,,0,
344,389,trail_stop,45,0.5056,False,,,0,
625,688,trail_stop,63,10.4324,False,,,0,
696,757,trail_stop,61,0.4035,False,,,0,
769,782,trail_stop,13,-3.9037,True,780,-0.8279,2,3.0758
1113,1143,trail_stop,30,-4.2532,False,,,0,
1185,1242,trail_stop,57,18.0465,False,,,0,
1259,1270,trail_stop,11,-6.0974,False,,,0,
1279,1294,trail_stop,15,-9.1034,True,1284,-2.0171,10,7.0863
1431,1485,trail_stop,54,3.635,False,,,0,
1588,1603,trail_stop,15,-3.729,False,,,0,
1622,1654,trend_exit,32,-4.5515,True,1650,-4.3563,4,0.1952
1666,1699,trail_stop,33,-4.3891,False,,,0,
1729,1746,trail_stop,17,-2.1544,False,,,0,
1750,1786,trend_exit,36,-0.8956,True,1752,-1.1569,34,-0.2613
2135,2149,trail_stop,14,-4.8289,False,,,0,
2154,2166,trend_exit,12,-5.2239,True,2155,0.8145,11,6.0384
2215,2246,trail_stop,31,-1.4893,True,2220,-1.6474,26,-0.1581
2429,2518,trail_stop,89,2.9466,False,,,0,
2537,2564,trail_stop,27,-2.7667,False,,,0,
2577,2612,trail_stop,35,-1.2164,False,,,0,
2617,2692,trail_stop,75,1.4215,False,,,0,
2695,2748,trail_stop,53,24.6552,False,,,0,
2758,2793,trail_stop,35,0.2107,False,,,0,
2800,2880,trail_stop,80,3.1051,False,,,0,
2886,2980,trail_stop,94,28.069,False,,,0,
2985,2993,trail_stop,8,6.6049,False,,,0,
3011,3090,trail_stop,79,15.2952,False,,,0,
3095,3114,trail_stop,19,-4.3518,False,,,0,
3141,3142,trend_exit,1,-1.2613,False,,,0,
3169,3252,trail_stop,83,61.2036,False,,,0,
3266,3280,trail_stop,14,-12.873,False,,,0,
3289,3337,trail_stop,48,3.1374,False,,,0,
3343,3358,trail_stop,15,-7.3804,False,,,0,
3479,3498,trail_stop,19,5.2884,False,,,0,
3504,3531,trail_stop,27,-5.8749,False,,,0,
3532,3541,trail_stop,9,-6.978,True,3540,-4.919,1,2.059
3680,3695,trail_stop,15,-3.994,False,,,0,
3730,3743,trend_exit,13,-2.7559,False,,,0,
3984,4006,trail_stop,22,-1.9679,False,,,0,
4008,4060,trail_stop,52,-4.1244,False,,,0,
4080,4081,trend_exit,1,-0.4147,False,,,0,
4363,4378,trail_stop,15,-2.0144,True,4374,-1.3331,4,0.6814
4404,4430,trail_stop,26,7.5615,False,,,0,
4439,4491,trail_stop,52,7.1797,False,,,0,
4503,4516,trail_stop,13,-3.9164,False,,,0,
4519,4627,trail_stop,108,16.3964,False,,,0,
4630,4655,trail_stop,25,-3.1515,False,,,0,
4658,4680,trail_stop,22,-4.1525,False,,,0,
4942,4983,trail_stop,41,2.2637,False,,,0,
4997,5045,trail_stop,48,-5.3009,True,5004,-4.3352,41,0.9658
5061,5103,trail_stop,42,23.301,False,,,0,
5104,5161,trail_stop,57,-2.2465,False,,,0,
5167,5230,trail_stop,63,3.9375,False,,,0,
5239,5256,trend_exit,17,-4.6373,True,5250,-6.566,6,-1.9287
5273,5302,trail_stop,29,-0.3244,False,,,0,
5310,5356,trail_stop,46,-1.9927,False,,,0,
5429,5433,trail_stop,4,-3.6897,False,,,0,
5520,5528,trail_stop,8,-3.4626,True,5526,-2.646,2,0.8166
5533,5535,trend_exit,2,-1.227,False,,,0,
5621,5666,trail_stop,45,16.4683,False,,,0,
5669,5723,trail_stop,54,1.1377,False,,,0,
5727,5767,trail_stop,40,2.7716,False,,,0,
5769,5806,trail_stop,37,-4.0534,False,,,0,
5839,5853,trail_stop,14,-2.8252,False,,,0,
5948,5967,trail_stop,19,-3.3843,False,,,0,
6010,6032,trail_stop,22,-4.2501,True,6012,-2.3769,20,1.8732
6073,6191,trail_stop,118,20.3217,False,,,0,
6194,6251,trail_stop,57,10.896,False,,,0,
6272,6361,trail_stop,89,15.831,False,,,0,
6371,6435,trail_stop,64,11.1065,False,,,0,
6450,6597,trail_stop,147,67.5724,True,6451,-1.9364,146,-69.5088
6601,6637,trail_stop,36,13.0176,False,,,0,
6643,6674,trail_stop,31,-1.136,False,,,0,
6677,6699,trail_stop,22,-10.0633,False,,,0,
6769,6892,trail_stop,123,57.8857,False,,,0,
6900,6914,trail_stop,14,-8.4711,True,6912,-4.1972,2,4.2739
6938,7017,trail_stop,79,15.5987,False,,,0,
7032,7061,trail_stop,29,-6.2209,False,,,0,
7062,7074,trail_stop,12,-3.7728,True,7063,0.608,11,4.3808
7096,7155,trail_stop,59,-0.5586,False,,,0,
7165,7209,trail_stop,44,4.4228,False,,,0,
7306,7318,trail_stop,12,-5.4142,False,,,0,
7327,7367,trail_stop,40,-4.6414,True,7356,-2.2173,11,2.4242
7809,7818,trail_stop,9,7.7119,False,,,0,
7819,7857,trail_stop,38,6.8472,False,,,0,
7868,7950,trail_stop,82,17.5638,False,,,0,
7954,7992,trail_stop,38,3.5274,False,,,0,
8005,8074,trail_stop,69,-0.8519,False,,,0,
8138,8149,trail_stop,11,-6.8002,True,8148,-3.3234,1,3.4769
8223,8338,trail_stop,115,31.4023,False,,,0,
8358,8372,trail_stop,14,-1.9741,False,,,0,
8383,8432,trail_stop,49,-1.8742,False,,,0,
8435,8460,trail_stop,25,5.5307,False,,,0,
8485,8491,trail_stop,6,-7.7748,False,,,0,
8730,8746,trail_stop,16,-3.3855,False,,,0,
8981,9020,trail_stop,39,0.8402,False,,,0,
9036,9052,trail_stop,16,-1.9269,False,,,0,
9124,9139,trail_stop,15,-5.5002,False,,,0,
9220,9305,trail_stop,85,11.1672,False,,,0,
9311,9340,trail_stop,29,-5.2061,False,,,0,
9961,9987,trail_stop,26,0.973,False,,,0,
9990,10002,trail_stop,12,-5.5519,False,,,0,
10015,10043,trail_stop,28,-1.2724,False,,,0,
10054,10090,trail_stop,36,-1.6822,False,,,0,
10095,10137,trail_stop,42,2.1807,False,,,0,
10138,10148,trail_stop,10,-6.8198,True,10140,-0.7082,8,6.1116
10288,10300,trail_stop,12,-4.2382,False,,,0,
10301,10312,trend_exit,11,-3.1782,True,10302,-1.0384,10,2.1398
10429,10445,trail_stop,16,-4.0989,False,,,0,
10555,10568,trail_stop,13,-1.3397,False,,,0,
10572,10601,trail_stop,29,-2.1473,False,,,0,
10603,10628,trail_stop,25,1.094,False,,,0,
10807,10808,trend_exit,1,-2.03,False,,,0,
10820,10858,trail_stop,38,0.7564,False,,,0,
11004,11135,trail_stop,131,32.3648,False,,,0,
11140,11171,trail_stop,31,-1.4885,False,,,0,
11175,11195,trail_stop,20,-4.1761,False,,,0,
11233,11238,trail_stop,5,-5.3856,False,,,0,
11244,11272,trail_stop,28,-3.9668,False,,,0,
11275,11285,trail_stop,10,-5.6766,False,,,0,
11299,11323,trail_stop,24,-5.7034,True,11310,-2.2311,13,3.4723
11392,11441,trail_stop,49,2.4702,False,,,0,
11444,11470,trail_stop,26,-3.1214,False,,,0,
11472,11546,trail_stop,74,2.3556,False,,,0,
11547,11594,trail_stop,47,6.2988,False,,,0,
11600,11607,trail_stop,7,-2.0525,False,,,0,
11672,11680,trail_stop,8,-4.2243,False,,,0,
11695,11718,trail_stop,23,-2.7788,False,,,0,
11850,11859,trail_stop,9,-2.7919,False,,,0,
11979,12029,trail_stop,50,11.3048,False,,,0,
12032,12070,trail_stop,38,-0.4469,False,,,0,
12072,12125,trail_stop,53,-1.7697,False,,,0,
12126,12156,trend_exit,30,-1.821,True,12144,-1.07,12,0.751
12513,12538,trail_stop,25,-0.4338,False,,,0,
12557,12564,trend_exit,7,-1.0418,True,12558,-1.2541,6,-0.2123
12583,12606,trail_stop,23,1.4815,False,,,0,
12613,12654,trail_stop,41,-0.645,False,,,0,
12660,12667,trend_exit,7,-0.8461,True,12661,-0.6041,6,0.2421
12688,12863,trail_stop,175,25.1345,False,,,0,
12867,12874,trail_stop,7,-0.0456,False,,,0,
12877,12906,trail_stop,29,-2.5233,False,,,0,
12913,12939,trail_stop,26,-1.2023,False,,,0,
12941,13021,trail_stop,80,14.1594,False,,,0,
13026,13062,trail_stop,36,-0.2063,False,,,0,
13066,13114,trail_stop,48,2.2152,False,,,0,
13115,13161,trail_stop,46,3.2672,True,13134,-0.5984,27,-3.8656
13176,13216,trail_stop,40,0.2155,False,,,0,
13323,13535,trail_stop,212,40.3488,False,,,0,
13538,13589,trail_stop,51,3.5881,False,,,0,
13605,13617,trail_stop,12,-6.2561,False,,,0,
13627,13641,trend_exit,14,-3.5214,True,13638,-4.7649,3,-1.2435
13651,13696,trail_stop,45,0.8119,False,,,0,
13697,13700,trail_stop,3,-5.0597,False,,,0,
13702,13712,trend_exit,10,1.3438,True,13704,0.3814,8,-0.9624
13717,13719,trend_exit,2,-2.5309,False,,,0,
13720,13745,trail_stop,25,0.6834,False,,,0,
13964,14008,trail_stop,44,2.4097,False,,,0,
14011,14036,trail_stop,25,-0.7887,False,,,0,
14041,14099,trail_stop,58,0.1165,False,,,0,
14100,14120,trail_stop,20,-3.0602,False,,,0,
14123,14129,trail_stop,6,-0.3129,True,14124,-0.6357,5,-0.3228
14329,14382,trail_stop,53,0.4599,False,,,0,
14389,14413,trail_stop,24,-1.1399,False,,,0,
14560,14584,trail_stop,24,-0.214,False,,,0,
14698,14787,trail_stop,89,5.2469,True,14706,-3.9973,81,-9.2441
14789,14795,trail_stop,6,-3.2132,False,,,0,
14827,14843,trail_stop,16,-4.4119,True,14838,-2.6445,5,1.7675
14864,14924,trail_stop,60,5.8485,False,,,0,
14933,14975,trail_stop,42,2.0973,False,,,0,
14987,15060,trail_stop,73,25.0037,True,15000,-2.875,60,-27.8786
15061,15125,trail_stop,64,6.7776,False,,,0,
15130,15186,trail_stop,56,3.9317,False,,,0,
15187,15214,trail_stop,27,-2.6128,False,,,0,
15215,15264,trail_stop,49,4.0141,False,,,0,
15270,15285,trend_exit,15,-0.8669,True,15271,-0.862,14,0.0048
15373,15382,trail_stop,9,-1.5891,False,,,0,
15433,15456,trail_stop,23,1.3552,False,,,0,
15457,15462,trail_stop,5,-0.1393,False,,,0,
15463,15498,trail_stop,35,-0.8042,False,,,0,
15509,15533,trail_stop,24,-1.2319,False,,,0,
15853,15862,trail_stop,9,-4.6062,False,,,0,
15965,16086,trail_stop,121,10.4616,False,,,0,
16092,16173,trail_stop,81,8.1451,False,,,0,
16174,16200,trail_stop,26,1.9054,False,,,0,
16205,16235,trail_stop,30,-3.4468,False,,,0,
16241,16276,trend_exit,35,-0.6024,True,16242,-1.1216,34,-0.5192
16296,16317,trail_stop,21,0.5994,False,,,0,
16345,16352,trend_exit,7,-2.9192,True,16350,-3.3095,2,-0.3903
16399,16432,trail_stop,33,-2.2503,False,,,0,
16441,16513,trail_stop,72,7.3056,False,,,0,
16514,16573,trail_stop,59,-1.6571,False,,,0,
16585,16614,trail_stop,29,-2.5352,False,,,0,
16666,16683,trail_stop,17,0.8885,False,,,0,
16684,16696,trail_stop,12,-1.889,False,,,0,
16861,16924,trail_stop,63,0.4855,False,,,0,
16984,17020,trail_stop,36,3.2486,False,,,0,
17025,17038,trail_stop,13,-3.6284,False,,,0,
17141,17153,trail_stop,12,-4.2234,False,,,0,
17545,17572,trail_stop,27,0.6345,False,,,0,
17580,17640,trail_stop,60,2.3117,False,,,0,
17643,17651,trail_stop,8,-4.1996,False,,,0,
