signal_id,ts_ms,signal_type,trade_id,backtest_price,qty_btc,ts_utc,date
0,1546646400000,entry,1,3793.881038,2.63187548,2019-01-05 00:00:00+00:00,2019-01-05
1,1547107200000,exit,1,3773.763404,2.63187548,2019-01-10 08:00:00+00:00,2019-01-10
2,1549742400000,entry,2,3657.214473,2.70761363,2019-02-09 20:00:00+00:00,2019-02-09
3,1551024000000,exit,2,3774.482685,2.70761363,2019-02-24 16:00:00+00:00,2019-02-24
4,1551297600000,entry,3,3817.054193,2.66939547,2019-02-27 20:00:00+00:00,2019-02-27
5,1551686400000,exit,3,3723.273932,2.66939547,2019-03-04 08:00:00+00:00,2019-03-04
6,1551830400000,entry,4,3861.438544,2.5661728,2019-03-06 00:00:00+00:00,2019-03-06
7,1552377600000,exit,4,3830.856269,2.5661728,2019-03-12 08:00:00+00:00,2019-03-12
8,1552449600000,entry,5,3891.778862,2.51843482,2019-03-13 04:00:00+00:00,2019-03-13
9,1553529600000,exit,5,3958.958071,2.51843482,2019-03-25 16:00:00+00:00,2019-03-25
10,1553572800000,entry,6,3940.077124,2.52292308,2019-03-26 04:00:00+00:00,2019-03-26
11,1554336000000,exit,6,4927.658643,2.52292308,2019-04-04 00:00:00+00:00,2019-04-04
12,1554480000000,entry,7,4971.467742,2.49319998,2019-04-05 16:00:00+00:00,2019-04-05
13,1554984000000,exit,7,4996.01024,2.49319998,2019-04-11 12:00:00+00:00,2019-04-11
14,1555084800000,entry,8,5042.488709,2.46281968,2019-04-12 16:00:00+00:00,2019-04-12
15,1556236800000,exit,8,5215.250835,2.46281968,2019-04-26 00:00:00+00:00,2019-04-26
16,1556323200000,entry,9,5320.316329,2.40695227,2019-04-27 00:00:00+00:00,2019-04-27
17,1557676800000,exit,9,6835.659211,2.40695227,2019-05-12 16:00:00+00:00,2019-05-12
18,1557748800000,entry,10,7232.467046,2.26808086,2019-05-13 12:00:00+00:00,2019-05-13
19,1557864000000,exit,10,7730.513685,2.26808086,2019-05-14 20:00:00+00:00,2019-05-14
20,1558123200000,entry,11,7142.867514,2.44732365,2019-05-17 20:00:00+00:00,2019-05-17
21,1559260800000,exit,11,8258.834967,2.44732365,2019-05-31 00:00:00+00:00,2019-05-31
22,1559332800000,entry,12,8453.166831,2.3838991,2019-05-31 20:00:00+00:00,2019-05-31
