sharpe,cagr_pct,max_dd_pct,trades,win_rate_pct,profit_factor,avg_exposure,avg_days_held,sortino,calmar,final_nav,total_return_pct,years,cost_bps,strategy
1.6288,62.55,36.58,211,57.35,2.1916,0.3383,4.18,1.3317,1.7101,320978.36,3109.78,7.14,5,V3
1.9043,85.29,32.4,197,50.25,1.9527,0.4028,5.33,1.669,2.6321,817274.45,8072.74,7.14,5,V4
1.7677,81.93,35.07,188,46.81,2.0455,0.4448,6.17,1.624,2.3361,717246.63,7072.47,7.14,5,E5+EMA21D1
1.5848,60.19,36.83,211,57.35,2.1353,0.3383,4.18,1.2983,1.6343,289170.02,2791.7,7.14,10,V3
1.8657,82.75,32.79,197,49.75,1.9114,0.4028,5.33,1.6377,2.5236,740610.59,7306.11,7.14,10,V4
1.733,79.55,35.48,188,45.21,1.9935,0.4448,6.17,1.5943,2.2424,652897.24,6428.97,7.14,10,E5+EMA21D1
1.5402,57.84,37.08,211,57.35,2.0802,0.3383,4.18,1.2644,1.5598,260216.72,2502.17,7.14,15,V3
1.8271,80.24,33.18,197,49.24,1.8716,0.4028,5.33,1.6062,2.4182,671138.12,6611.38,7.14,15,V4
1.6983,77.2,35.89,188,45.21,1.9439,0.4448,6.17,1.5643,2.1513,594321.1,5843.21,7.14,15,E5+EMA21D1
1.4956,55.53,37.34,211,56.87,2.0269,0.3383,4.18,1.2301,1.4873,234162.38,2241.62,7.14,20,V3
1.7885,77.77,33.58,197,48.22,1.8332,0.4028,5.33,1.5744,2.3159,608182.47,5981.82,7.14,20,V4
1.6635,74.88,36.3,188,44.15,1.8965,0.4448,6.17,1.5342,2.0629,541000.25,5310.0,7.14,20,E5+EMA21D1
1.433,52.33,37.63,212,55.66,1.9485,0.3384,4.16,1.1811,1.3907,201867.7,1918.68,7.14,25,V3
1.7498,75.34,33.98,197,47.72,1.796,0.4028,5.33,1.5425,2.2171,551132.32,5411.32,7.14,25,V4
1.6287,72.6,36.71,188,44.15,1.8512,0.4448,6.17,1.5039,1.9774,492463.19,4824.63,7.14,25,E5+EMA21D1
1.3881,50.09,37.94,212,55.66,1.8988,0.3384,4.16,1.1461,1.3201,181564.78,1715.65,7.14,30,V3
1.711,72.94,34.38,197,47.21,1.7601,0.4028,5.33,1.5104,2.1218,499433.72,4894.34,7.14,30,V4
1.5939,70.34,37.32,188,43.09,1.8079,0.4448,6.17,1.4735,1.8849,448280.74,4382.81,7.14,30,E5+EMA21D1
1.2569,43.62,38.56,213,53.99,1.7089,0.3378,4.14,1.0403,1.1313,132598.46,1225.98,7.14,40,V3
1.6335,68.23,35.16,197,47.21,1.6921,0.4028,5.33,1.4455,1.9407,410130.25,4001.3,7.14,40,V4
1.5242,65.91,39.17,188,42.55,1.7264,0.4448,6.17,1.4126,1.6828,371451.98,3614.52,7.14,40,E5+EMA21D1
1.1217,37.35,39.55,214,52.34,1.5977,0.3383,4.12,0.9301,0.9444,96405.49,864.05,7.14,50,V3
1.5559,63.65,35.93,197,45.18,1.6284,0.4028,5.33,1.38,1.7715,336795.07,3267.95,7.14,50,V4
1.4545,61.6,40.97,188,42.02,1.6519,0.4448,6.17,1.3508,1.5037,307790.53,2977.91,7.14,50,E5+EMA21D1
