policy,family,template,support_signal,weak_q,neg_q,fold,oos_sharpe,oos_cagr,oos_mdd,oos_trades,delta_sharpe_vs_vdo,delta_sharpe_vs_core,weak_thr,neg_thr
core_ungated,control,ungated,,,,1,-0.0347205074474851,-0.0722457539443161,-0.49915883973438047,42,-0.6413999670446181,0.0,,
core_ungated,control,ungated,,,,2,1.545187486195729,0.6312935171579013,-0.2623047293911638,55,0.00768188867941455,0.0,,
core_ungated,control,ungated,,,,3,1.1942746883476139,0.39654782233160213,-0.21076183998965203,35,-0.6242986449100951,0.0,,
core_ungated,control,ungated,,,,4,-0.4687352986131635,-0.09447259027536337,-0.18770502051141158,16,-0.44657799330882886,0.0,,
vdo_only,control,vdo_only,,,,1,0.606679459597133,0.1565414550920552,-0.3648484810818692,31,0.0,0.6413999670446181,,
vdo_only,control,vdo_only,,,,2,1.5375055975163145,0.5856032823972903,-0.30918733110768204,47,0.0,-0.00768188867941455,,
vdo_only,control,vdo_only,,,,3,1.818573333257709,0.6554226646434065,-0.13236946834247343,28,0.0,0.6242986449100951,,
vdo_only,control,vdo_only,,,,4,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,12,0.0,0.44657799330882886,,
and_ema12_vol_surprise_quote_28,unbounded_control,and_support,ema12_vol_surprise_quote_28,,,1,0.31560206573682503,0.05086684091083882,-0.32753951576343243,27,-0.29107739386030795,0.35032257318431015,,
and_ema12_vol_surprise_quote_28,unbounded_control,and_support,ema12_vol_surprise_quote_28,,,2,1.516885124201709,0.5445866659437093,-0.3177778168383846,42,-0.020620473314605592,-0.028302361994020142,,
and_ema12_vol_surprise_quote_28,unbounded_control,and_support,ema12_vol_surprise_quote_28,,,3,1.736109673224124,0.5696917550137057,-0.13684484995206836,24,-0.08246366003358507,0.54183498487651,,
and_ema12_vol_surprise_quote_28,unbounded_control,and_support,ema12_vol_surprise_quote_28,,,4,0.23415709266487852,0.024848196309929405,-0.13601700024843588,11,0.2563143979692132,0.702892391278042,,
and_vol_surprise_quote_28,unbounded_control,and_support,vol_surprise_quote_28,,,1,0.29621985930984723,0.04470064581472588,-0.40641931791795916,29,-0.31045960028728575,0.33094036675733235,,
and_vol_surprise_quote_28,unbounded_control,and_support,vol_surprise_quote_28,,,2,1.641558797923653,0.618334941483984,-0.2731487152275518,42,0.10405320040733845,0.0963713117279239,,
and_vol_surprise_quote_28,unbounded_control,and_support,vol_surprise_quote_28,,,3,2.0559712865399122,0.7441602615369838,-0.12157140708537129,25,0.23739795328220326,0.8616965981922984,,
and_vol_surprise_quote_28,unbounded_control,and_support,vol_surprise_quote_28,,,4,0.17902918277707167,0.015927623459222495,-0.13357624839141924,11,0.20118648808140632,0.6477644813902351,,
and_ema28_imbalance_ratio_base,unbounded_control,and_support,ema28_imbalance_ratio_base,,,1,0.929425097602624,0.25941905644591934,-0.2507463104418026,24,0.32274563800549105,0.9641456050501092,,
and_ema28_imbalance_ratio_base,unbounded_control,and_support,ema28_imbalance_ratio_base,,,2,1.7364012239699813,0.6297348689926106,-0.24781634034558364,40,0.19889562645366676,0.1912137377742522,,
and_ema28_imbalance_ratio_base,unbounded_control,and_support,ema28_imbalance_ratio_base,,,3,1.6235453600860055,0.5399575110171888,-0.13236946834247354,27,-0.1950279731717035,0.4292706717383916,,
and_ema28_imbalance_ratio_base,unbounded_control,and_support,ema28_imbalance_ratio_base,,,4,0.04061928421029946,-0.005124170366353931,-0.11505989285707263,10,0.0627765895146341,0.5093545828234629,,
and_ema28_net_quote_norm_28,unbounded_control,and_support,ema28_net_quote_norm_28,,,1,0.7951400728808964,0.20331623470214488,-0.20911691373575214,23,0.1884606132837634,0.8298605803283815,,
