policy,family,template,support_signal,weak_q,neg_q,aggregate_sharpe,aggregate_cagr,aggregate_mdd,delta_sharpe_vs_vdo,delta_sharpe_vs_core,positive_folds_vs_vdo,positive_folds_vs_core,avg_oos_trades,avg_boundary_threshold,pass_vs_vdo
weakvdo_q0.5_activity_and_fresh_imb,bounded_veto,weak_vdo_require_support,activity_and_fresh_imb,0.5,,1.3740835418443529,0.42715613356832627,-0.2733669220869338,0.243323741872147,0.6318626093457371,4,4,26.0,0.0060018951932140924,True
and_fresh_imb_and_altmom,unbounded_control,and_support,fresh_imb_and_altmom,,,1.325334710534557,0.37896077725011357,-0.2424493310159519,0.1945749105623511,0.5831137780359412,3,4,22.5,,True
and_ema28_imbalance_ratio_base,unbounded_control,and_support,ema28_imbalance_ratio_base,,,1.282046771927663,0.3809447322384185,-0.25074631044180296,0.15128697195545704,0.5398258394290472,3,4,25.25,,True
weakvdo_q0.5_all_three,bounded_veto,weak_vdo_require_support,all_three,0.5,,1.2804202271831069,0.3799009627520773,-0.27723979254503883,0.149660427210901,0.5381992946844911,3,4,25.25,0.0060018951932140924,True
weakvdo_q0.5_ema28_imbalance_ratio_base,bounded_veto,weak_vdo_require_support,ema28_imbalance_ratio_base,0.5,,1.2645688467898204,0.38868722144623513,-0.29474259987642215,0.13380904681761452,0.5223479142912046,2,4,27.5,0.0060018951932140924,False
weakvdo_q0.5_ema12_vol_surprise_quote_28,bounded_veto,weak_vdo_require_support,ema12_vol_surprise_quote_28,0.5,,1.2472451841502679,0.39194492569221406,-0.3338228846428809,0.11648538417806198,0.5050242516516521,4,3,27.75,0.0060018951932140924,True
and_activity_and_fresh_imb,unbounded_control,and_support,activity_and_fresh_imb,,,1.244474738001224,0.3273568544703518,-0.2026446814064191,0.11371493802901811,0.5022538055026082,3,3,20.5,,True
and_all_three,unbounded_control,and_support,all_three,,,1.2341442173057195,0.3054389646706541,-0.18780224912758192,0.10338441733351367,0.4919232848071038,2,3,18.25,,False
weakvdo_q0.5_ema28_net_quote_norm_28,bounded_veto,weak_vdo_require_support,ema28_net_quote_norm_28,0.5,,1.2327379085025791,0.3736740781007586,-0.2593194232732877,0.10197810853037326,0.4905169760039634,2,4,27.25,0.0060018951932140924,False
weakvdo_q0.5_fresh_imb_and_altmom,bounded_veto,weak_vdo_require_support,fresh_imb_and_altmom,0.5,,1.2242910741958715,0.36253847363934866,-0.2817278961064422,0.09353127422366558,0.4820701416972557,3,4,25.75,0.0060018951932140924,True
weakvdo_q0.5_vol_surprise_quote_28,bounded_veto,weak_vdo_require_support,vol_surprise_quote_28,0.5,,1.2174070118003513,0.3803080784335626,-0.3504219364845812,0.08664721182814539,0.4751860793017355,4,4,27.75,0.0060018951932140924,True
weakvdo_q0.5_activity_and_altmom,bounded_veto,weak_vdo_require_support,activity_and_altmom,0.5,,1.1898125003900946,0.36056535607619167,-0.28859666138710405,0.05905270041788868,0.4475915678914788,3,4,26.75,0.0060018951932140924,True
weakvdo_q0.5_late_and_low_activity,bounded_veto,weak_vdo_require_support,late_and_low_activity,0.5,,1.174728254513359,0.3665581978044843,-0.33463057152406084,0.04396845454115317,0.4325073220147433,2,4,29.0,0.0060018951932140924,False
