signal_bar_index,signal_timestamp,vdo,ema12_volsurprise,ema28_imb,later_candidate_signal_bar_index,fold,base_entry_bar_index,base_exit_bar_index,base_ret_net,base_hold_bars,base_exit_reason,signal_bar_index_cand,cand_entry_bar_index,cand_exit_bar_index,cand_ret_net,cand_hold_bars,cand_exit_reason,decision_outcome
8612,2021-07-25 11:59:59.999000+00:00,0.005855761288072449,0.9624179926962703,-0.007063702243686427,8614.0,1,8613,8622.0,0.0799238266202753,9.0,trail_stop,8614.0,8615.0,8622.0,0.08136358925283083,7.0,trail_stop,delay_then_enter
8671,2021-08-04 07:59:59.999000+00:00,0.004350524654289655,0.8312195099358941,-0.015097548560244596,8672.0,1,8672,8754.0,0.17858093521948226,82.0,trail_stop,8672.0,8673.0,8754.0,0.1683511405765128,81.0,trail_stop,delay_then_enter
8808,2021-08-27 03:59:59.999000+00:00,0.001386608364361032,0.9462749084879947,-0.013527568345230112,8809.0,1,8809,8878.0,-0.006036972105648686,69.0,trail_stop,8809.0,8810.0,8878.0,-0.019802003185861894,68.0,trail_stop,delay_then_enter
8941,2021-09-18 07:59:59.999000+00:00,0.006477043897010416,0.9158905541937944,-0.019921217386345343,,1,8942,8953.0,-0.065669328182556,11.0,trail_stop,,,,,,,full_veto
9026,2021-10-02 11:59:59.999000+00:00,0.005264356471594769,0.9880428499277638,-0.006041681615724138,9027.0,1,9027,9142.0,0.3173114647998665,115.0,trail_stop,9027.0,9028.0,9142.0,0.3132222640211926,114.0,trail_stop,delay_then_enter
9238,2021-11-06 19:59:59.999000+00:00,0.0002606048958169443,0.7802958533554184,-0.009999173012105017,9240.0,1,9239,9264.0,0.05794822551139367,25.0,trail_stop,9240.0,9241.0,9264.0,0.041642689153127854,23.0,trail_stop,delay_then_enter
9288,2021-11-15 03:59:59.999000+00:00,0.004943568888701021,0.850266266683724,-0.011667295491507544,9289.0,1,9289,9295.0,-0.0754396246019794,6.0,trail_stop,9289.0,9290.0,9295.0,-0.07356525977314476,5.0,trail_stop,delay_then_enter
10763,2022-07-18 23:59:59.999000+00:00,0.006161330892278667,1.275531684523915,0.008489219019716499,,1,10764,10791.0,-0.011492495161217309,27.0,trail_stop,,,,,,,full_veto
10793,2022-07-23 23:59:59.999000+00:00,0.00243122928044035,0.774265317651333,0.0036134269846696404,,1,10794,10806.0,-0.05304971345979448,12.0,trail_stop,,,,,,,full_veto
10857,2022-08-03 15:59:59.999000+00:00,0.0007185494887747583,0.9768374757517442,-0.0055917437105891905,10869.0,1,10858,10894.0,-0.014361278095145313,36.0,trail_stop,10869.0,10870.0,10894.0,0.0012669301352437046,24.0,trail_stop,delay_then_enter
11091,2022-09-11 15:59:59.999000+00:00,0.0018347173431040465,1.0316315419569024,0.002382199848390709,,1,11092,11104.0,-0.03993654087771903,12.0,trail_stop,,,,,,,full_veto
11104,2022-09-13 19:59:59.999000+00:00,0.0006733016156061575,1.2553506871292202,0.006012586029730736,,1,11105,11116.0,-0.029421495396465325,11.0,trend_exit,,,,,,,full_veto
11232,2022-10-05 03:59:59.999000+00:00,0.0008060844126925471,0.9896517062605685,0.0025837979921313975,,1,11233,11249.0,-0.03862813625424166,16.0,trail_stop,,,,,,,full_veto
11807,2023-01-08 23:59:59.999000+00:00,0.00017749723029879347,0.9356523066386823,-0.00797662050112687,11808.0,2,11808,11939.0,0.3269613817859738,131.0,trail_stop,11808.0,11809.0,11939.0,0.32162406023115975,130.0,trail_stop,delay_then_enter
11978,2023-02-06 11:59:59.999000+00:00,0.0001525597712194399,0.8524082934616314,-0.004571931973276328,11986.0,2,11979,11999.0,-0.039436998146594626,20.0,trail_stop,11986.0,11987.0,11999.0,-0.04836508905594494,12.0,trail_stop,delay_then_enter
12047,2023-02-17 23:59:59.999000+00:00,0.0006771382254883919,1.361997223390279,0.0008464873898857837,12078.0,2,12048,12076.0,-0.03714199036371091,28.0,trail_stop,12078.0,12079.0,12089.0,-0.05440488577312641,10.0,trail_stop,delay_then_enter
12101,2023-02-26 23:59:59.999000+00:00,0.0008859339997581506,0.7669748078821025,-0.005315546340148732,,2,12102,12127.0,-0.054803556933972986,25.0,trail_stop,,,,,,,full_veto
12195,2023-03-14 15:59:59.999000+00:00,0.005563620738042632,1.4248382714366765,0.005948310805069223,12269.0,2,12196,12203.0,-0.061230703612755066,7.0,trail_stop,12269.0,12270.0,12350.0,-0.004816583099422678,80.0,trail_stop,delay_then_enter
12203,2023-03-15 23:59:59.999000+00:00,0.00016694900239412223,1.1815857943977595,0.0028339700178196493,12269.0,2,12204,12245.0,0.09538761705282295,41.0,trail_stop,12269.0,12270.0,12350.0,-0.004816583099422678,80.0,trail_stop,delay_then_enter
12247,2023-03-23 07:59:59.999000+00:00,0.0011762641869639276,0.605861668548816,0.0031182886905737625,12269.0,2,12248,12274.0,-0.028788257140103912,26.0,trail_stop,12269.0,12270.0,12350.0,-0.004816583099422678,80.0,trail_stop,delay_then_enter
12350,2023-04-09 11:59:59.999000+00:00,0.0009760470470010444,0.6130462201628946,-0.012601128452844237,12352.0,2,12351,12398.0,0.06564927491665484,47.0,trail_stop,12352.0,12353.0,12398.0,0.05768883176461026,45.0,trail_stop,delay_then_enter
12475,2023-04-30 07:59:59.999000+00:00,0.0011303433932185825,0.4581762830855,-0.007031400354325566,,2,12476,12484.0,-0.03984526560479651,8.0,trail_stop,,,,,,,full_veto
12782,2023-06-20 11:59:59.999000+00:00,0.004787544988694881,0.994797834836843,-0.0435096430168591,12783.0,2,12783,12833.0,0.1158334000435357,50.0,trail_stop,12783.0,12784.0,12833.0,0.10907581688041046,49.0,trail_stop,delay_then_enter
12835,2023-06-29 07:59:59.999000+00:00,0.00033080630594514715,0.7976255581336983,-0.03149742062814682,12840.0,2,12836,12874.0,-0.0019767619421821037,38.0,trail_stop,12840.0,12841.0,12874.0,-0.015116104199723979,33.0,trail_stop,delay_then_enter
12875,2023-07-05 23:59:59.999000+00:00,0.0027111832455766344,0.9109054492442724,-0.08480652667273918,12876.0,2,12876,12929.0,-0.01523740386932726,53.0,trail_stop,12876.0,12877.0,12929.0,-0.01478686089607395,52.0,trail_stop,delay_then_enter
13316,2023-09-17 11:59:59.999000+00:00,0.004203769440018983,0.5835654112965603,-0.03783786032313079,13317.0,2,13317,13342.0,-0.0018461867904795426,25.0,trail_stop,13317.0,13318.0,13342.0,-0.0012183456892583822,24.0,trail_stop,delay_then_enter
13360,2023-09-24 19:59:59.999000+00:00,0.00015335006117591504,0.7017270320927965,-0.05183059011441807,,2,13361,13368.0,-0.007942019379233778,7.0,trend_exit,,,,,,,full_veto
13979,2024-01-05 23:59:59.999000+00:00,0.004325677619113693,0.9987506628602367,-0.002940484874860158,13983.0,2,13980,14020.0,0.004663341503820417,40.0,trail_stop,13983.0,13984.0,14020.0,0.011029062742983875,36.0,trail_stop,delay_then_enter
14341,2024-03-06 07:59:59.999000+00:00,0.0011294505975412879,1.4978222469626885,0.026804151210568967,14347.0,2,14342,14393.0,0.038473982067165124,51.0,trail_stop,14347.0,14348.0,14393.0,0.0429898296981821,45.0,trail_stop,delay_then_enter
14408,2024-03-17 11:59:59.999000+00:00,0.00010594117785542832,0.9140563601497097,-0.002054710677458946,14413.0,2,14409,14421.0,-0.06021397897194636,12.0,trail_stop,14413.0,14414.0,14421.0,-0.07761172966752306,7.0,trail_stop,delay_then_enter
14523,2024-04-05 15:59:59.999000+00:00,0.004880153873915686,1.0812649287993676,0.0068664677409192,14532.0,2,14524,14549.0,0.009354269080406041,25.0,trail_stop,14532.0,14533.0,14549.0,-0.008349848112124802,16.0,trail_stop,delay_then_enter
15667,2024-10-13 07:59:59.999000+00:00,0.005011361310441265,0.6828853322064647,-0.0252541804626396,15671.0,3,15668,15728.0,0.06113486757441433,60.0,trail_stop,15671.0,15672.0,15728.0,0.060686919261602856,56.0,trail_stop,delay_then_enter
15790,2024-11-02 19:59:59.999000+00:00,0.002498078473141683,0.7163481618814506,-0.009383054413966595,15797.0,3,15791,15864.0,0.2531657110743639,73.0,trail_stop,15797.0,15798.0,15864.0,0.26654009017942193,66.0,trail_stop,delay_then_enter
