side_cost_bps,baseline_sharpe,A_sharpe,B_sharpe,A_delta_vs_base,B_delta_vs_base,A_positive_folds_vs_base,B_positive_folds_vs_base
0.0,1.3360251334262165,1.532323458868138,1.45899323020177,0.1962983254419215,0.12296809677555354,3,3
2.5,1.2950256139995124,1.4940250781097861,1.4203243763753308,0.1989994641102737,0.12529876237581838,3,3
5.0,1.2539952772677003,1.4556808095390361,1.3816159455597046,0.2016855322713358,0.12762066829200425,3,3
7.5,1.2129381652692526,1.417294423477642,1.342871736731761,0.20435625820838932,0.1299335714625085,3,3
10.0,1.1718583237084628,1.378869700997173,1.3040955566187364,0.20701137728871033,0.13223723291027367,3,3
12.5,1.1307597999722059,1.3404104320598558,1.26529121783359,0.2096506320876499,0.13453141786138412,3,3
15.0,1.0896466411497594,1.3019204136545228,1.2264625370088564,0.21227377250476342,0.13681589585909704,3,3
20.0,1.0073925932699792,1.2248633403218845,1.1487474246730578,0.21747074705190528,0.14135483140307858,3,3
25.0,0.9251284759620284,1.14772892646803,1.0709807622189667,0.22260045050600152,0.14585228625693825,3,3
30.0,0.8428864548697725,1.0705476105483265,0.9931930375508323,0.22766115567855394,0.15030658268105979,3,3
35.0,0.7606985038012204,0.9933497646733289,0.9154146250481641,0.23265126087210852,0.15471612124694367,3,3
40.0,0.6785963442879488,0.916165635884316,0.8376757275518615,0.2375692915963672,0.1590793832639127,4,3
50.0,0.5147746721107314,0.7619585463587669,0.6824360908309244,0.24718387424803556,0.16766141872019302,4,3
75.0,0.10886858470242809,0.3787491645078691,0.29708524462978353,0.269880579805441,0.18821665992735542,4,3
100.0,-0.28897774409682986,0.0016240639903680168,-0.08158505869174833,0.2906018080871979,0.20739268540508154,4,4
