series,fold,start_threshold,median_threshold_within_fold,end_threshold,min_threshold,max_threshold,std_threshold
research_fold_train_median,1,0.00648105072393846,0.00648105072393846,0.00648105072393846,0.00648105072393846,0.00648105072393846,0.0
research_fold_train_median,2,0.005799748872026572,0.005799748872026572,0.005799748872026572,0.005799748872026572,0.005799748872026572,0.0
research_fold_train_median,3,0.005663060405662071,0.005663060405662071,0.005663060405662071,0.005663060405662071,0.005663060405662071,0.0
research_fold_train_median,4,0.006063720771229266,0.006063720771229266,0.006063720771229266,0.006063720771229266,0.006063720771229266,0.0
A_fixed_0065,1,0.0065,0.0065,0.0065,0.0065,0.0065,2.6020852139652106e-18
A_fixed_0065,2,0.0065,0.0065,0.0065,0.0065,0.0065,1.734723475976807e-18
A_fixed_0065,3,0.0065,0.0065,0.0065,0.0065,0.0065,0.0
A_fixed_0065,4,0.0065,0.0065,0.0065,0.0065,0.0065,1.734723475976807e-18
B_online_poscore_2000,1,0.00648105072393846,0.0064011360066231655,0.0056973449742069625,0.0056973449742069625,0.006549684966312169,0.0002488512086755359
B_online_poscore_2000,2,0.0056973449742069625,0.0050298028808757455,0.005052324534340424,0.0048921272666862005,0.0056973449742069625,0.00015268542527850003
B_online_poscore_2000,3,0.005052324534340424,0.005173107123738258,0.0055712639436022735,0.005015608699242517,0.00564546817633913,0.00018279930817051418
B_online_poscore_2000,4,0.0055712639436022735,0.006037825363184207,0.0061046455269179135,0.0055712639436022735,0.006113545716003729,0.00013685094461296483
B_online_expanding,1,0.00648105072393846,0.0064011360066231655,0.005799748872026572,0.005799748872026572,0.006549684966312169,0.00022009467274257323
B_online_expanding,2,0.005799748872026572,0.005419122547878349,0.005663060405662071,0.005197593853486926,0.005799748872026572,0.00017172639850655791
B_online_expanding,3,0.005663060405662071,0.005859556876860357,0.006063720771229266,0.005663060405662071,0.006067303729713692,0.00011035645806528572
B_online_expanding,4,0.006063720771229266,0.006270192767799436,0.006303699747792888,0.006063720771229266,0.006312077076962295,6.182328266048735e-05
