fold,direction,threshold,sharpe,cagr,mdd,end_equity,bar_count,oos_trades,oos_cont_decisions,signal,measurement,operator,role,rule_type
1,ge,0.0,0.6812633702931004,0.18743386800076722,-0.3391852629330816,12945.23401864934,3294,30,2,imbalance_ratio_base,imbalance_ratio_base,level,one_shot,fixed_natural
2,ge,0.0,1.5751232348583857,0.6072198900959918,-0.30985404587453336,20348.16430020136,3282,47,6,imbalance_ratio_base,imbalance_ratio_base,level,one_shot,fixed_natural
3,ge,0.0,1.7728409913251022,0.6339986535843165,-0.13236946834247343,16330.836205416032,2190,28,1,imbalance_ratio_base,imbalance_ratio_base,level,one_shot,fixed_natural
4,ge,0.0,0.06036072333350236,-0.0036698487524410295,-0.1158206572979793,9975.586295456083,1458,11,3,imbalance_ratio_base,imbalance_ratio_base,level,one_shot,fixed_natural
1,le,-0.12833602973184322,0.44852089249669547,0.09828125093418483,-0.4123117716657848,11512.699731182647,3294,31,1,imbalance_ratio_base,imbalance_ratio_base,level,one_shot,train_threshold
2,ge,-0.007433874955568442,1.4956853022525238,0.5662924802259832,-0.30985404587453336,19577.333133874978,3282,45,8,imbalance_ratio_base,imbalance_ratio_base,level,one_shot,train_threshold
3,ge,0.003325089026448064,1.7728409913251022,0.6339986535843165,-0.13236946834247343,16330.836205416032,2190,28,1,imbalance_ratio_base,imbalance_ratio_base,level,one_shot,train_threshold
4,ge,-0.0013561234877953094,0.06036072333350236,-0.0036698487524410295,-0.1158206572979793,9975.586295456083,1458,11,3,imbalance_ratio_base,imbalance_ratio_base,level,one_shot,train_threshold
1,ge,0.0,0.6998322696492941,0.19172928319137839,-0.3355900874677066,13015.662816808353,3294,30,2,imbalance_ratio_base,imbalance_ratio_base,level,stateful,fixed_natural
2,ge,0.0,1.4913294210397627,0.5609871763579086,-0.30985404587453336,19478.138160515307,3282,47,6,imbalance_ratio_base,imbalance_ratio_base,level,stateful,fixed_natural
3,ge,0.0,1.8279575812104472,0.6601502145134159,-0.13236946834247354,16591.904833915556,2190,28,1,imbalance_ratio_base,imbalance_ratio_base,level,stateful,fixed_natural
4,ge,0.0,0.011867532116071786,-0.01129896952812226,-0.12003764101544434,9924.736810933086,1458,12,3,imbalance_ratio_base,imbalance_ratio_base,level,stateful,fixed_natural
