trade_id,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,1580097600000,1580616000000,8673.58,9263.08,1.15223535,666.85,6.6685,6.0,v4_entry,v4_exit
2,1580932800000,1582156800000,9659.79,9590.81,1.10359015,-88.87,-0.8332,14.17,v4_entry,v4_exit
3,1591070400000,1591113600000,10100.91,9464.29,1.0466021,-678.57,-6.4149,0.5,v4_entry,v4_exit
4,1595822400000,1597492800000,10252.95,11838.29,0.96493885,1516.97,15.3238,19.33,v4_entry,v4_exit
5,1603252800000,1607097600000,12187.17,18936.48,0.93619161,6301.16,55.1941,44.5,v4_entry,v4_exit
6,1607860800000,1607961600000,19324.53,19192.32,0.91629229,-142.32,-0.8032,1.17,v4_entry,v4_exit
7,1608134400000,1610827200000,20669.64,36361.84,0.84978206,13305.88,75.7081,31.17,v4_entry,v4_exit
8,1611028800000,1611086400000,36482.9,36267.15,0.84594656,-219.44,-0.7106,0.67,v4_entry,v4_exit
9,1612440000000,1614067200000,37334.36,49623.06,0.82077947,10043.49,32.7559,18.83,v4_entry,v4_exit
10,1614182400000,1614268800000,49839.42,50829.66,0.81623636,758.97,1.8646,1.0,v4_entry,v4_exit
11,1615291200000,1615348800000,54257.58,53446.94,0.76375069,-668.48,-1.6122,0.67,v4_entry,v4_exit
12,1615392000000,1616457600000,56351.34,54061.62,0.72351755,-1704.59,-4.1784,12.33,v4_entry,v4_exit
13,1617667200000,1617782400000,59153.64,57827.43,0.66044317,-922.24,-2.3592,1.33,v4_entry,v4_exit
14,1617840000000,1618560000000,55975.82,61390.32,0.68147153,3641.83,9.5414,8.33,v4_entry,v4_exit
15,1627516800000,1629878400000,40035.58,48125.32,1.04371114,8388.15,20.0622,27.33,v4_entry,v4_exit
16,1630526400000,1630713600000,48166.51,49978.0,1.04156804,1825.46,3.6365,2.17,v4_entry,v4_exit
17,1630972800000,1631016000000,52687.27,50923.37,0.986824,-1802.0,-3.4638,0.5,v4_entry,v4_exit
18,1633377600000,1635364800000,49399.75,59038.69,1.01604031,9727.44,19.3688,23.0,v4_entry,v4_exit
19,1636416000000,1636732800000,67552.83,63130.69,0.88691686,-3991.62,-6.6583,3.67,v4_entry,v4_exit
20,1636934400000,1637035200000,65545.32,60883.04,0.85321917,-4042.67,-7.2245,1.17,v4_entry,v4_exit
21,1648108800000,1649289600000,43094.98,43153.2,1.20395171,7.79,0.015,13.67,v4_entry,v4_exit
22,1673236800000,1675540800000,17203.88,23415.91,3.0163002,18663.84,35.9451,26.67,v4_entry,v4_exit
23,1675814400000,1675886400000,23251.72,22864.75,3.03395699,-1257.99,-1.7822,0.83,v4_entry,v4_exit
24,1676520000000,1676592000000,24741.49,23508.31,2.80045653,-3534.54,-5.0982,0.83,v4_entry,v4_exit
25,1676664000000,1677700800000,24534.3,23344.69,2.68012763,-3265.3,-4.9629,12.0,v4_entry,v4_exit
26,1678795200000,1680465600000,24752.95,27932.66,2.52461692,7947.76,12.7105,19.33,v4_entry,v4_exit
