days,total_return,CAGR,Sharpe,MDD,Exposure,Turnover,TradesEst,name,family,pos_fold_sharpe_frac,pos_fold_cagr_frac,worst_fold_sharpe,worst_fold_cagr,folds,gate_feature,pull_feature,hold
1095,1.9630973284998174,0.4363115041594401,1.539726934896941,-0.18692792978369277,0.12111517367458867,55.0,27.5,P_d1_dist_mean_21_ret_6_h29,B_plateau,0.6666666666666666,0.6666666666666666,-0.2929874088488349,-0.044308927769277306,6,d1_dist_mean_21,ret_6,29
1095,1.8283271687203397,0.41419690283920363,1.4755399911408449,-0.18105924480982427,0.10801340645947594,49.0,24.5,P_d1_dist_mean_25_ret_7_h29,B_plateau,0.6666666666666666,0.6666666666666666,-1.5004272749530059,-0.12726330733225766,6,d1_dist_mean_25,ret_7,29
1095,1.516831509926158,0.36024784805399523,1.4089245993974528,-0.14579282551513006,0.08683729433272395,60.0,30.0,P_d1_dist_mean_25_ret_7_h19,B_plateau,0.6666666666666666,0.6666666666666666,-0.729554244809674,-0.04559261983181473,6,d1_dist_mean_25,ret_7,19
1095,1.3701194823786698,0.333286290175115,1.3779926253519124,-0.16953888377512438,0.09186471663619744,51.0,25.5,P_d1_dist_mean_25_ret_7_h24,B_plateau,0.6666666666666666,0.6666666666666666,-1.3814678716283433,-0.08144491174184554,6,d1_dist_mean_25,ret_7,24
1095,1.380153990305152,0.33516524399590386,1.299175598965099,-0.18692792978369277,0.11227909811090798,51.0,25.5,P_d1_dist_mean_25_ret_6_h29,B_plateau,0.6666666666666666,0.6666666666666666,-1.5004272749530059,-0.12726330733225766,6,d1_dist_mean_25,ret_6,29
1095,1.5107885444105196,0.3591583143369732,1.2536904452708473,-0.278510667323154,0.1343692870201097,61.0,30.5,P_d1_dist_mean_17_ret_6_h29,B_plateau,0.6666666666666666,0.6666666666666666,-1.9812822803849326,-0.25098566254985266,6,d1_dist_mean_17,ret_6,29
1095,1.0843478438213285,0.2773896680683936,1.175405889288634,-0.16772832949854288,0.08973187081048141,62.0,31.0,P_d1_dist_mean_25_ret_6_h19,B_plateau,0.6666666666666666,0.6666666666666666,-0.5975573507840618,-0.03675460765814553,6,d1_dist_mean_25,ret_6,19
1095,1.0748094349693966,0.2754381546715121,1.1709774646641848,-0.19943550791819797,0.10268129189518586,57.0,28.5,P_d1_dist_mean_21_ret_6_h24,B_plateau,0.8333333333333334,0.6666666666666666,-0.09202424831161239,-0.008751287112100381,6,d1_dist_mean_21,ret_6,24
1095,1.307499121077068,0.3214391865462958,1.1507153767618161,-0.3345087927102752,0.1256855575868373,57.0,28.5,P_d1_dist_mean_21_ret_7_h29,B_plateau,0.6666666666666666,0.6666666666666666,-2.041436471180652,-0.20427835856179766,6,d1_dist_mean_21,ret_7,29
1095,1.0875607875363875,0.2780456804686886,1.14701721300073,-0.23734167329307854,0.09262644728823888,64.0,32.0,P_d1_dist_mean_21_ret_7_h19,B_plateau,0.6666666666666666,0.6666666666666666,-1.8214220963091998,-0.1249591502895867,6,d1_dist_mean_21,ret_7,19
1095,1.0392395549378057,0.2681075322817632,1.132643871379986,-0.16772832949854288,0.09262644728823888,64.0,32.0,P_d1_dist_mean_21_ret_6_h19,B_plateau,0.8333333333333334,0.6666666666666666,-0.49485649158838646,-0.08084142788263182,6,d1_dist_mean_21,ret_6,19
1095,1.1070698891233066,0.2820146271670785,1.1296637851803881,-0.3345298985991908,0.10648994515539305,59.0,29.5,P_d1_dist_mean_21_ret_7_h24,B_plateau,0.6666666666666666,0.6666666666666666,-2.0043831732976156,-0.15907656063448938,6,d1_dist_mean_21,ret_7,24
1095,0.8987601208303322,0.23829285563078306,1.0302984590878026,-0.13464373459000856,0.10070079219987813,70.0,35.0,P_d1_dist_mean_25_ret_5_h19,B_plateau,0.6666666666666666,0.6666666666666666,-0.42293125935202686,-0.029908610579797434,6,d1_dist_mean_25,ret_5,19
