feature,h,folds,mean_test_ic,med_test_ic,mean_test_edge,mean_test_net_trade_edge,weighted_test_mean,weighted_test_base,weighted_test_edge,weighted_test_net_trade_edge,mean_freq,total_count,fold_positive_edge_frac,channel
d1_trendvol_10,24,4,-0.009952573811652043,0.0064603909485886814,0.010329466018766813,0.015676962391140595,0.022934963234781905,0.012247083083340559,0.010687880151441348,0.020934963234781903,0.1984473325636305,1740,1.0,trend
h4_trendvol_24,24,4,-0.009196991528304124,0.006651137303152629,0.0021796447037639183,0.007527141076137701,0.016540259419020976,0.01064478680968782,0.005895472609333157,0.014540259419020977,0.18591703851634578,1630,0.75,trend
d1_pullback_20,24,4,-0.015785750228175896,0.005578768137062321,0.0014372312858257057,0.006784727658199487,0.016342583752016332,0.010458965761631413,0.005883617990384921,0.014342583752016332,0.22106411416565253,1938,0.75,trend
d1_draw_20,24,4,-0.015785750228175896,0.005578768137062321,0.0014372312858257057,0.006784727658199487,0.016342583752016332,0.010458965761631413,0.005883617990384921,0.014342583752016332,0.22106411416565253,1938,0.75,trend
d1_ret_10,24,4,-0.0288505711100231,-0.0383794885677902,-0.000946931314998537,0.0044005650573752456,0.015549175079867344,0.009425436521059299,0.006123738558808043,0.013549175079867342,0.1374962294962607,1205,0.5,trend
d1_trendvol_20,24,4,-0.009882099253205158,0.010751101432187712,-0.005687016858543536,-0.0003395204861697523,0.01543870359812412,0.01292966035308033,0.002509043245043789,0.013438703598124118,0.1963909778346387,1722,0.75,trend
d1_pullback_10,24,4,-0.009364881550536901,0.008295394260622813,0.003667375982477396,0.00901487235485118,0.015221197309120374,0.009894440094223734,0.005326757214896641,0.013221197309120377,0.20805821657773477,1824,0.75,trend
d1_draw_10,24,4,-0.009364881550536901,0.008295394260622813,0.003667375982477396,0.00901487235485118,0.015221197309120374,0.009894440094223734,0.005326757214896641,0.013221197309120377,0.20805821657773477,1824,0.75,trend
x_exhaustion,24,4,-0.022274567701258845,0.0023127021599305495,-0.00147034691020823,0.0038771494621655522,0.013274216233273168,0.010851574327862023,0.002422641905411145,0.011274216233273167,0.1799965675414235,1578,0.5,vol_range
h4_vol_24,24,4,-0.02245348493913871,-0.010231773781150054,0.009726444981822572,0.015073941354196355,0.013209609446308793,0.006890914829110108,0.006318694617198682,0.011209609446308789,0.1945590330868204,1705,1.0,vol_range
h4_rng_24,24,4,0.003412365066734327,0.03731245199455435,0.02233937207425832,0.027686868446632103,0.01232520390340104,0.00789792455865717,0.004427279344743871,0.010325203903401038,0.19887196929509782,1743,0.75,vol_range
