feature,h,folds,mean_test_ic,med_test_ic,mean_test_edge,mean_test_net_trade_edge,weighted_test_mean,weighted_test_base,weighted_test_edge,weighted_test_net_trade_edge,mean_freq,total_count,fold_positive_edge_frac,channel
d1_trendvol_10,24,4,-0.009952573811652043,0.0064603909485886814,0.010329466018766813,0.015676962391140595,0.022934963234781905,0.012247083083340559,0.010687880151441348,0.020934963234781903,0.1984473325636305,1740,1.0,price_trend_pullback
h4_trendvol_24,24,4,-0.009196991528304124,0.006651137303152629,0.0021796447037639183,0.007527141076137701,0.016540259419020976,0.01064478680968782,0.005895472609333157,0.014540259419020977,0.18591703851634578,1630,0.75,price_trend_pullback
d1_pullback_20,24,4,-0.015785750228175896,0.005578768137062321,0.0014372312858257057,0.006784727658199487,0.016342583752016332,0.010458965761631413,0.005883617990384921,0.014342583752016332,0.22106411416565253,1938,0.75,price_trend_pullback
d1_draw_20,24,4,-0.015785750228175896,0.005578768137062321,0.0014372312858257057,0.006784727658199487,0.016342583752016332,0.010458965761631413,0.005883617990384921,0.014342583752016332,0.22106411416565253,1938,0.75,price_trend_pullback
d1_ret_10,24,4,-0.0288505711100231,-0.0383794885677902,-0.000946931314998537,0.0044005650573752456,0.015549175079867344,0.009425436521059299,0.006123738558808043,0.013549175079867342,0.1374962294962607,1205,0.5,price_trend_pullback
d1_trendvol_20,24,4,-0.009882099253205158,0.010751101432187712,-0.005687016858543536,-0.0003395204861697523,0.01543870359812412,0.01292966035308033,0.002509043245043789,0.013438703598124118,0.1963909778346387,1722,0.75,price_trend_pullback
d1_pullback_10,24,4,-0.009364881550536901,0.008295394260622813,0.003667375982477396,0.00901487235485118,0.015221197309120374,0.009894440094223734,0.005326757214896641,0.013221197309120377,0.20805821657773477,1824,0.75,price_trend_pullback
d1_draw_10,24,4,-0.009364881550536901,0.008295394260622813,0.003667375982477396,0.00901487235485118,0.015221197309120374,0.009894440094223734,0.005326757214896641,0.013221197309120377,0.20805821657773477,1824,0.75,price_trend_pullback
h4_ret_48,24,4,-0.012518775219309634,0.0027279274678872045,-0.003997850501098646,0.0013496458712751389,0.013711679940172118,0.009218572652358575,0.004493107287813543,0.011711679940172116,0.14274191031921865,1251,0.5,price_trend_pullback
x_exhaustion,24,4,-0.022274567701258845,0.0023127021599305495,-0.00147034691020823,0.0038771494621655522,0.013274216233273168,0.010851574327862023,0.002422641905411145,0.011274216233273167,0.1799965675414235,1578,0.5,volatility_range
h4_ret_36,24,4,-0.01520878680114584,0.0025544473489707478,-0.0018494162936251862,0.0034980800787485986,0.013234678826123888,0.00917923654696866,0.004055442279155225,0.011234678826123886,0.1423913834888341,1248,0.5,price_trend_pullback
h4_vol_24,24,4,-0.02245348493913871,-0.010231773781150054,0.009726444981822572,0.015073941354196355,0.013209609446308793,0.006890914829110108,0.006318694617198682,0.011209609446308789,0.1945590330868204,1705,1.0,volatility_range
h4_trendvol_48,24,4,-0.028788848588918517,-0.022297575528058014,0.0007284875853229248,0.00607598395769671,0.012958304249622968,0.011167826868931542,0.0017904773806914265,0.010958304249622972,0.19081557296054755,1673,0.5,price_trend_pullback
h4_trendvol_12,24,4,-0.00948276857620615,-0.0189131126973057,0.0020129019068851374,0.007360398279258922,0.012533901081533768,0.009355901324129322,0.003177999757404444,0.01053390108153377,0.18878704194880438,1655,0.75,price_trend_pullback
h4_rng_24,24,4,0.003412365066734327,0.03731245199455435,0.02233937207425832,0.027686868446632103,0.01232520390340104,0.00789792455865717,0.004427279344743871,0.010325203903401038,0.19887196929509782,1743,0.75,volatility_range
d1_dist_high_60,24,4,-0.06466162161477995,-0.058337053649913435,-0.005151772260921527,0.00019572411145225626,0.012253893328150578,0.012802814865926092,-0.0005489215377755164,0.010253893328150578,0.2517440530054815,2207,0.25,price_trend_pullback
h4_draw_12,24,4,0.004093685172439326,0.008737762687757188,0.00735291644012763,0.012700412812501415,0.012136881561417887,0.007113506673490822,0.005023374887927067,0.010136881561417887,0.20900448299892865,1832,1.0,price_trend_pullback
d1_trendvol_10,12,4,-0.006105093895682475,-0.0010537857432045168,0.0057223157548499945,0.007404204270085685,0.011706601463980768,0.006100545382893749,0.005606056081087017,0.009706601463980767,0.1984473325636305,1740,1.0,price_trend_pullback
h4_vol_6,24,4,-0.008249804269895552,0.0004985324445771688,0.006333610104108218,0.011681106476482002,0.011688722709885493,0.00686883656746495,0.004819886142420541,0.009688722709885491,0.1826892272807647,1601,1.0,volatility_range
