segment,block,median_sharpe,p05_sharpe,p95_sharpe,median_cagr,p_sharpe_gt_0,median_mdd
dev,5,1.8653984352707202,1.0565058964105154,2.5591349864524893,0.7396376506805807,0.99875,-0.2338156253847667
dev,10,1.8582279219261224,0.9846888894399323,2.6130197355300666,0.7412876477563362,1.0,-0.2325015793409967
dev,20,1.801795441158718,0.9883545347553705,2.6158376268575765,0.7069006298862996,0.99875,-0.2418715568501934
dev,40,1.798171037046401,0.9740020312112954,2.6254015882418127,0.7097190692960192,0.99875,-0.24108770087921966
hold,5,1.8630433939862414,0.855025459435973,2.8706986639208614,0.5289389957210013,0.9975,-0.1495243255383507
hold,10,1.8615656948095922,0.8640484937811599,2.8837313003223612,0.525504936365375,1.0,-0.13206625985746956
hold,20,1.901756470295274,0.8559182817811195,2.944922899385145,0.5284405792393678,1.0,-0.12254918528402187
hold,40,1.990008114064063,0.8417976467698518,3.0141828603714287,0.5718239493502955,1.0,-0.11288191502600753
full2020,5,1.853351373778077,1.2280231565035584,2.4463905872946876,0.6749481551831836,1.0,-0.23876041734614284
full2020,10,1.8416319659908338,1.1838707683787213,2.4501788511836122,0.6729542663391577,1.0,-0.23882891052205357
full2020,20,1.828138243739215,1.117439124905491,2.450449700680583,0.6646494862801271,1.0,-0.23515960521614937
full2020,40,1.8347181984290315,1.1804244415632394,2.434182377956809,0.6714405922795673,1.0,-0.23402648742880594
