segment,comparator,block,median_delta_sharpe,p_delta_sharpe_gt_0,median_delta_cagr,p_delta_cagr_gt_0,median_delta_mdd,p_delta_mdd_gt_0
hold,new_base,10,0.05816047001484925,0.7375,0.006470031228261841,0.565,0.004104757765890532,0.72875
hold,new_base,20,0.07603948608910904,0.78875,0.0113695813800333,0.61125,0.004186588144252379,0.7375
hold,new_base,40,0.07734005592590487,0.81375,0.011231097581011817,0.63125,0.007084923496607776,0.755
hold,root_cause_old,10,0.43225626815136575,0.95,0.14632842651709488,0.9275,0.03514092784307771,0.8675
hold,root_cause_old,20,0.4849931536990378,0.98125,0.16228484156924816,0.9575,0.0448601735405898,0.90375
hold,root_cause_old,40,0.46779364819239644,0.97875,0.16218521986416856,0.9525,0.04724896727787514,0.90875
hold,fresh_start_old,10,1.707670457723447,1.0,0.5233211134476701,1.0,0.16947610644770017,0.99625
hold,fresh_start_old,20,1.7304265839857185,1.0,0.5245403579148206,1.0,0.1951645822290789,0.995
hold,fresh_start_old,40,1.744534349845946,1.0,0.5613850738623508,1.0,0.2132889840537765,1.0
hold,h4d1_old,10,1.6642351239305062,1.0,0.5162348047229506,1.0,0.15042472589041378,0.99
hold,h4d1_old,20,1.7219189140887057,1.0,0.5241251303212511,1.0,0.17112151404862785,0.99375
hold,h4d1_old,40,1.745044977956098,1.0,0.5646140792274972,1.0,0.18649565309822486,0.9975
full2020,new_base,10,0.1457271735547906,0.91375,0.030324908804228334,0.7175,0.02864796689405441,0.82875
full2020,new_base,20,0.14547675447365072,0.93,0.03417633234796291,0.7375,0.038452371112561556,0.84875
full2020,new_base,40,0.1403145065627346,0.9325,0.028654509988580434,0.7375,0.04612845568482149,0.85375
full2020,root_cause_old,10,0.2738989758755076,0.97625,0.10477603283332493,0.935,0.040556536169771396,0.84625
full2020,root_cause_old,20,0.2873086272197398,0.9875,0.1082641432988638,0.95,0.053855804245356576,0.9025
full2020,root_cause_old,40,0.28690131834317734,0.98625,0.10462110811296377,0.95,0.06418361734765693,0.8975
full2020,fresh_start_old,10,0.7075491227613774,0.995,0.3407555624059727,0.99875,0.08711607710356256,0.85875
full2020,fresh_start_old,20,0.7342654568571597,1.0,0.3655561376820442,1.0,0.10086681048768092,0.89125
full2020,fresh_start_old,40,0.7164421651017451,0.99875,0.362422070111148,1.0,0.09948525466555769,0.87625
full2020,h4d1_old,10,0.6563611622453747,0.99625,0.27943940841749704,0.99,0.11008921232768015,0.9075
full2020,h4d1_old,20,0.6909791395465906,0.99875,0.3085456811070454,0.9975,0.11262459721416107,0.90375
full2020,h4d1_old,40,0.690911450490438,1.0,0.29255463752653454,0.995,0.10717561945031923,0.8975
dev,new_base,10,0.1526732423610666,0.895,0.03269571808015148,0.67625,0.0334654799604166,0.83
dev,new_base,20,0.15603217656231994,0.85875,0.0381085191453967,0.675,0.04421335822552852,0.87
dev,new_base,40,0.1400911722824325,0.87125,0.030939488666247628,0.67375,0.047378832449502084,0.8475
dev,root_cause_old,10,0.1985866494171996,0.93,0.06710491872717339,0.82,0.028155159426586418,0.77625
dev,root_cause_old,20,0.20559002375981028,0.9075,0.06964521564124315,0.8,0.04407365685012227,0.855
dev,root_cause_old,40,0.18502494638893474,0.89375,0.05821081391612881,0.78625,0.05172206323191819,0.85125
dev,fresh_start_old,10,0.251701540760332,0.8175,0.20512186269528632,0.90625,0.008460516363505477,0.55125
dev,fresh_start_old,20,0.2346677730348734,0.8075,0.19076578308885506,0.9175,0.008472440744014598,0.54375
dev,fresh_start_old,40,0.23359917486913695,0.83375,0.19853340789521745,0.92375,-0.012210175105535626,0.425
dev,h4d1_old,10,0.25885065687115855,0.7825,0.09150268989771215,0.68,0.06019471801741777,0.77375
dev,h4d1_old,20,0.264411409113525,0.805,0.09345457848334426,0.705,0.06185980163425392,0.77625
dev,h4d1_old,40,0.2809674593789486,0.77875,0.11036087268472983,0.7125,0.04110917714488249,0.7
