feature,tail,q_on,q_off,mode,sharpe,cagr,mdd,equity_final,trades,exposure,pos_years,min_year_cagr
d1_range_compress_10,low,0.3,0.4,expanding,1.4318062595503298,0.4614343689005933,-0.39301653370370515,4.560811005215645,49,0.30119794637763836,4,0.15347738175509695
d1_range_compress_10,low,0.3,0.4,tr1095,1.3875536406017235,0.44432622793692933,-0.39301653370370515,4.350992498850673,48,0.3087278950370793,4,0.15347738175509695
d1_atrn_20,high,0.6,0.5,expanding,1.295294187781515,0.7172655918129702,-0.501312824131097,8.694462017105755,14,0.41289218482601253,4,0.03175280940011205
d1_atrn_20,high,0.6,0.5,tr1095,1.295294187781515,0.7172655918129702,-0.501312824131097,8.694462017105755,14,0.41289218482601253,4,0.03175280940011205
d1_range_compress_20,high,0.7,0.5,expanding,1.1387682831169754,0.5227201033792033,-0.46585284205997024,5.375229291614768,20,0.3737592698231603,4,0.3688679846898921
d1_range_compress_20,high,0.7,0.5,tr1095,1.1387682831169754,0.5227201033792033,-0.46585284205997024,5.375229291614768,20,0.3737592698231603,4,0.3688679846898921
d1_vol_20,high,0.7,0.5,expanding,1.0075633710294063,0.46117099518779114,-0.5342247978430847,4.557524546002061,14,0.3477467199087279,4,0.02631244935211674
d1_vol_20,high,0.7,0.5,tr1095,1.0075633710294063,0.46117099518779114,-0.5342247978430847,4.557524546002061,14,0.3477467199087279,4,0.02631244935211674
d1_range_compress_20,high,0.8,0.6,expanding,0.9913741801118818,0.35109415982878023,-0.31521036456563467,3.3318299974386485,16,0.245750142612664,4,0.06638142367107758
d1_range_compress_20,high,0.8,0.6,tr1095,0.9913741801118818,0.35109415982878023,-0.31521036456563467,3.3318299974386485,16,0.245750142612664,4,0.06638142367107758
d1_ma_gap_40,high,0.6,0.5,expanding,1.8155124290817208,0.9388406647077014,-0.3368686230544057,14.126587758087503,21,0.43799201369081575,3,-0.2577600855053993
d1_ma_gap_40,high,0.6,0.5,tr1095,1.7974454038296386,0.9257488543802159,-0.3368686230544057,13.748924511147594,21,0.44278379920136907,3,-0.2577600855053993
d1_ma_gap_60,high,0.6,0.5,expanding,1.7940139534859787,0.9717953011132292,-0.26555980416923863,15.111680447275207,11,0.45236737022247575,3,-0.079991935795647
d1_ma_gap_60,high,0.6,0.5,tr1095,1.7931724609622113,0.9710859082651639,-0.26555980416923863,15.089947739288414,11,0.45305191100969766,3,-0.079991935795647
d1_ma_gap_40,high,0.7,0.5,expanding,1.7013096253478692,0.8000007473385959,-0.27821806392199544,10.494802222203115,13,0.3893896177980605,3,-0.10119522703690198
d1_trendq_40,high,0.7,0.6,expanding,1.6965437653328959,0.7837636574899951,-0.2655598041692382,10.121259455290833,14,0.356531660011409,3,0.0
d1_trendq_40,high,0.7,0.6,tr1095,1.6965437653328959,0.7837636574899951,-0.2655598041692382,10.121259455290833,14,0.356531660011409,3,0.0
d1_ma_gap_40,high,0.7,0.5,tr1095,1.6851211491204283,0.789779214528296,-0.27821806392199544,10.258467478264059,13,0.3934968625213919,3,-0.10119522703690198
d1_range_pos_40,high,0.6,0.5,tr1095,1.6782543136869883,0.8470451235203764,-0.43731860929365063,11.635590430221454,20,0.47290359383913294,3,-0.3483213934669618
d1_range_pos_40,high,0.6,0.5,expanding,1.6276535338189773,0.8102006200253407,-0.43731860929365063,10.734683255047594,22,0.479749001711352,3,-0.3483213934669618
d1_break_high_40,high,0.6,0.5,tr1095,1.57659406479688,0.7552529961975114,-0.42649414207661096,9.489588882412027,25,0.5365658870507701,3,-0.3293856452918571
d1_break_high_40,high,0.7,0.6,expanding,1.5726119576192692,0.6661025814450103,-0.3937064769069114,7.703813929802784,30,0.45236737022247575,3,-0.27818035428684484
d1_range_pos_40,high,0.7,0.5,tr1095,1.5644510458581695,0.7439377060495438,-0.45750250704023354,9.247272557670707,19,0.44894466628636626,3,-0.37171342331042645
d1_range_pos_40,high,0.7,0.5,expanding,1.5608060442246736,0.7416633337127314,-0.45750250704023354,9.199132661000146,19,0.45236737022247575,3,-0.37171342331042645
d1_break_high_40,high,0.7,0.6,tr1095,1.5374356572612418,0.6429331762492121,-0.3937064769069114,7.28418905441799,31,0.44757558471192244,3,-0.27818035428684484
d1_dist_high_40,high,0.7,0.6,expanding,1.5329265507677483,0.648686412506092,-0.39873866338326414,7.386745786095654,32,0.4536223616657159,3,-0.2594208984944115
d1_dist_high_40,high,0.7,0.6,tr1095,1.5208957651287627,0.6402769304394893,-0.39873866338326414,7.237201071313185,32,0.4501996577296064,3,-0.2594208984944115
d1_range_pos_40,high,0.7,0.6,expanding,1.5142176885828744,0.6764543956804825,-0.37344437752491766,7.897044470908896,26,0.4188248716486024,3,-0.283875046108387
d1_range_pos_60,high,0.6,0.5,expanding,1.513712699290655,0.7240779458232476,-0.32729365707272384,8.83323211792731,15,0.47769537934968626,3,-0.18354927860936077
d1_range_pos_60,high,0.7,0.6,expanding,1.5101082314913579,0.684895251651467,-0.3409295793079905,8.057275958981938,18,0.4195094124358243,3,-0.06503076973537614
