macro_feature,macro_mode,macro_q_on,macro_q_off,micro_feature,micro_mode,micro_q_on,micro_q_off,use_macro_exit,dev_sharpe,hold_sharpe,dev_trades,hold_trades
d1_ret_60,expanding,0.5,0.5,h4_trendq_84,expanding,0.6,0.5,False,1.6665008933474001,1.8920371051314127,53,23
d1_trendq_60,expanding,0.5,0.5,h4_trendq_84,expanding,0.6,0.5,False,1.563576847464252,1.6679106848269238,53,24
d1_ret_60,expanding,0.5,0.5,h4_trendq_84,tr1095,0.7,0.6,False,1.5992590154100739,1.6082959157875534,53,21
d1_ret_60,tr1095,0.5,0.5,h4_trendq_84,expanding,0.6,0.5,False,1.6665008933474001,1.5870032710791597,53,25
d1_trendq_60,tr1095,0.5,0.5,h4_trendq_84,expanding,0.6,0.5,False,1.563576847464252,1.5870032710791597,53,25
d1_trendq_60,tr1095,0.5,0.5,h4_trendq_84,expanding,0.6,0.5,True,1.5153807358493927,1.5545833300314682,57,28
d1_ret_60,expanding,0.5,0.5,h4_trendq_84,tr1095,0.6,0.5,False,1.6746027193495308,1.4875928085161587,53,28
d1_ret_60,tr1095,0.5,0.5,h4_trendq_84,expanding,0.6,0.5,True,1.622380111436684,1.4837116509558295,58,28
d1_ret_60,expanding,0.5,0.5,h4_ret_168,tr1095,0.7,0.5,False,1.4623199923513253,1.483211002637936,20,6
d1_ret_60,expanding,0.5,0.5,h4_ret_84,tr1095,0.6,0.5,False,1.430150848419643,1.4765768516720679,52,24
d1_ret_60,tr1095,0.6,0.6,h4_trendq_84,expanding,0.6,0.5,True,0.993716868732034,1.4677112568068047,54,29
d1_ret_60,expanding,0.5,0.5,h4_trendq_84,tr1095,0.7,0.5,False,1.8663357453429055,1.4588468841224775,34,17
