entry_idx,exit_idx,entry_dt,exit_dt,entry_px,exit_px,gross_ret,net_ret,hold_days
5342,5378,2020-01-27 04:00:00,2020-02-02 04:00:00,8670.11,9266.79,0.06882034945346716,0.06668377757490962,6.0
5400,5484,2020-02-05 20:00:00,2020-02-20 00:00:00,9655.93,9594.65,-0.006346359180317229,-0.008332672808315844,14.166666666666666
6103,6106,2020-06-02 04:00:00,2020-06-02 16:00:00,10096.87,9468.08,-0.06227573495548633,-0.06415024576131023,0.5
6433,6549,2020-07-27 04:00:00,2020-08-15 12:00:00,10248.85,11843.03,0.155547207735502,0.15323726886723876,19.333333333333332
6949,7216,2020-10-21 04:00:00,2020-12-04 16:00:00,12182.3,18944.06,0.5550478973592838,0.5519393566124626,44.5
7269,7276,2020-12-13 12:00:00,2020-12-14 16:00:00,19316.8,19200.0,-0.006046550153234409,-0.008033463099478055,1.1666666666666667
7288,7475,2020-12-16 16:00:00,2021-01-16 20:00:00,20661.37,36376.39,0.7605991277441913,0.7570796900878305,31.166666666666668
7489,7493,2021-01-19 04:00:00,2021-01-19 20:00:00,36468.31,36281.66,-0.0051181422994373005,-0.007106911132980787,0.6666666666666666
7587,7700,2021-02-04 12:00:00,2021-02-23 08:00:00,37319.43,49642.92,0.3302164582899578,0.3275573555898361,18.833333333333332
7708,7714,2021-02-24 16:00:00,2021-02-25 16:00:00,49819.49,50850.0,0.020684876541289476,0.01864452747308354,1.0
7785,7789,2021-03-09 12:00:00,2021-03-10 04:00:00,54235.88,53468.33,-0.014152070548131501,-0.016122780559105765,0.6666666666666666
7792,7866,2021-03-10 16:00:00,2021-03-23 00:00:00,56328.81,54083.25,-0.03986521284578881,-0.041784522285310044,12.333333333333334
7950,7958,2021-04-06 00:00:00,2021-04-07 08:00:00,59129.99,57850.57,-0.02163741275789155,-0.02359315956978858,1.3333333333333333
7962,8012,2021-04-08 00:00:00,2021-04-16 08:00:00,55953.44,61414.88,0.09760686742405822,0.09541275129607762,8.333333333333334
8634,8798,2021-07-29 00:00:00,2021-08-25 08:00:00,40019.57,48144.58,0.20302591956885108,0.20062107075563307,27.333333333333332
8843,8856,2021-09-01 20:00:00,2021-09-04 00:00:00,48147.25,49998.0,0.03843937088826466,0.03636353058585917,2.1666666666666665
