period,sharpe50,cagr50,mdd50,trades,exposure
Discovery_2020,2.390478,1.786252,-0.269626,15,0.401639
Discovery_2021,0.283433,0.033454,-0.325973,14,0.210959
Discovery_2022,0.445621,0.096114,-0.266111,11,0.164384
Discovery_All,1.143471,0.466694,-0.37523,40,0.259124
Holdout_2023,1.5532,0.501754,-0.168737,9,0.356164
Holdout_2024,1.509903,0.496681,-0.187733,6,0.218579
Holdout_All,1.531103,0.498381,-0.187733,15,0.287278
Reserve_2025,-0.148718,-0.044104,-0.33027,14,0.161644
Reserve_2026YTD,2.301018,1.355413,-0.082563,3,0.337838
Reserve_All,0.557721,0.111044,-0.33027,17,0.191344
PreReserve_2020_2024,1.25361,0.478971,-0.37523,55,0.270389
Live_2020_end,1.146727,0.399141,-0.37523,72,0.255075
