config_id,bucket,timeframe,family,feature,mode,tail,threshold_spec,threshold_value,params,formula,bars,days,cagr,sharpe_daily,max_drawdown,trade_count,exposure,total_return,positive_fold_share,worst_fold_cagr,isolated_quarter_flag,largest_positive_fold_share,stage1_pass_gate,cost_side
native_h4|posfrac_3|high|abs|0.550,native_h4,4h,directional_persistence,posfrac_3,absolute,high,0.550,0.55,{'lookback': 3},rolling fraction of positive close-to-close returns over 3 bars,7661,1277,-0.27394517182296774,-0.38977347686717734,-0.8882758593193947,1072,0.5261715180785799,-0.6734750669584271,0.2857142857142857,-0.8111209141186153,0,0.4038846511030815,0,0.001
native_h4|posfrac_3|high|abs|0.650,native_h4,4h,directional_persistence,posfrac_3,absolute,high,0.650,0.65,{'lookback': 3},rolling fraction of positive close-to-close returns over 3 bars,7661,1277,-0.27394517182296774,-0.38977347686717734,-0.8882758593193947,1072,0.5261715180785799,-0.6734750669584271,0.2857142857142857,-0.8111209141186153,0,0.4038846511030815,0,0.001
native_h4|posfrac_3|high|abs|0.750,native_h4,4h,directional_persistence,posfrac_3,absolute,high,0.750,0.75,{'lookback': 3},rolling fraction of positive close-to-close returns over 3 bars,7661,1277,-0.16206677547853754,-0.6773894954373344,-0.617918357122099,460,0.10847147891920114,-0.4610828314489279,0.21428571428571427,-0.6258799384733658,0,0.521255961609413,0,0.001
native_h4|posfrac_3|low|abs|0.250,native_h4,4h,directional_persistence,posfrac_3,absolute,low,0.250,0.25,{'lookback': 3},rolling fraction of positive close-to-close returns over 3 bars,7661,1277,-0.2574744748105181,-1.0738564923863256,-0.7309991001029732,392,0.08850019579689336,-0.6468358841939771,0.2857142857142857,-0.7540670038954409,0,0.41816564698462305,0,0.001
native_h4|posfrac_3|low|abs|0.350,native_h4,4h,directional_persistence,posfrac_3,absolute,low,0.350,0.35,{'lookback': 3},rolling fraction of positive close-to-close returns over 3 bars,7661,1277,-0.3895538377944079,-0.7489212228974965,-0.8471955838597373,1072,0.4738284819214202,-0.8219373931710916,0.5,-0.9712007806221715,0,0.3916174770274801,0,0.001
native_h4|posfrac_3|low|abs|0.450,native_h4,4h,directional_persistence,posfrac_3,absolute,low,0.450,0.45,{'lookback': 3},rolling fraction of positive close-to-close returns over 3 bars,7661,1277,-0.3895538377944079,-0.7489212228974965,-0.8471955838597373,1072,0.4738284819214202,-0.8219373931710916,0.5,-0.9712007806221715,0,0.3916174770274801,0,0.001
native_h4|posfrac_3|high|q|0.60,native_h4,4h,directional_persistence,posfrac_3,train_quantile,high,q0.60,0.6,{'lookback': 3},rolling fraction of positive close-to-close returns over 3 bars,7661,1277,-0.27394517182296774,-0.38977347686717734,-0.8882758593193947,1072,0.5261715180785799,-0.6734750669584271,0.2857142857142857,-0.8111209141186153,0,0.4038846511030815,0,0.001
native_h4|posfrac_3|high|q|0.70,native_h4,4h,directional_persistence,posfrac_3,train_quantile,high,q0.70,0.7,{'lookback': 3},rolling fraction of positive close-to-close returns over 3 bars,7661,1277,-0.27394517182296774,-0.38977347686717734,-0.8882758593193947,1072,0.5261715180785799,-0.6734750669584271,0.2857142857142857,-0.8111209141186153,0,0.4038846511030815,0,0.001
native_h4|posfrac_3|high|q|0.80,native_h4,4h,directional_persistence,posfrac_3,train_quantile,high,q0.80,0.8,{'lookback': 3},rolling fraction of positive close-to-close returns over 3 bars,7661,1277,-0.27394517182296774,-0.38977347686717734,-0.8882758593193947,1072,0.5261715180785799,-0.6734750669584271,0.2857142857142857,-0.8111209141186153,0,0.4038846511030815,0,0.001
native_h4|posfrac_3|low|q|0.40,native_h4,4h,directional_persistence,posfrac_3,train_quantile,low,q0.40,0.4,{'lookback': 3},rolling fraction of positive close-to-close returns over 3 bars,7661,1277,-0.3895538377944079,-0.7489212228974965,-0.8471955838597373,1072,0.4738284819214202,-0.8219373931710916,0.5,-0.9712007806221715,0,0.3916174770274801,0,0.001
