strategy,sharpe,cagr_pct,mdd_pct,calmar,trades,win_rate_pct,avg_win_pct,avg_loss_pct,exposure_pct
E5_ema21D1,1.4005,61.6,39.97,1.541,188,42.0,10.07,-3.24,44.5
E5_ema21D1_bull_2020_2021,2.2387,180.98,24.97,,54,,,,
E5_ema21D1_bear_2022,-1.1781,-25.67,32.59,,19,,,,
E5_ema21D1_recovery_2023_2024,1.4952,61.79,31.63,,63,,,,
E5_ema21D1_recent_2025_2026,0.0978,-0.15,15.57,,26,,,,
Gen1_V6,1.043,45.31,59.72,0.759,243,25.5,13.8,-2.08,56.1
Gen1_V6_bull_2020_2021,2.4496,232.03,32.36,,45,,,,
Gen1_V6_bear_2022,-1.4866,-43.57,45.3,,37,,,,
Gen1_V6_recovery_2023_2024,1.3452,59.77,50.76,,71,,,,
Gen1_V6_recent_2025_2026,-1.1206,-26.96,31.66,,54,,,,
