config,mechanism,lookback,rp_threshold,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_bars_held,exposure_pct,exit_trail,exit_trend,exit_and_gate,exit_rangepos,supp_exits,selectivity_pct,d_sharpe,d_mdd
baseline,baseline,,,1.2965,57.77,51.32,221,41.2,36.0,43.0,200,21,0,0,0,,0.0,0.0
AND_L=42_rp=0.15,and_gate,42.0,0.15,1.3226,59.19,50.7,230,40.0,34.3,42.6,192,18,20,0,20,95.0,0.026100000000000012,-0.6199999999999974
AND_L=42_rp=0.2,and_gate,42.0,0.2,1.3439,60.42,48.74,238,39.1,33.0,42.4,191,16,31,0,31,90.3,0.04740000000000011,-2.5799999999999983
AND_L=42_rp=0.25,and_gate,42.0,0.25,1.3252,59.05,48.74,243,38.3,32.2,42.2,188,14,41,0,41,90.2,0.028699999999999948,-2.5799999999999983
AND_L=42_rp=0.3,and_gate,42.0,0.3,1.2916,56.3,54.47,248,37.9,31.4,42.0,188,12,48,0,48,89.6,-0.004899999999999904,3.1499999999999986
AND_L=63_rp=0.15,and_gate,63.0,0.15,1.3512,61.15,49.09,223,40.8,35.5,42.7,192,18,13,0,13,100.0,0.05469999999999997,-2.229999999999997
AND_L=63_rp=0.2,and_gate,63.0,0.2,1.3264,59.35,47.57,229,39.7,34.4,42.5,191,15,23,0,23,91.3,0.029900000000000038,-3.75
AND_L=63_rp=0.25,and_gate,63.0,0.25,1.3147,58.49,48.74,236,39.4,33.2,42.3,189,13,34,0,34,88.2,0.018199999999999994,-2.5799999999999983
AND_L=63_rp=0.3,and_gate,63.0,0.3,1.2919,56.46,54.47,246,38.2,31.7,42.1,189,12,45,0,45,86.7,-0.0045999999999999375,3.1499999999999986
AND_L=84_rp=0.15,and_gate,84.0,0.15,1.3219,59.26,47.77,221,41.2,35.8,42.7,196,18,7,0,7,100.0,0.02540000000000009,-3.549999999999997
AND_L=84_rp=0.2,and_gate,84.0,0.2,1.3534,61.24,44.24,223,41.7,35.5,42.7,194,17,12,0,12,83.3,0.05689999999999995,-7.079999999999998
AND_L=84_rp=0.25,and_gate,84.0,0.25,1.3276,59.44,45.89,231,40.3,34.1,42.5,193,15,23,0,23,91.3,0.031099999999999905,-5.43
AND_L=84_rp=0.3,and_gate,84.0,0.3,1.2902,56.66,48.21,241,39.0,32.5,42.3,191,14,36,0,36,88.9,-0.006299999999999972,-3.1099999999999994
AND_L=105_rp=0.15,and_gate,105.0,0.15,1.3025,58.07,51.32,221,41.2,35.9,42.8,198,19,4,0,4,100.0,0.006000000000000005,0.0
AND_L=105_rp=0.2,and_gate,105.0,0.2,1.2989,57.79,52.42,222,41.0,35.7,42.8,196,19,7,0,7,100.0,0.0023999999999999577,1.1000000000000014
AND_L=105_rp=0.25,and_gate,105.0,0.25,1.3158,58.81,48.91,227,40.5,34.8,42.6,195,18,14,0,14,92.9,0.019300000000000095,-2.4100000000000037
AND_L=105_rp=0.3,and_gate,105.0,0.3,1.2888,56.71,49.36,234,39.7,33.6,42.4,193,14,27,0,27,88.9,-0.00770000000000004,-1.9600000000000009
AND_L=126_rp=0.15,and_gate,126.0,0.15,1.2938,57.51,51.32,221,41.2,35.9,42.8,199,19,3,0,3,100.0,-0.0026999999999999247,0.0
AND_L=126_rp=0.2,and_gate,126.0,0.2,1.2954,57.61,51.32,221,41.2,35.9,42.8,199,19,3,0,3,100.0,-0.0010999999999998789,0.0
AND_L=126_rp=0.25,and_gate,126.0,0.25,1.2817,56.63,54.83,226,40.3,35.0,42.7,197,18,11,0,11,100.0,-0.014799999999999924,3.509999999999998
AND_L=126_rp=0.3,and_gate,126.0,0.3,1.2487,54.45,54.78,230,39.6,34.3,42.6,197,16,17,0,17,100.0,-0.047800000000000065,3.460000000000001
AND_L=168_rp=0.15,and_gate,168.0,0.15,1.2842,56.91,51.32,221,41.2,36.0,42.9,200,20,1,0,1,100.0,-0.012299999999999978,0.0
AND_L=168_rp=0.2,and_gate,168.0,0.2,1.2847,56.94,51.32,221,41.2,36.0,42.9,200,19,2,0,2,100.0,-0.011800000000000033,0.0
AND_L=168_rp=0.25,and_gate,168.0,0.25,1.2763,56.38,52.75,225,40.4,35.2,42.8,200,18,7,0,7,100.0,-0.020199999999999996,1.4299999999999997
AND_L=168_rp=0.3,and_gate,168.0,0.3,1.2787,56.53,52.7,225,40.4,35.2,42.7,200,16,9,0,9,100.0,-0.017800000000000038,1.3800000000000026
RP_L=42_rp=0.15,rp_only,42.0,0.15,1.291,56.51,49.72,258,36.4,30.0,41.7,179,13,0,66,66,93.9,-0.00550000000000006,-1.6000000000000014
RP_L=42_rp=0.2,rp_only,42.0,0.2,1.277,55.14,47.26,289,33.2,26.4,41.1,170,13,0,106,106,91.5,-0.019500000000000073,-4.060000000000002
RP_L=42_rp=0.25,rp_only,42.0,0.25,1.1902,49.57,49.94,331,31.1,22.6,40.4,164,11,0,156,156,89.7,-0.10630000000000006,-1.3800000000000026
RP_L=42_rp=0.3,rp_only,42.0,0.3,1.0998,43.57,56.09,377,29.2,19.5,39.7,157,9,0,211,211,88.2,-0.19669999999999987,4.770000000000003
RP_L=63_rp=0.15,rp_only,63.0,0.15,1.3274,59.32,48.05,235,38.3,33.3,42.2,189,17,0,29,29,100.0,0.030899999999999928,-3.270000000000003
RP_L=63_rp=0.2,rp_only,63.0,0.2,1.3183,58.41,47.76,251,36.3,30.9,41.8,181,14,0,56,56,94.6,0.02180000000000004,-3.5600000000000023
RP_L=63_rp=0.25,rp_only,63.0,0.25,1.2716,55.2,49.09,280,33.9,27.4,41.3,179,11,0,90,90,92.2,-0.024899999999999922,-2.229999999999997
RP_L=63_rp=0.3,rp_only,63.0,0.3,1.1454,46.78,56.62,324,30.6,23.3,40.7,176,9,0,139,139,91.4,-0.1511,5.299999999999997
RP_L=84_rp=0.15,rp_only,84.0,0.15,1.3129,58.55,47.77,222,40.5,35.6,42.6,195,18,0,9,9,100.0,0.01639999999999997,-3.549999999999997
RP_L=84_rp=0.2,rp_only,84.0,0.2,1.339,60.14,44.24,227,40.5,34.7,42.5,193,17,0,17,17,88.2,0.04249999999999998,-7.079999999999998
RP_L=84_rp=0.25,rp_only,84.0,0.25,1.3427,60.21,44.95,240,38.8,32.6,42.2,191,14,0,35,35,91.4,0.04620000000000002,-6.369999999999997
RP_L=84_rp=0.3,rp_only,84.0,0.3,1.2559,54.16,48.65,267,34.8,29.0,41.8,186,13,0,68,68,94.1,-0.04059999999999997,-2.6700000000000017
RP_L=105_rp=0.15,rp_only,105.0,0.15,1.3199,59.16,48.41,221,41.2,35.9,42.8,197,19,0,5,5,100.0,0.023400000000000087,-2.9100000000000037
RP_L=105_rp=0.2,rp_only,105.0,0.2,1.3133,58.67,49.23,223,40.8,35.5,42.7,195,19,0,9,9,100.0,0.016799999999999926,-2.0900000000000034
RP_L=105_rp=0.25,rp_only,105.0,0.25,1.3294,59.64,45.43,230,40.0,34.3,42.5,194,18,0,18,18,94.4,0.03289999999999993,-5.890000000000001
RP_L=105_rp=0.3,rp_only,105.0,0.3,1.297,57.13,46.0,241,38.6,32.5,42.3,190,14,0,37,37,91.9,0.0004999999999999449,-5.32
RP_L=126_rp=0.15,rp_only,126.0,0.15,1.2938,57.51,51.32,221,41.2,35.9,42.8,199,19,0,3,3,100.0,-0.0026999999999999247,0.0
