part,config,aggregation,rp_threshold,tq_threshold,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_bars_held,avg_win,avg_loss,exposure_pct,exit_trail,exit_trend,exit_supp,selectivity,d_sharpe,d_cagr,d_mdd
-,baseline,,,,1.2965,57.77,51.32,221,41.2,36.0,10.88,-3.65,43.0,200,21,0,,0.0,0.0,0.0
A,L84_thr=0.15,,0.15,,1.3129,58.55,47.77,222,40.5,35.6,11.0,-3.57,42.6,195,18,9,100.0,0.01639999999999997,0.779999999999994,-3.549999999999997
A,L84_thr=0.2,,0.2,,1.339,60.14,44.24,227,40.5,34.7,10.83,-3.47,42.5,193,17,17,88.2,0.04249999999999998,2.3699999999999974,-7.079999999999998
A,L84_thr=0.25,,0.25,,1.3427,60.21,44.95,240,38.8,32.6,10.73,-3.2,42.2,191,14,35,91.4,0.04620000000000002,2.4399999999999977,-6.369999999999997
A,L84_thr=0.3,,0.3,,1.2559,54.16,48.65,267,34.8,29.0,10.69,-2.87,41.8,186,13,68,94.1,-0.04059999999999997,-3.6100000000000065,-2.6700000000000017
A,L84_thr=0.35,,0.35,,1.2729,54.99,47.34,289,33.2,26.6,10.39,-2.59,41.4,182,12,95,91.6,-0.023600000000000065,-2.780000000000001,-3.979999999999997
A,min_thr=0.15,min,0.15,,1.3022,57.15,49.72,258,36.4,30.0,10.39,-2.89,41.7,178,13,67,94.0,0.005700000000000038,-0.6200000000000045,-1.6000000000000014
A,min_thr=0.2,min,0.2,,1.2775,55.17,47.26,289,33.2,26.4,10.08,-2.48,41.1,170,12,107,91.6,-0.018999999999999906,-2.6000000000000014,-4.060000000000002
A,min_thr=0.25,min,0.25,,1.1779,48.8,49.0,334,30.8,22.4,9.45,-2.25,40.4,164,9,161,90.1,-0.11860000000000004,-8.970000000000006,-2.3200000000000003
A,min_thr=0.3,min,0.3,,1.0232,39.14,55.14,389,28.3,18.8,8.71,-2.02,39.5,157,7,225,88.9,-0.2732999999999999,-18.630000000000003,3.8200000000000003
A,min_thr=0.35,min,0.35,,0.9736,36.24,45.83,457,27.8,15.7,7.82,-1.86,38.8,148,7,302,84.4,-0.32289999999999996,-21.53,-5.490000000000002
A,mean_thr=0.15,mean,0.15,,1.2831,56.83,51.32,221,41.2,36.0,10.88,-3.69,42.9,200,19,2,100.0,-0.013400000000000079,-0.9400000000000048,0.0
A,mean_thr=0.2,mean,0.2,,1.2924,57.42,51.74,222,41.0,35.8,10.88,-3.64,42.8,199,17,6,100.0,-0.0040999999999999925,-0.3500000000000014,0.4200000000000017
A,mean_thr=0.25,mean,0.25,,1.3317,59.86,49.57,228,39.9,34.6,10.88,-3.39,42.6,195,17,16,100.0,0.03520000000000012,2.0899999999999963,-1.75
A,mean_thr=0.3,mean,0.3,,1.3491,60.63,47.51,235,38.7,33.3,10.9,-3.23,42.2,189,11,35,94.3,0.05259999999999998,2.8599999999999994,-3.8100000000000023
A,mean_thr=0.35,mean,0.35,,1.3686,61.56,49.94,249,36.9,31.1,10.81,-2.95,41.8,184,9,56,92.9,0.07210000000000005,3.789999999999999,-1.3800000000000026
A,weighted_thr=0.15,weighted,0.15,,1.2944,57.55,51.32,221,41.2,36.0,10.88,-3.66,42.9,199,19,3,100.0,-0.0020999999999999908,-0.22000000000000597,0.0
A,weighted_thr=0.2,weighted,0.2,,1.3164,58.92,47.85,221,41.2,35.9,10.88,-3.61,42.8,196,17,8,100.0,0.01990000000000003,1.1499999999999986,-3.469999999999999
A,weighted_thr=0.25,weighted,0.25,,1.3339,59.87,46.34,231,39.4,34.1,10.94,-3.36,42.4,194,16,21,95.2,0.0374000000000001,2.0999999999999943,-4.979999999999997
A,weighted_thr=0.3,weighted,0.3,,1.3612,61.43,48.55,238,39.1,32.9,10.73,-3.2,42.2,188,15,35,88.6,0.06469999999999998,3.6599999999999966,-2.770000000000003
A,weighted_thr=0.35,weighted,0.35,,1.3543,60.32,48.78,258,36.0,29.9,10.69,-2.85,41.6,185,7,66,92.4,0.057800000000000074,2.549999999999997,-2.539999999999999
B,L84_AND_rp=0.15,,0.15,-0.1,1.3219,59.26,47.77,221,41.2,35.8,10.88,-3.59,42.7,196,18,7,100.0,0.02540000000000009,1.4899999999999949,-3.549999999999997
B,L84_AND_rp=0.2,,0.2,-0.1,1.3534,61.24,44.24,223,41.7,35.5,10.72,-3.56,42.7,194,17,12,83.3,0.05689999999999995,3.469999999999999,-7.079999999999998
B,L84_AND_rp=0.25,,0.25,-0.1,1.3276,59.44,45.89,231,40.3,34.1,10.72,-3.42,42.5,193,15,23,91.3,0.031099999999999905,1.6699999999999946,-5.43
B,min_AND_rp=0.15,min,0.15,-0.1,1.3226,59.19,50.7,230,40.0,34.3,10.78,-3.41,42.6,192,18,20,95.0,0.026100000000000012,1.4199999999999946,-0.6199999999999974
B,min_AND_rp=0.2,min,0.2,-0.1,1.3579,61.31,48.74,238,39.5,33.0,10.62,-3.23,42.4,190,15,33,87.9,0.06140000000000012,3.539999999999999,-2.5799999999999983
B,min_AND_rp=0.25,min,0.25,-0.1,1.3094,57.98,48.74,245,38.0,31.9,10.72,-3.17,42.1,188,13,44,90.9,0.012899999999999912,0.20999999999999375,-2.5799999999999983
B,mean_AND_rp=0.15,mean,0.15,-0.1,1.2831,56.83,51.32,221,41.2,36.0,10.88,-3.69,42.9,200,19,2,100.0,-0.013400000000000079,-0.9400000000000048,0.0
B,mean_AND_rp=0.2,mean,0.2,-0.1,1.2928,57.45,51.67,222,41.0,35.8,10.88,-3.64,42.8,199,18,5,100.0,-0.0037000000000000366,-0.3200000000000003,0.3500000000000014
B,mean_AND_rp=0.25,mean,0.25,-0.1,1.3177,58.99,49.25,225,40.4,35.1,10.88,-3.5,42.6,195,17,13,100.0,0.021200000000000108,1.2199999999999989,-2.0700000000000003
