config,part,vel_window,vel_threshold,level_threshold,tq_threshold,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_bars_held,avg_win,avg_loss,exposure_pct,exit_trail,exit_trend,exit_velocity,vel_selectivity,d_sharpe,d_cagr,d_mdd
baseline,baseline,12,,,,1.2965,57.77,51.32,221,41.2,36.0,10.88,-3.65,43.0,200,21,0,,0.0,0.0,0.0
A_N=6_v=-0.4,vel_only,6,-0.4,,,1.242,54.13,50.22,228,39.9,34.6,10.88,-3.6,42.6,197,19,12,83.3,-0.05449999999999999,-3.6400000000000006,-1.1000000000000014
A_N=6_v=-0.3,vel_only,6,-0.3,,,1.3329,59.52,43.92,242,39.3,32.2,10.7,-3.31,42.1,179,16,47,76.6,0.03639999999999999,1.75,-7.399999999999999
A_N=6_v=-0.2,vel_only,6,-0.2,,,1.2706,54.35,44.19,314,36.3,23.8,9.07,-2.73,40.2,122,12,180,68.9,-0.025900000000000034,-3.4200000000000017,-7.130000000000003
A_N=6_v=-0.1,vel_only,6,-0.1,,,0.9465,31.54,54.13,606,34.0,10.0,5.07,-1.87,32.8,40,7,559,65.8,-0.35,-26.230000000000004,2.8100000000000023
A_N=6_v=0.0,vel_only,6,0.0,,,-0.9187,-27.83,97.02,1317,25.7,3.1,2.85,-1.22,22.1,14,6,1297,74.0,-2.2152,-85.6,45.699999999999996
A_N=12_v=-0.4,vel_only,12,-0.4,,,1.3051,57.98,46.93,246,39.0,31.8,10.59,-3.3,42.2,193,16,37,81.1,0.008599999999999941,0.20999999999999375,-4.390000000000001
A_N=12_v=-0.3,vel_only,12,-0.3,,,1.2663,54.7,45.56,281,38.4,27.4,9.35,-2.97,41.5,178,12,91,69.2,-0.030200000000000005,-3.0700000000000003,-5.759999999999998
A_N=12_v=-0.2,vel_only,12,-0.2,,,0.9264,32.94,49.39,422,33.4,17.0,7.0,-2.3,38.7,117,9,296,70.3,-0.3701,-24.830000000000005,-1.9299999999999997
A_N=12_v=-0.1,vel_only,12,-0.1,,,0.6558,18.53,58.77,701,30.2,8.7,4.95,-1.68,32.8,52,6,643,68.7,-0.6406999999999999,-39.24,7.450000000000003
A_N=12_v=0.0,vel_only,12,0.0,,,-0.581,-20.62,95.0,1266,25.8,3.5,3.03,-1.21,23.8,28,5,1233,73.7,-1.8775,-78.39,43.68
A_N=24_v=-0.4,vel_only,24,-0.4,,,1.2806,55.23,38.75,297,36.4,25.9,9.34,-2.7,41.4,183,15,99,77.8,-0.015900000000000025,-2.5400000000000063,-12.57
A_N=24_v=-0.3,vel_only,24,-0.3,,,1.1461,45.5,44.79,365,33.7,20.4,7.97,-2.25,40.1,164,10,191,76.4,-0.1504000000000001,-12.270000000000003,-6.530000000000001
A_N=24_v=-0.2,vel_only,24,-0.2,,,0.8895,30.85,46.43,494,30.4,14.2,6.59,-1.9,37.8,133,9,352,74.7,-0.40700000000000003,-26.92,-4.890000000000001
A_N=24_v=-0.1,vel_only,24,-0.1,,,0.4794,11.39,67.16,768,29.7,8.1,4.27,-1.51,33.4,85,7,676,70.0,-0.8170999999999999,-46.38,15.839999999999996
A_N=24_v=0.0,vel_only,24,0.0,,,-0.478,-18.25,92.5,1253,27.3,3.8,2.81,-1.18,25.8,45,5,1203,72.3,-1.7745,-76.02000000000001,41.18
B_N=6_L=0.2_v=-0.3,level_vel,6,-0.3,0.2,,1.3181,58.9,46.87,224,41.1,35.4,10.83,-3.6,42.7,196,20,8,75.0,0.021600000000000064,1.1299999999999955,-4.450000000000003
B_N=6_L=0.2_v=-0.2,level_vel,6,-0.2,0.2,,1.3459,60.61,44.24,225,40.9,35.1,10.83,-3.51,42.6,193,19,13,84.6,0.04940000000000011,2.8399999999999963,-7.079999999999998
B_N=6_L=0.2_v=-0.1,level_vel,6,-0.1,0.2,,1.3449,60.53,44.24,226,40.7,34.9,10.83,-3.48,42.5,193,18,15,86.7,0.0484,2.759999999999998,-7.079999999999998
B_N=6_L=0.25_v=-0.3,level_vel,6,-0.3,0.25,,1.3283,59.47,46.87,225,40.9,35.2,10.85,-3.56,42.7,195,19,11,81.8,0.03180000000000005,1.6999999999999957,-4.450000000000003
B_N=6_L=0.25_v=-0.2,level_vel,6,-0.2,0.25,,1.3531,60.98,44.53,227,41.0,34.7,10.73,-3.48,42.5,192,17,18,83.3,0.056599999999999984,3.2099999999999937,-6.789999999999999
