lookback,min_accel,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_bars_held,exposure_pct,blocked,blocked_win_rate,d_sharpe,d_cagr,d_mdd
baseline,baseline,1.2965,57.77,51.32,221,41.2,36.0,43.0,0,,0.0,0.0,0.0
3,0.0,1.3147,51.15,35.04,175,41.7,37.4,35.3,776,40.3,0.018199999999999994,-6.6200000000000045,-16.28
3,0.001,1.2805,47.88,32.54,160,41.2,36.7,31.7,1138,39.9,-0.016000000000000014,-9.89,-18.78
3,0.002,1.21,43.29,33.0,146,42.5,37.5,29.5,1333,38.7,-0.08650000000000002,-14.480000000000004,-18.32
6,0.0,1.3266,51.36,35.6,172,42.4,36.6,33.9,929,42.5,0.030100000000000016,-6.410000000000004,-15.719999999999999
6,0.001,1.2363,45.69,34.67,162,42.0,36.2,31.6,1175,38.8,-0.06020000000000003,-12.080000000000005,-16.65
6,0.002,1.2076,43.81,36.73,155,40.6,36.6,30.6,1266,39.0,-0.08889999999999998,-13.96,-14.590000000000003
12,0.0,1.448,59.7,41.01,166,42.8,37.6,33.6,1012,41.0,0.15149999999999997,1.9299999999999997,-10.310000000000002
12,0.001,1.4163,57.14,37.03,162,43.2,37.0,32.3,1175,42.6,0.1197999999999999,-0.6300000000000026,-14.29
12,0.002,1.3871,54.9,36.13,158,43.0,36.6,31.2,1277,42.1,0.09060000000000001,-2.8700000000000045,-15.189999999999998
24,0.0,1.3179,51.09,39.78,159,39.6,36.6,31.4,1271,41.9,0.021400000000000086,-6.68,-11.54
24,0.001,1.2974,49.74,38.62,158,39.2,36.5,31.1,1315,42.4,0.0009000000000001229,-8.030000000000001,-12.700000000000003
24,0.002,1.269,48.03,38.92,157,38.9,36.0,30.5,1372,42.3,-0.02750000000000008,-9.740000000000002,-12.399999999999999
