config,mode,start_lv,end_lv,start_hv,end_hv,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_bars_held,exposure_pct,trades_lv,trades_hv,sharpe_lv,sharpe_hv,avg_age_exit,avg_trail_exit,avg_bars_lv,avg_bars_hv,d_sharpe_nd,d_cagr_nd,d_mdd_nd,d_sharpe_fd,d_cagr_fd,d_mdd_fd
no_decay,no_decay,0,0,0,0,1.3098,52.7,41.01,197,40.6,36.4,43.5,101,96,0.919,1.9157,130.8,3.0,34.3,38.6,0.0,0.0,0.0,-0.14979999999999993,-5.409999999999997,9.819999999999997
"fixed(60,180)",fixed_decay,0,0,0,0,1.4596,58.11,31.19,263,39.5,25.2,40.3,127,136,1.1018,2.3284,169.4,2.193,27.4,23.3,0.14979999999999993,5.409999999999997,-9.819999999999997,0.0,0.0,0.0
"LV(60,240)/HV(30,120)",adaptive,60,240,30,120,1.2902,49.11,32.86,274,38.3,24.1,40.1,115,159,1.0493,2.0443,164.5,2.172,28.0,21.3,-0.019600000000000062,-3.5900000000000034,-8.149999999999999,-0.1694,-9.0,1.6699999999999982
"LV(60,240)/HV(30,180)",adaptive,60,240,30,180,1.3503,52.41,34.73,262,38.9,25.4,40.3,117,145,1.1236,2.0819,167.3,2.243,28.6,22.8,0.04049999999999998,-0.29000000000000625,-6.280000000000001,-0.10929999999999995,-5.700000000000003,3.5399999999999956
"LV(60,240)/HV(60,120)",adaptive,60,240,60,120,1.3935,54.54,32.86,267,38.2,24.9,40.4,116,151,1.0236,2.1831,167.2,2.194,28.0,22.5,0.08369999999999989,1.8399999999999963,-8.149999999999999,-0.06610000000000005,-3.5700000000000003,1.6699999999999982
"LV(90,240)/HV(30,120)",adaptive,90,240,30,120,1.2685,48.0,34.39,272,38.6,24.4,40.3,112,160,1.067,1.9935,164.9,2.194,28.5,21.5,-0.041300000000000114,-4.700000000000003,-6.619999999999997,-0.19110000000000005,-10.11,3.1999999999999993
"LV(90,240)/HV(30,180)",adaptive,90,240,30,180,1.3329,51.51,36.21,260,38.8,25.6,40.5,113,147,1.1587,2.0198,167.8,2.267,28.9,23.2,0.0230999999999999,-1.1900000000000048,-4.799999999999997,-0.12670000000000003,-6.600000000000001,5.02
"LV(90,240)/HV(60,120)",adaptive,90,240,60,120,1.3716,53.39,34.39,265,38.5,25.2,40.5,113,152,1.0401,2.1327,167.6,2.218,28.5,22.7,0.061799999999999855,0.6899999999999977,-6.619999999999997,-0.08800000000000008,-4.719999999999999,3.1999999999999993
"LV(90,300)/HV(30,120)",adaptive,90,300,30,120,1.2311,46.11,34.39,271,38.4,24.6,40.5,111,160,0.9625,1.9935,165.0,2.229,29.1,21.5,-0.07869999999999999,-6.590000000000003,-6.619999999999997,-0.22849999999999993,-12.0,3.1999999999999993
"LV(90,300)/HV(30,180)",adaptive,90,300,30,180,1.2899,49.28,36.21,260,38.5,25.8,40.7,113,147,1.0408,2.0198,167.9,2.304,29.2,23.2,-0.01990000000000003,-3.4200000000000017,-4.799999999999997,-0.16969999999999996,-8.829999999999998,5.02
"LV(90,300)/HV(60,120)",adaptive,90,300,60,120,1.3338,51.43,34.39,264,38.3,25.4,40.7,112,152,0.9365,2.1327,167.8,2.254,29.1,22.7,0.02400000000000002,-1.2700000000000031,-6.619999999999997,-0.1257999999999999,-6.68,3.1999999999999993
