lookback,min_persistence,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_bars_held,exposure_pct,blocked,blocked_win_rate,vol_compress_overlap_pct,median_entry_persistence,d_sharpe,d_cagr,d_mdd
baseline,baseline,1.2965,57.77,51.32,221,41.2,36.0,43.0,0,,,,0.0,0.0,0.0
42,0.5,1.275,52.6,57.45,183,42.6,36.9,36.4,667,42.1,25.8,1.0,-0.021500000000000075,-5.170000000000002,6.130000000000003
42,0.6,1.2708,51.65,54.18,171,45.0,38.0,35.1,814,41.8,28.5,1.0,-0.025700000000000056,-6.1200000000000045,2.8599999999999994
42,0.7,1.2983,52.79,52.79,166,43.4,38.1,34.1,922,42.0,29.2,1.0,0.0018000000000000238,-4.980000000000004,1.4699999999999989
42,0.8,1.2339,48.46,52.71,159,41.5,37.9,32.5,1117,42.3,30.1,1.0,-0.06259999999999999,-9.310000000000002,1.3900000000000006
84,0.5,1.1519,44.02,57.41,169,42.0,36.3,33.1,1016,46.6,30.4,1.0,-0.14460000000000006,-13.75,6.089999999999996
84,0.6,1.0959,40.18,55.97,162,41.4,36.3,31.8,1169,47.0,31.0,1.0,-0.2005999999999999,-17.590000000000003,4.649999999999999
84,0.7,1.0816,39.09,53.36,156,40.4,35.9,30.2,1329,45.1,30.3,1.0,-0.2149000000000001,-18.68,2.039999999999999
84,0.8,1.1577,42.47,53.92,144,43.1,36.7,28.5,1466,43.9,30.8,1.0,-0.13880000000000003,-15.300000000000004,2.6000000000000014
168,0.5,1.1666,43.54,56.62,157,42.7,36.1,30.5,1282,43.8,30.6,0.94,-0.1298999999999999,-14.230000000000004,5.299999999999997
168,0.6,1.1297,40.32,47.48,139,39.6,36.3,27.2,1630,42.3,30.8,0.97,-0.16680000000000006,-17.450000000000003,-3.8400000000000034
168,0.7,1.0565,35.78,59.13,123,41.5,36.1,23.9,1972,42.1,31.6,0.982,-0.24,-21.990000000000002,7.810000000000002
168,0.8,1.1121,37.71,50.37,113,43.4,36.5,22.3,2145,41.6,32.2,0.988,-0.1843999999999999,-20.060000000000002,-0.9500000000000028
