feature,horizon,ic,p_value,n_trades
ema_spread,trade_return,-0.0656,0.3714,188
ema_spread,fwd_1bar,0.2112,0.0036,188
ema_spread,fwd_2bar,0.1696,0.02,188
ema_spread,fwd_4bar,0.142,0.0519,188
ema_spread,fwd_8bar,0.1217,0.0961,188
ema_spread,fwd_16bar,0.0308,0.6748,188
ema_spread,fwd_32bar,0.0499,0.4964,188
vdo_value,trade_return,0.0636,0.3856,188
vdo_value,fwd_1bar,-0.1063,0.1464,188
vdo_value,fwd_2bar,-0.0874,0.233,188
vdo_value,fwd_4bar,-0.1196,0.1022,188
vdo_value,fwd_8bar,-0.0609,0.4063,188
vdo_value,fwd_16bar,-0.0792,0.2801,188
vdo_value,fwd_32bar,-0.0607,0.4083,188
ratr_norm,trade_return,-0.0636,0.3857,188
ratr_norm,fwd_1bar,0.1583,0.03,188
ratr_norm,fwd_2bar,0.1632,0.0252,188
ratr_norm,fwd_4bar,0.1791,0.0139,188
ratr_norm,fwd_8bar,0.2331,0.0013,188
ratr_norm,fwd_16bar,0.0862,0.2395,188
ratr_norm,fwd_32bar,0.1563,0.0322,188
d1_regime_str,trade_return,-0.0566,0.4404,188
d1_regime_str,fwd_1bar,0.1476,0.0433,188
d1_regime_str,fwd_2bar,0.1058,0.1485,188
d1_regime_str,fwd_4bar,0.1055,0.1498,188
d1_regime_str,fwd_8bar,0.1296,0.0763,188
d1_regime_str,fwd_16bar,0.0568,0.439,188
d1_regime_str,fwd_32bar,0.0865,0.2379,188
vol_ratio_5_20,trade_return,-0.0904,0.2175,188
vol_ratio_5_20,fwd_1bar,0.0223,0.7608,188
vol_ratio_5_20,fwd_2bar,0.0161,0.826,188
vol_ratio_5_20,fwd_4bar,-0.0622,0.3964,188
vol_ratio_5_20,fwd_8bar,-0.0664,0.3651,188
vol_ratio_5_20,fwd_16bar,-0.0764,0.2972,188
vol_ratio_5_20,fwd_32bar,-0.104,0.1554,188
range_pos,trade_return,-0.0617,0.4,188
range_pos,fwd_1bar,-0.0565,0.4413,188
range_pos,fwd_2bar,-0.0485,0.509,188
range_pos,fwd_4bar,-0.0743,0.3111,188
range_pos,fwd_8bar,-0.1511,0.0384,188
range_pos,fwd_16bar,-0.068,0.3537,188
range_pos,fwd_32bar,-0.0489,0.5052,188
taker_ratio,trade_return,-0.0158,0.8299,188
taker_ratio,fwd_1bar,-0.0262,0.7211,188
taker_ratio,fwd_2bar,-0.0266,0.7166,188
taker_ratio,fwd_4bar,-0.0368,0.616,188
taker_ratio,fwd_8bar,-0.129,0.0776,188
taker_ratio,fwd_16bar,-0.1564,0.032,188
taker_ratio,fwd_32bar,-0.0873,0.2337,188
