slow_period,e0_sharpe,e0_cagr,e0_mdd,x7_sharpe,x7_cagr,x7_mdd
30,0.6726,21.06,71.87,0.0000,0.00,0.00
48,0.6538,19.82,62.40,0.8262,21.42,45.61
60,0.7967,26.69,54.06,0.8594,23.79,43.12
72,0.9934,36.44,50.05,0.8197,22.83,42.82
84,1.1288,43.94,47.94,0.8739,25.04,40.16
96,1.0769,41.11,47.46,0.8956,25.95,40.35
108,1.2091,48.58,43.99,0.8994,26.12,39.70
120,1.2765,52.68,41.53,0.8384,23.82,48.49
144,1.3278,55.87,42.33,0.8332,23.68,46.50
168,1.1931,48.12,50.34,0.8655,24.92,43.94
200,1.4316,63.10,41.84,0.9389,27.60,44.43
240,1.2268,50.50,42.01,0.9208,26.64,41.06
300,1.0169,38.93,47.01,0.8663,24.49,40.80
360,1.1140,45.11,48.82,0.9086,26.02,36.62
500,1.0744,43.26,49.49,0.9015,25.37,41.29
720,0.8377,30.68,59.81,0.6358,15.24,49.02
