be_mult,sharpe,cagr,mdd,trades,d_sharpe,d_cagr,d_mdd
none,1.4690,62.48,40.90,202,0,0,0
0.4,1.3625,55.89,37.92,224,-0.1065,-6.59,-2.99
0.6,1.3635,56.12,39.89,209,-0.1055,-6.36,-1.02
0.8,1.4215,59.47,40.90,205,-0.0475,-3.01,+0.00
1.0,1.4588,61.85,40.90,203,-0.0102,-0.63,+0.00
1.2,1.4690,62.48,40.90,202,+0.0000,+0.00,+0.00
1.4,1.4690,62.48,40.90,202,+0.0000,+0.00,+0.00
1.6,1.4690,62.48,40.90,202,+0.0000,+0.00,+0.00
1.8,1.4690,62.48,40.90,202,+0.0000,+0.00,+0.00
2.0,1.4690,62.48,40.90,202,+0.0000,+0.00,+0.00
2.2,1.4690,62.48,40.90,202,+0.0000,+0.00,+0.00
2.4,1.4690,62.48,40.90,202,+0.0000,+0.00,+0.00
